NR Number,Strain Name,Plate,Well,Gene Name,Gene Description,Accession Number,Plate 1,plate,underscore,location
NR-46808,NE265,1,M2,,CBS domain protein,SAUSA300_1651,G1,3,_,3_G1
NR-46809,NE266,1,M4,,lipoate-protein ligase A family protein,SAUSA300_0328,G2,3,_,3_G2
NR-46810,NE267,1,M6,sgtA,probable transglycosylase,SAUSA300_1676,G3,3,_,3_G3
NR-46811,NE268,1,M8,,conserved hypothetical protein,SAUSA300_2418,G4,3,_,3_G4
NR-46812,NE269,1,M10,,"putative iron compound ABC transporter, ATP-binding protein",SAUSA300_0720,G5,3,_,3_G5
NR-46813,NE270,1,M12,acuC,acetoin utilization protein AcuC,SAUSA300_1681,G6,3,_,3_G6
NR-46814,NE271,1,M14,opuCd,glycine betaine/carnitine/choline transport system permease,SAUSA300_2390,G7,3,_,3_G7
NR-46815,NE272,1,M16,,conserved hypothetical protein,SAUSA300_2311,G8,3,_,3_G8
NR-46816,NE273,1,M18,,putative transporter,SAUSA300_2449,G9,3,_,3_G9
NR-46817,NE274,1,M20,,conserved hypothetical protein,SAUSA300_1867,G10,3,_,3_G10
NR-46818,NE275,1,M22,,transferrin receptor,SAUSA300_0721,G11,3,_,3_G11
NR-46819,NE276,1,M24,,conserved hypothetical protein,SAUSA300_0293,G12,3,_,3_G12
NR-46820,NE277,1,O2,tdk,thymidine kinase,SAUSA300_2073,H1,3,_,3_H1
NR-46821,NE278,1,O4,,putative cobalamin synthesis protein,SAUSA300_0424,H2,3,_,3_H2
NR-46822,NE279,1,O6,,putative deoxyribodipyrimidine photolyase,SAUSA300_0677,H3,3,_,3_H3
NR-46823,NE280,1,O8,pbuX,xanthine permease,SAUSA300_0387,H4,3,_,3_H4
NR-46824,NE281,1,O10,,"transcriptional regulator, MarR family",SAUSA300_2452,H5,3,_,3_H5
NR-46825,NE282,1,O12,,5' nucleotidase family protein,SAUSA300_0925,H6,3,_,3_H6
NR-46826,NE283,1,O14,,xanthine/uracil permease family protein,SAUSA300_2207,H7,3,_,3_H7
NR-46827,NE284,1,O16,gpmA,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",SAUSA300_2362,H8,3,_,3_H8
NR-46828,NE285,1,O18,tcaA,teicoplanin resistance associated membrane protein TcaA protein,SAUSA300_2302,H9,3,_,3_H9
NR-46829,NE286,1,O20,,immunoglobulin G binding protein A precursor,SAUSA300_0113,H10,3,_,3_H10
NR-46830,NE287,1,O22,,conserved hypothetical protein,SAUSA300_1744,H11,3,_,3_H11
NR-46831,NE288,1,O24,,fructose-bisphosphate aldolase class-I,SAUSA300_2540,H12,3,_,3_H12
,,,,,,,Plate 4,,_,_Plate 4
NR-46832,NE289,1,B2,,conserved hypothetical protein,SAUSA300_0215,A1,4,_,4_A1
NR-46833,NE290,1,B4,,transferrin receptor,SAUSA300_0721,A2,4,_,4_A2
NR-46834,NE291,1,B6,,conserved hypothetical protein,SAUSA300_2328,A3,4,_,4_A3
NR-46835,NE292,1,B8,ilvE,branched-chain amino acid aminotransferase,SAUSA300_0539,A4,4,_,4_A4
NR-46836,NE293,1,B10,,"ABC transporter, ATP-binding protein",SAUSA300_1285,A5,4,_,4_A5
NR-46837,NE294,1,B12,,signal transduction protein TRAP,SAUSA300_1784,A6,4,_,4_A6
NR-46838,NE295,1,B14,,5'-nucleotidase family protein,SAUSA300_0025,A7,4,_,4_A7
NR-46839,NE296,1,B16,,staphylococcal accessory protein X,SAUSA300_0654,A8,4,_,4_A8
NR-46840,NE297,1,B18,,cyclic nucleotide-binding domain protein,SAUSA300_0063,A9,4,_,4_A9
NR-46841,NE298,1,B20,,putative membrane protein,SAUSA300_2398,A10,4,_,4_A10
NR-46842,NE299,1,B22,,putative membrane protein,SAUSA300_2304,A11,4,_,4_A11
NR-46843,NE300,1,B24,,conserved hypothetical protein TIGR00370,SAUSA300_0701,A12,4,_,4_A12
NR-46844,NE301,1,D2,,"acetyltransferase, GNAT family",SAUSA300_0643,B1,4,_,4_B1
NR-46845,NE302,1,D4,Cap5A,capsular polysaccharide biosynthesis protein Cap5A,SAUSA300_0152,B2,4,_,4_B2
NR-46846,NE303,1,D6,hemL,"glutamate-1-semialdehyde-2,1-aminomutase",SAUSA300_1614,B3,4,_,4_B3
NR-46847,NE304,1,D8,trpA,"tryptophan synthase, alpha subunit",SAUSA300_1268,B4,4,_,4_B4
NR-46848,NE305,1,D10,,conserved hypothetical protein,SAUSA300_0814,B5,4,_,4_B5
NR-46849,NE306,1,D12,,proline dipeptidase,SAUSA300_1491,B6,4,_,4_B6
NR-46850,NE307,1,D14,glpP,glycerol uptake operon antiterminator regulatory protein,SAUSA300_1190,B7,4,_,4_B7
NR-46851,NE308,1,D16,,"transporter, monovalent cation:proton antiporter-2 (CPA2) family protein",SAUSA300_0911,B8,4,_,4_B8
NR-46852,NE309,1,D18,,putative enterotoxin type A,SAUSA300_1559,B9,4,_,4_B9
NR-46853,NE310,1,D20,,"tryptophan synthase, beta subunit",SAUSA300_1267,B10,4,_,4_B10
NR-46854,NE311,1,D22,,"conserved hypothetical protein""",SAUSA300_2097,B11,4,_,4_B11
NR-46855,NE312,1,D24,,"oxidoreductase, Gfo/Idh/MocA family",SAUSA300_0212,B12,4,_,4_B12
NR-46856,NE313,1,F2,,DedA family protein,SAUSA300_2450,C1,4,_,4_C1
NR-46857,NE314,1,F4,,deoxyribose-phosphate aldolase,SAUSA300_0140,C2,4,_,4_C2
NR-46858,NE315,1,F6,,putative membrane protein,SAUSA300_0133,C3,4,_,4_C3
NR-46859,NE316,1,F8,,conserved hypothetical protein,SAUSA300_1858,C4,4,_,4_C4
NR-46860,NE317,1,F10,,putative membrane protein,SAUSA300_0881,C5,4,_,4_C5
NR-46861,NE318,1,F12,,conserved hypothetical protein,SAUSA300_1236,C6,4,_,4_C6
NR-46862,NE319,1,F14,,conserved hypothetical protein,SAUSA300_1701,C7,4,_,4_C7
NR-46863,NE320,1,F16,,conserved hypothetical protein,SAUSA300_0748,C8,4,_,4_C8
NR-46864,NE321,1,F18,,aldehyde dehydrogenase,SAUSA300_0170,C9,4,_,4_C9
NR-46865,NE322,1,F20,,putative competence protein ComYC,SAUSA300_1500,C10,4,_,4_C10
NR-46866,NE323,1,F22,,conserved hypothetical protein,SAUSA300_0362,C11,4,_,4_C11
NR-46867,NE324,1,F24,,regulatory protein RecX,SAUSA300_1854,C12,4,_,4_C12
NR-46868,NE325,1,H2,rrfA,5S ribosomal RNA,SAUSA300_0457,D1,4,_,4_D1
NR-46869,NE326,1,H4,,"respiratory nitrate reductase, alpha subunit",SAUSA300_2343,D2,4,_,4_D2
NR-46870,NE327,1,H6,int,integrase,SAUSA300_1972,D3,4,_,4_D3
NR-46871,NE328,1,H8,,oxygen-independent coproporphyrinogen III oxidase,SAUSA300_1543,D4,4,_,4_D4
NR-46872,NE329,1,H10,mobA,molybdopterin-guanine dinucleotide biosynthesis protein A,SAUSA300_2220,D5,4,_,4_D5
NR-46873,NE330,1,H12,,"conserved hypothetical protein""",SAUSA300_0039,D6,4,_,4_D6
NR-46874,NE331,1,H14,rexA,exonuclease RexA,SAUSA300_0870,D7,4,_,4_D7
NR-46875,NE332,1,H16,,iron transport associated domain protein,SAUSA300_1029,D8,4,_,4_D8
NR-46876,NE333,1,H18,,"putative maltose ABC transporter,maltose-binding protein",SAUSA300_0209,D9,4,_,4_D9
NR-46877,NE334,1,H20,,Hyaluronate lyase precursor,SAUSA300_2161,D10,4,_,4_D10
NR-46878,NE335,1,H22,,conserved hypothetical protein,SAUSA300_0039,D11,4,_,4_D11
NR-46879,NE336,1,H24,,NAD-dependent deacetylase,SAUSA300_2157,D12,4,_,4_D12
NR-46880,NE337,1,J2,,integral membrane domain protein,SAUSA300_0109,E1,4,_,4_E1
NR-46881,NE338,1,J4,lip,triacylglycerol lipase precursor,SAUSA300_2603,E2,4,_,4_E2
NR-46882,NE339,1,J6,,LysE/YggA family protein,SAUSA300_0784,E3,4,_,4_E3
NR-46883,NE340,1,J8,ilvA,threonine dehydratase,SAUSA300_2014,E4,4,_,4_E4
NR-46884,NE341,1,J10,,"ATPase, AAA family",SAUSA300_1584,E5,4,_,4_E5
NR-46885,NE342,1,J12,hfq,"RNA chaperone, host factor-1 protein",SAUSA300_1196,E6,4,_,4_E6
NR-46886,NE343,1,J14,,conserved hypothetical protein,SAUSA300_2613,E7,4,_,4_E7
NR-46887,NE344,1,J16,,"ABC transporter, ATP-binding protein",SAUSA300_2103,E8,4,_,4_E8
NR-46888,NE345,1,J18,,"membrane protein""",SAUSA300_0934,E9,4,_,4_E9
NR-46889,NE346,1,J20,,putative DnaQ family exonuclease/DinG family helicase,SAUSA300_1346,E10,4,_,4_E10
NR-46890,NE347,1,J22,,"acetyltransferase, GNAT family",SAUSA300_0662,E11,4,_,4_E11
NR-46891,NE348,1,J24,ftsK,DNA translocase FtsK,SAUSA300_1169,E12,4,_,4_E12
NR-46892,NE349,1,L2,,conserved hypothetical protein,SAUSA300_0081,F1,4,_,4_F1
NR-46893,NE350,1,L4,ychF,GTP-binding protein YchF,SAUSA300_0364,F2,4,_,4_F2
NR-46894,NE351,1,L6,ddh,D-lactate dehydrogenase,SAUSA300_2463,F3,4,_,4_F3
NR-46895,NE352,1,L8,rsgA,ribosome small subunit-dependent GTPase A,SAUSA300_1114,F4,4,_,4_F4
NR-46896,NE353,1,L10,,bifunctional purine biosynthesis protein,SAUSA300_0975,F5,4,_,4_F5
NR-46897,NE354,1,L12,,"transcriptional regulator, gntR family protein",SAUSA300_0503,F6,4,_,4_F6
NR-46898,NE355,1,L14,,"transcriptional regulator, TetR family",SAUSA300_2515,F7,4,_,4_F7
NR-46899,NE356,1,L16,pyrE,orotate phosphoribosyltransferase,SAUSA300_1098,F8,4,_,4_F8
NR-46900,NE357,1,L18,,Na/Pi cotransporter family protein,SAUSA300_0107,F9,4,_,4_F9
NR-46901,NE358,1,L20,,conserved hypothetical protein,SAUSA300_0294,F10,4,_,4_F10
NR-46902,NE359,1,L22,panE,2-dehydropantoate 2-reductase,SAUSA300_2388,F11,4,_,4_F11
NR-46903,NE360,1,L24,,"phi77 ORF004-like protein, putative phage tail component",SAUSA300_1929,F12,4,_,4_F12
NR-46904,NE361,1,N2,,conserved hypothetical protein,SAUSA300_2068,G1,4,_,4_G1
NR-46905,NE362,1,N4,,putative teichoic acid biosynthesis protein B,SAUSA300_0247,G2,4,_,4_G2
NR-46906,NE363,1,N6,,staphylococcal tandem lipoprotein,SAUSA300_0103,G3,4,_,4_G3
NR-46907,NE364,1,N8,,"ABC transporter, ATP-binding protein, MsbA family",SAUSA300_0671,G4,4,_,4_G4
NR-46908,NE365,1,N10,,putative lipoprotein,SAUSA300_1738,G5,4,_,4_G5
NR-46909,NE366,1,N12,,putative Na+/H+ antiporter,SAUSA300_2384,G6,4,_,4_G6
NR-46910,NE367,1,N14,,arginine repressor,SAUSA300_2571,G7,4,_,4_G7
NR-46911,NE368,1,N16,,choline dehydrogenase,SAUSA300_2545,G8,4,_,4_G8
NR-46912,NE369,1,N18,guaC,guanosine monophosphate reductase,SAUSA300_1235,G9,4,_,4_G9
NR-46913,NE370,1,N20,,conserved hypothetical protein,SAUSA300_1847,G10,4,_,4_G10
NR-46914,NE371,1,N22,,putative membrane protein,SAUSA300_0222,G11,4,_,4_G11
NR-46915,NE372,1,N24,,SAP domain protein,SAUSA300_2101,G12,4,_,4_G12
NR-46916,NE373,1,P2,,conserved hypothetical protein,SAUSA300_2642,H1,4,_,4_H1
NR-46917,NE374,1,P4,feoB,ferrous iron transport protein B,SAUSA300_2487,H2,4,_,4_H2
NR-46918,NE375,1,P6,ear,Ear protein,SAUSA300_0815,H3,4,_,4_H3
NR-46919,NE376,1,P8,,putative membrane protein,SAUSA300_1334,H4,4,_,4_H4
NR-46920,NE377,1,P10,,conserved hypothetical protein,SAUSA300_1505,H5,4,_,4_H5
NR-46921,NE378,1,P12,,putative membrane protein,SAUSA300_0010,H6,4,_,4_H6
NR-46922,NE379,1,P14,,conserved hypothetical protein,SAUSA300_2137,H7,4,_,4_H7
NR-46923,NE380,1,P16,,"hydrolase, CocE/NonD family",SAUSA300_2531,H8,4,_,4_H8
NR-46924,NE381,1,P18,,"glycosyl transferase, group 1 family protein",SAUSA300_0549,H9,4,_,4_H9
NR-46925,NE382,1,P20,crtN,squalene synthase,SAUSA300_2498,H10,4,_,4_H10
NR-46926,NE383,1,P22,,putative membrane protein,SAUSA300_0279,H11,4,_,4_H11
NR-46927,NE384,1,P24,,conserved hypothetical protein,SAUSA300_0281,H12,4,_,4_H12
,,,,,,,Plate 5,,_,_Plate 5
NR-46928,NE385,2,A1,acsA,acetyl-coenzyme A synthetase,SAUSA300_1679,A1,5,_,5_A1
NR-46929,NE386,2,A3,rot,staphylococcal accessory regulator Rot,SAUSA300_1708,A2,5,_,5_A2
NR-46930,NE387,2,A5,,conserved hypothetical protein,SAUSA300_2493,A3,5,_,5_A3
NR-46931,NE388,2,A7,,sodium-dependent transporter,SAUSA300_1897,A4,5,_,5_A4
NR-46932,NE389,2,A9,,conserved hypothetical protein,SAUSA300_1906,A5,5,_,5_A5
NR-46933,NE390,2,A11,gltB,"glutamate synthase, large subunit",SAUSA300_0445,A6,5,_,5_A6
NR-46934,NE391,2,A13,clfB,clumping factor B,SAUSA300_2565,A7,5,_,5_A7
NR-46935,NE392,2,A15,,"peptide ABC transporter, ATP-binding protein",SAUSA300_0200,A8,5,_,5_A8
NR-46936,NE393,2,A17,,glyoxalase family protein,SAUSA300_1458,A9,5,_,5_A9
NR-46937,NE394,2,A19,oppF,"oligopeptide ABC transporter, ATP-binding protein",SAUSA300_0893,A10,5,_,5_A10
NR-46938,NE395,2,A21,nagA,N-acetylglucosamine-6-phosphate deacetylase,SAUSA300_0686,A11,5,_,5_A11
NR-46939,NE396,2,A23,,conserved hypothetical protein,SAUSA300_0462,A12,5,_,5_A12
NR-46940,NE397,2,C1,argF,ornithine carbamoyltransferase,SAUSA300_1062,B1,5,_,5_B1
NR-46941,NE398,2,C3,,conserved hypothetical protein,SAUSA300_0096,B2,5,_,5_B2
NR-46942,NE399,2,C5,,"preprotein translocase, SecY protein",SAUSA300_2588,B3,5,_,5_B3
NR-46943,NE400,2,C7,,"iron compound ABC transporter, iron compound-binding protein",SAUSA300_2136,B4,5,_,5_B4
NR-46944,NE401,2,C9,,phiSLT ORF 175-like protein,SAUSA300_1417,B5,5,_,5_B5
NR-46945,NE402,2,C11,lytN,cell wall hydrolase,SAUSA300_1140,B6,5,_,5_B6
NR-46946,NE403,2,C13,,DegV family protein,SAUSA300_1318,B7,5,_,5_B7
NR-46947,NE404,2,C15,,putative endoribonuclease L-PSP,SAUSA300_0474,B8,5,_,5_B8
NR-46948,NE405,2,C17,,MATE efflux family protein,SAUSA300_0335,B9,5,_,5_B9
NR-46949,NE406,2,C19,fhuA,ferrichrome transport ATP-binding protein fhuA,SAUSA300_0633,B10,5,_,5_B10
NR-46950,NE407,2,C21,,putative membrane protein,SAUSA300_2405,B11,5,_,5_B11
NR-46951,NE408,2,C23,,putative staphylococcal tandem lipoprotein,SAUSA300_2424,B12,5,_,5_B12
NR-46952,NE409,2,E1,,"hydrolase, haloacid dehalogenase-like family",SAUSA300_2267,C1,5,_,5_C1
NR-46953,NE410,2,E3,ureC,"urease, alpha subunit",SAUSA300_2240,C2,5,_,5_C2
NR-46954,NE411,2,E5,,putative phage infection protein,SAUSA300_2578,C3,5,_,5_C3
NR-46955,NE412,2,E7,,conserved hypothetical protein,SAUSA300_1374,C4,5,_,5_C4
NR-46956,NE413,2,E9,,phiSLT ORF 50-like protein,SAUSA300_1412,C5,5,_,5_C5
NR-46957,NE414,2,E11,,conserved hypothetical protein,SAUSA300_0272,C6,5,_,5_C6
NR-46958,NE415,2,E13,,putative transcriptional regulator,SAUSA300_2259,C7,5,_,5_C7
NR-46959,NE416,2,E15,,putative cobalamin synthesis protein,SAUSA300_2519,C8,5,_,5_C8
NR-46960,NE417,2,E17,int,integrase,SAUSA300_0799,C9,5,_,5_C9
NR-46961,NE418,2,E19,,cation efflux family protein,SAUSA300_2363,C10,5,_,5_C10
NR-46962,NE419,2,E21,,conserved hypothetical protein,SAUSA300_2297,C11,5,_,5_C11
NR-46963,NE420,2,E23,pbp3,penicillin-binding protein 3,SAUSA300_1512,C12,5,_,5_C12
NR-46964,NE421,2,G1,,conserved hypothetical protein,SAUSA300_0711,D1,5,_,5_D1
NR-46965,NE422,2,G3,,conserved hypothetical protein,SAUSA300_0324,D2,5,_,5_D2
NR-46966,NE423,2,G5,kdpD,"sensor histidine kinase, KdpD",SAUSA300_2035,D3,5,_,5_D3
NR-46967,NE424,2,G7,pdp,pyrimidine nucleoside phosphorylase,SAUSA300_2089,D4,5,_,5_D4
NR-46968,NE425,2,G9,,putative ribose operon repressor,SAUSA300_0265,D5,5,_,5_D5
NR-46969,NE426,2,G11,tatC,Sec-independent protein translocase TatC,SAUSA300_0347,D6,5,_,5_D6
NR-46970,NE427,2,G13,fumC,"fumarate hydratase, class II",SAUSA300_1801,D7,5,_,5_D7
NR-46971,NE428,2,G15,moaE,"molybdopterin converting factor, subunit 2",SAUSA300_2222,D8,5,_,5_D8
NR-46972,NE429,2,G17,cap5C,capsular polysaccharide biosynthesis protein cap5C,SAUSA300_0154,D9,5,_,5_D9
NR-46973,NE430,2,G19,,putative transporter,SAUSA300_2417,D10,5,_,5_D10
NR-46974,NE431,2,G21,,iron-dependent repressor,SAUSA300_0621,D11,5,_,5_D11
NR-46975,NE432,2,G23,sdrC,sdrC protein,SAUSA300_0546,D12,5,_,5_D12
NR-46976,NE433,2,I1,pstC,"phosphate ABC transporter, permease protein PstC",SAUSA300_1282,E1,5,_,5_E1
NR-46977,NE434,2,I3,,phosphosugar-binding transcriptional regulator,SAUSA300_2271,E2,5,_,5_E2
NR-46978,NE435,2,I5,hutU,urocanate hydratase,SAUSA300_2278,E3,5,_,5_E3
NR-46979,NE436,2,I7,,lactose phosphotransferase system repressor,SAUSA300_2156,E4,5,_,5_E4
NR-46980,NE437,2,I9,,putative membrane protein,SAUSA300_0291,E5,5,_,5_E5
NR-46981,NE438,2,I11,Cap5J,capsular polysaccharide biosynthesis protein Cap5J,SAUSA300_0161,E6,5,_,5_E6
NR-46982,NE439,2,I13,,choloylglycine hydrolase family protein,SAUSA300_0269,E7,5,_,5_E7
NR-46983,NE440,2,I15,oppA,"oligopeptide ABC transporter, substrate-binding protein",SAUSA300_0891,E8,5,_,5_E8
NR-46984,NE441,2,I17,frp,NAD(P)H-flavin oxidoreductase,SAUSA300_2462,E9,5,_,5_E9
NR-46985,NE442,2,I19,,"phiSLT ORF122-like protein, DNA polymerase",SAUSA300_1421,E10,5,_,5_E10
NR-46986,NE443,2,I21,,conserved hypothetical protein,SAUSA300_2621,E11,5,_,5_E11
NR-46987,NE444,2,I23,pepS,aminopeptidase PepS,SAUSA300_1860,E12,5,_,5_E12
NR-46988,NE445,2,K1,,ImpB/MucB/SamB family protein,SAUSA300_1259,F1,5,_,5_F1
NR-46989,NE446,2,K3,prfC,peptide chain release factor 3,SAUSA300_0921,F2,5,_,5_F2
NR-46990,NE447,2,K5,,putative iron-sulfur cluster-binding protein,SAUSA300_1806,F3,5,_,5_F3
NR-46991,NE448,2,K7,,putative membrane protein,SAUSA300_1324,F4,5,_,5_F4
NR-46992,NE449,2,K9,,phiSLT ORF636-like protein,SAUSA300_1389,F5,5,_,5_F5
NR-46993,NE450,2,K11,,"PTS system, IIBC components",SAUSA300_0236,F6,5,_,5_F6
NR-46994,NE451,2,K13,,"acetyltransferase, GNAT family",SAUSA300_2316,F7,5,_,5_F7
NR-46995,NE452,2,K15,,conserved hypothetical protein,SAUSA300_2523,F8,5,_,5_F8
NR-46996,NE453,2,K17,sbi,IgG-binding protein SBI,SAUSA300_2364,F9,5,_,5_F9
NR-46997,NE454,2,K19,arcR,"transcriptional regulator, Crp/Fnr family",SAUSA300_2566,F10,5,_,5_F10
NR-46998,NE455,2,K21,,bacterial luciferase family protein,SAUSA300_1580,F11,5,_,5_F11
NR-46999,NE456,2,K23,,conserved hypothetical protein,SAUSA300_1019,F12,5,_,5_F12
NR-47000,NE457,2,M1,,"peptide ABC transporter, permease protein",SAUSA300_0202,G1,5,_,5_G1
NR-47001,NE458,2,M3,xseA,"exodeoxyribonuclease VII, large subunit",SAUSA300_1472,G2,5,_,5_G2
NR-47002,NE459,2,M5,fmhA,fmhA protein,SAUSA300_2356,G3,5,_,5_G3
NR-47003,NE460,2,M7,atl,autolysin,SAUSA300_0955,G4,5,_,5_G4
NR-47004,NE461,2,M9,,polysaccharide extrusion protein,SAUSA300_0134,G5,5,_,5_G5
NR-47005,NE462,2,M11,,putative membrane protein,SAUSA300_0917,G6,5,_,5_G6
NR-47006,NE463,2,M13,,conserved hypothetical protein,SAUSA300_1871,G7,5,_,5_G7
NR-47007,NE464,2,M15,pcp,pyrrolidone-carboxylate peptidase,SAUSA300_2623,G8,5,_,5_G8
NR-47008,NE465,2,M17,,glycerate kinase,SAUSA300_2377,G9,5,_,5_G9
NR-47009,NE466,2,M19,,putative DNA primase,SAUSA300_0809,G10,5,_,5_G10
NR-47010,NE467,2,M21,,conserved hypothetical protein,SAUSA300_0644,G11,5,_,5_G11
NR-47011,NE468,2,M23,,phytoene dehydrogenase,SAUSA300_2501,G12,5,_,5_G12
NR-47012,NE469,2,O1,scrB,sucrose-6-phosphate hydrolase,SAUSA300_1994,H1,5,_,5_H1
NR-47013,NE470,2,O3,,putative membrane protein,SAUSA300_0346,H2,5,_,5_H2
NR-47014,NE471,2,O5,,putative cell wall enzyme EbsB,SAUSA300_1326,H3,5,_,5_H3
NR-47015,NE472,2,O7,fmtB,truncated FmtB protein,SAUSA300_2109,H4,5,_,5_H4
NR-47016,NE473,2,O9,,putative membrane protein,SAUSA300_0013,H5,5,_,5_H5
NR-47017,NE474,2,O11,,conserved hypothetical protein,SAUSA300_2446,H6,5,_,5_H6
NR-47018,NE475,2,O13,,putative exotoxin 4,SAUSA300_1060,H7,5,_,5_H7
NR-47019,NE476,2,O15,fba,fructose bisphosphate aldolase,SAUSA300_2079,H8,5,_,5_H8
NR-47020,NE477,2,O17,deoD,purine nucleoside phosphorylase,SAUSA300_0138,H9,5,_,5_H9
NR-47021,NE478,2,O19,phnE,"phosphonate ABC transporter, permease protein",SAUSA300_0142,H10,5,_,5_H10
NR-47022,NE479,2,O21,,putative competence protein ComGA,SAUSA300_1504,H11,5,_,5_H11
NR-47023,NE480,2,O23,,undecaprenol kinase,SAUSA300_0669,H12,5,_,5_H12
,,,,,,,Plate 6,,_,_Plate 6
NR-47024,NE481,2,B1,,DNA-binding response regulator,SAUSA300_0645,A1,6,_,6_A1
NR-47025,NE482,2,B3,oppF,"oligopeptide ABC transporter, ATP-binding protein",SAUSA300_0890,A2,6,_,6_A2
NR-47026,NE483,2,B5,pepT,peptidase T,SAUSA300_0727,A3,6,_,6_A3
NR-47027,NE484,2,B7,,"amino acid ABC transporter, permease/substrate-binding protein",SAUSA300_1808,A4,6,_,6_A4
NR-47028,NE485,2,B9,,"glycine dehydrogenase, subunit 2",SAUSA300_1496,A5,6,_,6_A5
NR-47029,NE486,2,B11,,"putative chromosome partioning protein, ParB family",SAUSA300_2643,A6,6,_,6_A6
NR-47030,NE487,2,B13,,conserved hypothetical protein,SAUSA300_0042,A7,6,_,6_A7
NR-47031,NE488,2,B15,,putative membrane protein,SAUSA300_0953,A8,6,_,6_A8
NR-47032,NE489,2,B17,,exotoxin,SAUSA300_0403,A9,6,_,6_A9
NR-47033,NE490,2,B19,,TPR domain protein,SAUSA300_0746,A10,6,_,6_A10
NR-47034,NE491,2,B21,icd,"isocitrate dehydrogenase, NADP-dependent",SAUSA300_1640,A11,6,_,6_A11
NR-47035,NE492,2,B23,,conserved hypothetical protein,SAUSA300_1793,A12,6,_,6_A12
NR-47036,NE493,2,D1,,conserved hypothetical protein,AUSA300_2158,B1,6,_,6_B1
NR-47037,NE494,2,D3,purQ,phosphoribosylformylglycinamidine synthase I,SAUSA300_0970,B2,6,_,6_B2
NR-47038,NE495,2,D5,ccrB,cassette chromosome recombinase B,SAUSA300_0037,B3,6,_,6_B3
NR-47039,NE496,2,D7,,"transporter, TRAP family",SAUSA300_1064,B4,6,_,6_B4
NR-47040,NE497,2,D9,,putative D-isomer specific 2-hydroxyacid dehydrogenase,SAUSA300_0179,B5,6,_,6_B5
NR-47041,NE498,2,D11,,conserved hypothetical protein,SAUSA300_0286,B6,6,_,6_B6
NR-47042,NE499,2,D13,,putative membrane protein,SAUSA300_0817,B7,6,_,6_B7
NR-47043,NE500,2,D15,,3-hydroxyacyl-CoA dehydrogenase,SAUSA300_0226,B8,6,_,6_B8
NR-47044,NE501,2,D17,rnr,ribonuclease R,SAUSA300_0764,B9,6,_,6_B9
NR-47045,NE502,2,D19,,conserved hypothetical protein,SAUSA300_1977,B10,6,_,6_B10
NR-47046,NE503,2,D21,estA,tributyrin esterase,SAUSA300_2564,B11,6,_,6_B11
NR-47047,NE504,2,D23,,phiSLT ORF191-like protein,SAUSA300_1392,B12,6,_,6_B12
NR-47048,NE505,2,F1,,"transcriptional regulator, LysR family domain protein",SAUSA300_0093,C1,6,_,6_C1
NR-47049,NE506,2,F3,,conserved hypothetical protein,SAUSA300_2215,C2,6,_,6_C2
NR-47050,NE507,2,F5,,"RNA methyltransferase, TrmH family",SAUSA300_1036,C3,6,_,6_C3
NR-47051,NE508,2,F7,argG,argininosuccinate synthase,SAUSA300_0864,C4,6,_,6_C4
NR-47052,NE509,2,F9,,staphylococcal tandem lipoprotein,SAUSA300_0205,C5,6,_,6_C5
NR-47053,NE510,2,F11,fmtB,truncated FmtB protein,SAUSA300_2110,C6,6,_,6_C6
NR-47054,NE511,2,F13,arcC,carbamate kinase,SAUSA300_0061,C7,6,_,6_C7
NR-47055,NE512,2,F15,modC,"molybdenum ABC transporter, ATP-binding protein ModC",SAUSA300_2228,C8,6,_,6_C8
NR-47056,NE513,2,F17,,putative helicase,SAUSA300_2431,C9,6,_,6_C9
NR-47057,NE514,2,F19,sarT,staphylococcal accessory regulator T,SAUSA300_2437,C10,6,_,6_C10
NR-47058,NE515,2,F21,ilvA,threonine dehydratase,SAUSA300_1330,C11,6,_,6_C11
NR-47059,NE516,2,F23,,conserved hypothetical protein,SAUSA300_1508,C12,6,_,6_C12
NR-47060,NE517,2,H1,,"IS1272, transposase",SAUSA300_0034,D1,6,_,6_D1
NR-47061,NE518,2,H3,,glycosyl transferase,SAUSA300_2500,D2,6,_,6_D2
NR-47062,NE519,2,H5,,"peptidase, M20/M25/M40 family",SAUSA300_1460,D3,6,_,6_D3
NR-47063,NE520,2,H7,proC,pyrroline-5-carboxylate reductase,SAUSA300_1452,D4,6,_,6_D4
NR-47064,NE521,2,H9,,"ABC transporter, permease protein",SAUSA300_2307,D5,6,_,6_D5
NR-47065,NE522,2,H11,purB,adenylosuccinate lyase,SAUSA300_1889,D6,6,_,6_D6
NR-47066,NE523,2,H13,,"phi77 ORF011-like protein, phage transcriptional repressor",SAUSA300_1969,D7,6,_,6_D7
NR-47067,NE524,2,H15,,conserved hypothetical protein,SAUSA300_0371,D8,6,_,6_D8
NR-47068,NE525,2,H17,,putative NADP-dependent malic enzyme,SAUSA300_1648,D9,6,_,6_D9
NR-47069,NE526,2,H19,,putative membrane protein,SAUSA300_0694,D10,6,_,6_D10
NR-47070,NE527,2,H21,epiB,lantibiotic epidermin biosynthesis protein EpiB,SAUSA300_1766,D11,6,_,6_D11
NR-47071,NE528,2,H23,,putative permease,SAUSA300_0091,D12,6,_,6_D12
