ID,Strain Name,Sanger Exact,Location,Locus Tag,Gene Abbrev.,Putative ORF Function
941,PW1900,+,lacZwp03q3H10,PA0489,,probable phosphoribosyl transferase
942,PW1902,+,Supplemental_Plate4H10,PA0489,,probable phosphoribosyl transferase
943,PW1904,+,phoAwp03q2C12,PA0490,,hypothetical protein
944,PW1903,+,lacZwp07q3H05,PA0490,,hypothetical protein
945,PW4853,+,phoAwp06q1A12,PA0491,,probable transcriptional regulator
946,PW1905,+,lacZwp02q2B05,PA0491,,probable transcriptional regulator
947,PW1906,+,phoAwp06q2H07,PA0491,,probable transcriptional regulator
948,PW1908,+,phoAwp04q2D11,PA0492,,conserved hypothetical protein
949,PW1907,+,phoAwp03q3E07,PA0492,,conserved hypothetical protein
950,PW1910,+,lacZwp06q1G09,PA0494,,probable acyl-CoA carboxylase subunit
951,PW1909,+,lacZwp05q1F03,PA0494,,probable acyl-CoA carboxylase subunit
952,PW1912,+,phoAwp01q4F07,PA0495,,hypothetical protein
953,PW1911,+,lacZwp01q1A09,PA0495,,hypothetical protein
954,PW5277,,lacZwp02q3A09,PA0495,,hypothetical protein
955,PW1913,+,phoAwp10q1F06,PA0496,,conserved hypothetical protein
956,PW1915,+,phoAwp06q4F11,PA0497,,hypothetical protein
957,PW1914,+,lacZwp05q1H02,PA0497,,hypothetical protein
958,PW1917,+,phoAwp07q2E02,PA0498,,hypothetical protein
959,PW1916,+,phoAbp03q1C01,PA0498,,hypothetical protein
960,PW1919,+,lacZwp04q1D10,PA0499,,probable pili assembly chaperone
961,PW1920,+,lacZbp03q1C06,PA0500,bioB,biotin synthase
962,PW1922,+,lacZbp01q3B02,PA0501,bioF,8-amino-7-oxononanoate synthase
963,PW1924,+,phoAwp07q1A04,PA0502,,probable biotin biosynthesis protein bioH
964,PW1925,+,phoAwp02q2H01,PA0504,bioD,dethiobiotin synthase
965,PW1926,+,lacZbp02q2D11,PA0506,,probable acyl-CoA dehydrogenase
966,PW1927,+,lacZbp02q4C06,PA0506,,probable acyl-CoA dehydrogenase
967,PW1928,+,phoAwp03q2C03,PA0507,,probable acyl-CoA dehydrogenase
968,PW1929,+,phoAwp06q3F10,PA0507,,probable acyl-CoA dehydrogenase
969,PW1930,+,lacZwp07q4F09,PA0508,,probable acyl-CoA dehydrogenase
970,PW1931,+,phoAwp08q3A08,PA0508,,probable acyl-CoA dehydrogenase
971,PW1933,+,phoAwp07q1G06,PA0509,nirN,probable c-type cytochrome
972,PW1932,+,phoAbp02q3F05,PA0509,nirN,probable c-type cytochrome
973,PW1934,+,lacZbp02q4B04,PA0510,,probable uroporphyrin-III c-methyltransferase
974,PW1935,,phoAwp01q4D01,PA0510,,probable uroporphyrin-III c-methyltransferase
975,PW1937,+,phoAwp03q1G10,PA0511,nirJ,heme d1 biosynthesis protein NirJ
976,PW1938,+,phoAwp10q1F09,PA0511,nirJ,heme d1 biosynthesis protein NirJ
977,PW1936,+,lacZbp02q3G12,PA0511,nirJ,heme d1 biosynthesis protein NirJ
978,PW1940,+,phoAwp09q2B01,PA0512,,conserved hypothetical protein
979,PW1939,+,lacZwp01q1D10,PA0512,,conserved hypothetical protein
980,PW1942,+,lacZwp05q3D08,PA0513,,probable transcriptional regulator
981,PW1941,,lacZwp04q4C11,PA0513,,probable transcriptional regulator
982,PW1943,+,phoAwp06q2G08,PA0514,nirL,heme d1 biosynthesis protein NirL
983,PW1944,,phoAwp06q2H11,PA0514,nirL,heme d1 biosynthesis protein NirL
984,PW1946,+,phoAwp08q3G04,PA0515,,probable transcriptional regulator
985,PW1945,+,phoAwp02q3C03,PA0515,,probable transcriptional regulator
986,PW1947,+,phoAbp02q1E12,PA0516,nirF,heme d1 biosynthesis protein NirF
987,PW1948,+,phoAbp02q4B04,PA0516,nirF,heme d1 biosynthesis protein NirF
988,PW1949,+,phoAbp02q1G11,PA0518,nirM,cytochrome c-551 precursor
989,PW7165,+,phoAbp02q2E12,PA0518,nirM,cytochrome c-551 precursor
990,PW1950,+,phoAbp02q2B04,PA0518,nirM,cytochrome c-551 precursor
991,PW9437,+,phoAwp10q3G02,PA0519,nirS,nitrite reductase precursor
992,PW1952,+,phoAbp02q1G10,PA0519,nirS,nitrite reductase precursor
993,PW1951,+,lacZbp02q4F12,PA0519,nirS,nitrite reductase precursor
994,PW1954,+,lacZbp02q1B05,PA0520,nirQ,regulatory protein NirQ
995,PW1953,+,lacZbp01q2G08,PA0520,nirQ,regulatory protein NirQ
996,PW1956,+,phoAwp08q3F03,PA0521,,probable cytochrome c oxidase subunit
997,PW1955,,lacZwp02q4F03,PA0521,,probable cytochrome c oxidase subunit
998,PW1957,+,lacZwp04q3A12,PA0522,,hypothetical protein
999,PW1958,+,lacZwp06q3D04,PA0522,,hypothetical protein
1000,PW1959,+,lacZbp03q3B02,PA0523,norC,nitric-oxide reductase subunit C
1001,PW1960,+,phoAwp01q1H04,PA0523,norC,nitric-oxide reductase subunit C
1002,PW1962,+,phoAwp05q4A11,PA0524,norB,nitric-oxide reductase subunit B
1003,PW1961,+,phoAbp02q2A04,PA0524,norB,nitric-oxide reductase subunit B
1004,PW1963,+,phoAwp02q1E01,PA0525,,probable dinitrification protein NorD
1005,PW1964,+,phoAwp03q4C05,PA0525,,probable dinitrification protein NorD
1006,PW1966,+,phoAwp07q1G02,PA0527,dnr,transcriptional regulator Dnr
1007,PW1965,+,lacZwp09q2E02,PA0527,dnr,transcriptional regulator Dnr
1008,PW1967,+,lacZbp03q1F07,PA0528,,probable transcriptional regulator
1009,PW1968,+,phoAwp08q3D02,PA0528,,probable transcriptional regulator
1010,PW3595,+,phoAwp05q2B11,PA0529,,conserved hypothetical protein
1011,PW1970,+,phoAwp08q1G04,PA0529,,conserved hypothetical protein
1012,PW1969,+,phoAwp02q1B05,PA0529,,conserved hypothetical protein
1013,PW1972,+,phoAwp06q1C10,PA0530,,probable class III pyridoxal phosphate-dependent aminotransferase
1014,PW1971,+,phoAwp05q3D12,PA0530,,probable class III pyridoxal phosphate-dependent aminotransferase
1015,PW1974,+,phoAwp10q2G11,PA0531,,probable glutamine amidotransferase
1016,PW1975,+,phoAwp06q4E09,PA0532,,hypothetical protein
1017,PW1976,,phoAwp06q4G07,PA0532,,hypothetical protein
1018,PW1978,+,lacZwp03q1H02,PA0533,,probable transcriptional regulator
1019,PW1980,+,Supplemental_Plate2H02,PA0533,,probable transcriptional regulator
1020,PW1977,+,lacZwp01q1C04,PA0533,,probable transcriptional regulator
1021,PW1979,+,lacZwp08q4A12,PA0534,,conserved hypothetical protein
1022,PW1982,+,phoAbp02q1D08,PA0534,,conserved hypothetical protein
1023,PW1981,+,phoAbp01q2A03,PA0534,,conserved hypothetical protein
1024,PW1984,+,lacZwp09q1H08,PA0535,,probable transcriptional regulator
1025,PW1983,+,lacZbp02q1H04,PA0535,,probable transcriptional regulator
1026,PW4203,+,lacZbp02q4E01,PA0535,,probable transcriptional regulator
1027,PW1986,+,phoAwp07q3A09,PA0536,,hypothetical protein
1028,PW1985,+,phoAbp01q2F12,PA0536,,hypothetical protein
1029,PW1988,+,phoAbp01q3H02,PA0537,,conserved hypothetical protein
1030,PW1987,+,phoAbp01q1D09,PA0537,,conserved hypothetical protein
1031,PW1990,+,lacZwp06q4D06,PA0538,dsbB,disulfide bond formation protein
1032,PW1989,+,lacZwp02q3H12,PA0538,dsbB,disulfide bond formation protein
1033,PW1991,+,phoAwp03q2G03,PA0539,,hypothetical protein
1034,PW1992,+,phoAwp10q1E05,PA0539,,hypothetical protein
1035,PW1994,+,phoAwp03q3F04,PA0540,,hypothetical protein
1036,PW1993,+,phoAwp03q1E01,PA0540,,hypothetical protein
1037,PW1995,+,phoAbp01q3C12,PA0541,,hypothetical protein
1038,PW3894,+,phoAbp01q4D02,PA0541,,hypothetical protein
1039,PW1996,+,phoAbp02q1C09,PA0541,,hypothetical protein
1040,PW1998,,phoAwp01q4H04,PA0542,,conserved hypothetical protein
1041,PW1997,+,phoAbp02q2G01,PA0542,,conserved hypothetical protein
1042,PW2000,+,phoAwp04q3G08,PA0543,,hypothetical protein
1043,PW1999,+,phoAwp03q2H12,PA0543,,hypothetical protein
1044,PW1749,,lacZwp07q4C03,PA0544,,hypothetical protein
1045,PW2001,+,phoAwp03q4G02,PA0544,,hypothetical protein
1046,PW2002,+,phoAwp05q4B01,PA0544,,hypothetical protein
1047,PW2003,+,lacZwp03q1A03,PA0545,,hypothetical protein
1048,PW2004,+,phoAwp05q3A05,PA0545,,hypothetical protein
1049,PW2005,+,phoAwp07q1A05,PA0545,,hypothetical protein
1050,PW2006,,lacZbp01q2G02,PA0546,metK,methionine adenosyltransferase
1051,PW2007,+,phoAwp10q1F08,PA0546,metK,methionine adenosyltransferase
1052,PW2009,+,Supplemental_Plate2F10,PA0547,,probable transcriptional regulator
1053,PW2008,+,phoAwp10q2H02,PA0547,,probable transcriptional regulator
1054,PW2010,+,lacZwp06q3E11,PA0549,,hypothetical protein
1055,PW2011,,lacZwp08q1B12,PA0549,,hypothetical protein
1056,PW2012,+,lacZwp05q3F11,PA0550,,conserved hypothetical protein
1057,PW2013,+,phoAwp09q2H02,PA0550,,conserved hypothetical protein
1058,PW2015,+,phoAwp02q2C01,PA0552,pgk,phosphoglycerate kinase
1059,PW2016,+,lacZwp07q2H12,PA0553,,hypothetical protein
1060,PW2017,+,lacZwp05q1G04,PA0554,,hypothetical protein
1061,PW2018,+,phoAbp02q1D10,PA0554,,hypothetical protein
1062,PW2019,+,phoAwp05q4C06,PA0556,,hypothetical protein
1063,PW2020,+,phoAwp10q1G05,PA0556,,hypothetical protein
1064,PW2021,+,lacZbp01q1F09,PA0557,,hypothetical protein
1065,PW2022,+,lacZwp09q2G08,PA0557,,hypothetical protein
1066,PW2023,+,phoAwp04q1H11,PA0558,,conserved hypothetical protein
1067,PW2024,+,phoAwp07q1F07,PA0558,,conserved hypothetical protein
1068,PW2026,+,lacZwp03q3E10,PA0559,,conserved hypothetical protein
1069,PW2027,+,Supplemental_Plate4E10,PA0559,,conserved hypothetical protein
1070,PW5027,+,phoAwp07q3B01,PA0559,,conserved hypothetical protein
1071,PW2025,+,lacZbp01q1G12,PA0559,,conserved hypothetical protein
1072,PW2029,+,phoAwp08q2E06,PA0560,,conserved hypothetical protein
1073,PW2028,+,lacZwp07q4D01,PA0560,,conserved hypothetical protein
1074,PW2031,+,phoAbp01q1F04,PA0561,,hypothetical protein
1075,PW2030,+,lacZwp03q3D03,PA0561,,hypothetical protein
1076,PW2032,+,phoAwp09q3G01,PA0561,,hypothetical protein
1077,PW2033,+,lacZbp03q2H01,PA0562,,probable hydrolase
1078,PW2034,+,lacZwp05q3F08,PA0562,,probable hydrolase
1079,PW2036,+,phoAwp01q4C06,PA0563,,conserved hypothetical protein
1080,PW2035,+,phoAbp02q3A07,PA0563,,conserved hypothetical protein
1081,PW2039,+,phoAwp06q2F02,PA0564,,probable transcriptional regulator
1082,PW2037,+,phoAwp05q2A04,PA0564,,probable transcriptional regulator
1083,PW2038,,phoAwp05q2H09,PA0564,,probable transcriptional regulator
1084,PW2041,+,phoAwp05q3C12,PA0565,,conserved hypothetical protein
1085,PW2040,,lacZwp05q1H04,PA0565,,conserved hypothetical protein
1086,PW2042,+,lacZwp06q3F11,PA0566,,hypothetical protein
1087,PW2043,+,phoAwp10q1D05,PA0566,,hypothetical protein
1088,PW2044,+,phoAbp03q2C12,PA0567,,conserved hypothetical protein
1089,PW2045,+,phoAwp09q1A07,PA0567,,conserved hypothetical protein
1090,PW2047,+,phoAwp07q4D05,PA0569,,hypothetical protein
1091,PW2046,+,lacZwp08q2H08,PA0569,,hypothetical protein
1092,PW2049,+,Supplemental_Plate2A12,PA0570,,hypothetical protein
1093,PW2048,+,lacZwp02q2B12,PA0570,,hypothetical protein
1094,PW2050,,lacZbp01q3C06,PA0571,,hypothetical protein
1095,PW2051,+,phoAwp01q3F10,PA0571,,hypothetical protein
1096,PW1533,,phoAbp01q1A08,PA0572,,hypothetical protein
1097,PW2052,+,phoAbp01q1A07,PA0572,,hypothetical protein
1098,PW2053,+,phoAbp01q2D05,PA0572,,hypothetical protein
1099,PW2054,+,phoAwp03q3B06,PA0572,,hypothetical protein
1100,PW2055,,phoAwp05q2D05,PA0573,,hypothetical protein
1101,PW2056,+,phoAwp07q1H06,PA0573,,hypothetical protein
1102,PW2057,+,lacZbp02q2C11,PA0574,,hypothetical protein
1103,PW2059,+,lacZwp04q1A11,PA0574,,hypothetical protein
1104,PW2058,+,lacZbp03q4C03,PA0574,,hypothetical protein
1105,PW2061,+,phoAwp07q3D07,PA0575,,conserved hypothetical protein
1106,PW2060,+,phoAwp04q3A03,PA0575,,conserved hypothetical protein
1107,PW5581,+,lacZbp01q3D06,PA0575,,conserved hypothetical protein
1108,PW2062,+,lacZwp02q4G10,PA0577,dnaG,DNA primase
1109,PW2064,+,phoAwp03q4C04,PA0578,,conserved hypothetical protein
1110,PW2065,+,lacZwp07q2B06,PA0581,,conserved hypothetical protein
1111,PW2066,+,phoAwp04q4G01,PA0583,,hypothetical protein
1112,PW2067,+,phoAwp06q3B02,PA0583,,hypothetical protein
1113,PW2068,+,lacZwp08q4C07,PA0584,cca,tRNA nucleotidyl transferase
1114,PW2070,+,lacZwp09q1E11,PA0585,,hypothetical protein
1115,PW2069,+,lacZwp06q1F03,PA0585,,hypothetical protein
1116,PW2072,+,lacZwp03q3G06,PA0586,,conserved hypothetical protein
1117,PW2071,+,lacZbp02q4C10,PA0586,,conserved hypothetical protein
1118,PW2073,+,lacZwp04q1F06,PA0586,,conserved hypothetical protein
1119,PW2074,+,lacZwp03q1D12,PA0587,,conserved hypothetical protein
1120,PW2075,+,lacZwp09q3B03,PA0587,,conserved hypothetical protein
1121,PW2076,+,lacZwp09q4B05,PA0587,,conserved hypothetical protein
1122,PW2079,+,lacZwp03q1A12,PA0588,,conserved hypothetical protein
1123,PW2078,+,lacZbp03q4G01,PA0588,,conserved hypothetical protein
1124,PW2077,+,lacZbp02q1D03,PA0588,,conserved hypothetical protein
1125,PW2080,+,lacZbp03q1A07,PA0589,,conserved hypothetical protein
1126,PW2081,,lacZbp03q1A08,PA0589,,conserved hypothetical protein
1127,PW2082,+,lacZwp08q3G10,PA0589,,conserved hypothetical protein
1128,PW2083,+,phoAwp03q3B09,PA0590,apaH,bis(5'-nucleosyl)-tetraphosphatase
1129,PW2084,+,lacZwp01q3G12,PA0591,,conserved hypothetical protein
1130,PW2086,+,phoAwp07q4E09,PA0592,ksgA,"rRNA (adenine-N6,N6)-dimethyltransferase"
1131,PW2085,+,phoAwp06q2B08,PA0592,ksgA,"rRNA (adenine-N6,N6)-dimethyltransferase"
1132,PW2088,,lacZwp05q2G07,PA0595,ostA,organic solvent tolerance protein OstA precursor
1133,PW2089,+,lacZbp01q2F08,PA0596,,hypothetical protein
1134,PW2091,+,lacZwp02q1F11,PA0598,,hypothetical protein
1135,PW2092,+,phoAwp02q1G01,PA0598,,hypothetical protein
1136,PW2094,+,phoAwp05q2E06,PA0599,,hypothetical protein
1137,PW2093,+,phoAbp01q3G08,PA0599,,hypothetical protein
1138,PW2095,+,lacZwp06q1D10,PA0600,,probable two-component sensor
1139,PW2096,+,phoAwp01q4D12,PA0600,,probable two-component sensor
1140,PW2097,+,phoAwp01q3A09,PA0601,,probable two-component response regulator
1141,PW2100,+,phoAbp02q4B10,PA0602,,probable binding protein component of ABC transporter
1142,PW2099,+,phoAbp01q2H10,PA0602,,probable binding protein component of ABC transporter
1143,PW2102,+,phoAwp02q3C12,PA0603,,probable ATP-binding component of ABC transporter
1144,PW2101,+,lacZbp01q1D11,PA0603,,probable ATP-binding component of ABC transporter
1145,PW2172,+,lacZbp01q2F10,PA0603,,probable ATP-binding component of ABC transporter
1146,PW2104,+,phoAwp07q4A10,PA0604,,probable binding protein component of ABC transporter
1147,PW2103,+,phoAwp03q3A08,PA0604,,probable binding protein component of ABC transporter
1148,PW2105,+,phoAbp01q3B04,PA0605,,probable permease of ABC transporter
1149,PW2106,+,phoAbp03q1D06,PA0605,,probable permease of ABC transporter
1150,PW2108,+,phoAbp03q2E06,PA0606,,probable permease of ABC transporter
1151,PW2107,+,phoAbp01q1G05,PA0606,,probable permease of ABC transporter
1152,PW7608,+,phoAbp02q1H05,PA0606,,probable permease of ABC transporter
1153,PW8870,+,phoAbp01q1H05,PA0606,,probable permease of ABC transporter
1154,PW2109,+,phoAwp07q1B09,PA0608,,probable phosphoglycolate phosphatase
1155,PW2110,+,phoAwp08q1A12,PA0608,,probable phosphoglycolate phosphatase
1156,PW2111,+,lacZbp03q1A11,PA0609,trpE,anthranilate synthetase component I
1157,PW2114,+,phoAwp08q3C06,PA0613,,hypothetical protein
1158,PW2116,+,phoAwp09q3E11,PA0614,,hypothetical protein
1159,PW2115,+,lacZwp04q2F01,PA0614,,hypothetical protein
1160,PW2118,+,phoAwp07q1E04,PA0615,,hypothetical protein
1161,PW2117,+,phoAwp04q4B03,PA0615,,hypothetical protein
1162,PW2120,+,phoAwp09q4A02,PA0616,,hypothetical protein
1163,PW2119,+,phoAwp02q4B07,PA0616,,hypothetical protein
1164,PW2121,+,lacZbp01q1A05,PA0617,,probable bacteriophage protein
1165,PW2122,+,phoAwp01q2D07,PA0617,,probable bacteriophage protein
1166,PW2123,,lacZbp01q2C05,PA0618,,probable bacteriophage protein
1167,PW2124,+,phoAwp01q2H07,PA0618,,probable bacteriophage protein
1168,PW2126,+,phoAwp06q1D02,PA0619,,probable bacteriophage protein
1169,PW2125,+,lacZwp07q2G09,PA0619,,probable bacteriophage protein
1170,PW2128,+,phoAwp06q4E02,PA0620,,probable bacteriophage protein
1171,PW2127,+,lacZbp02q2A03,PA0620,,probable bacteriophage protein
1172,PW1383,+,lacZbp03q1E08,PA0620,,probable bacteriophage protein
1173,PW2129,+,lacZbp03q2G05,PA0621,,conserved hypothetical protein
1174,PW2130,+,phoAwp05q2G06,PA0621,,conserved hypothetical protein
1175,PW2131,+,lacZbp03q1H12,PA0622,,probable bacteriophage protein
1176,PW2132,+,phoAwp09q2D06,PA0622,,probable bacteriophage protein
1177,PW2134,+,phoAwp05q4C03,PA0623,,probable bacteriophage protein
1178,PW2133,+,lacZbp01q3H03,PA0623,,probable bacteriophage protein
1179,PW2135,+,lacZbp01q1B01,PA0624,,hypothetical protein
1180,PW2136,+,lacZbp02q1D05,PA0624,,hypothetical protein
1181,PW2138,+,lacZbp03q3H05,PA0625,,hypothetical protein
1182,PW2137,+,lacZbp03q1E07,PA0625,,hypothetical protein
1183,PW2139,+,phoAwp02q2C07,PA0626,,hypothetical protein
1184,PW2140,+,phoAwp03q3B03,PA0626,,hypothetical protein
1185,PW2141,+,lacZwp05q1B06,PA0627,,conserved hypothetical protein
1186,PW2142,+,phoAwp06q4C06,PA0627,,conserved hypothetical protein
1187,PW2143,+,lacZbp02q3D03,PA0628,,conserved hypothetical protein
1188,PW2144,+,phoAwp01q2G02,PA0628,,conserved hypothetical protein
1189,PW2145,,Supplemental_Plate2D11,PA0629,,conserved hypothetical protein
1190,PW2146,,lacZwp09q1E07,PA0630,,hypothetical protein
1191,PW2147,+,phoAwp03q2E09,PA0630,,hypothetical protein
1192,PW2149,+,phoAwp10q2H11,PA0632,,hypothetical protein
1193,PW2148,+,phoAwp09q2E07,PA0632,,hypothetical protein
1194,PW2150,+,lacZbp01q1E12,PA0633,,hypothetical protein
1195,PW2151,+,phoAwp04q4D12,PA0633,,hypothetical protein
1196,PW2152,+,phoAwp02q3E11,PA0634,,hypothetical protein
1197,PW2153,+,phoAwp10q3D01,PA0634,,hypothetical protein
1198,PW2154,+,phoAwp01q3E06,PA0635,,hypothetical protein
1199,PW2156,+,lacZwp09q1G09,PA0636,,hypothetical protein
1200,PW2155,+,lacZbp03q1B04,PA0636,,hypothetical protein
1201,PW2158,+,phoAwp06q1C07,PA0638,,probable bacteriophage protein
1202,PW2157,+,phoAwp04q4G07,PA0638,,probable bacteriophage protein
1203,PW2159,+,phoAwp02q1A06,PA0639,,conserved hypothetical protein
1204,PW2160,+,phoAwp05q2F10,PA0639,,conserved hypothetical protein
1205,PW2162,+,lacZwp03q4G06,PA0640,,probable bacteriophage protein
1206,PW2161,+,lacZbp01q2D05,PA0640,,probable bacteriophage protein
1207,PW2163,+,phoAwp07q1A08,PA0641,,probable bacteriophage protein
1208,PW2164,+,phoAwp10q2B04,PA0641,,probable bacteriophage protein
1209,PW2165,+,lacZwp02q2H08,PA0642,,hypothetical protein
1210,PW2166,+,lacZbp01q2D07,PA0643,,hypothetical protein
1211,PW2167,+,lacZbp01q3A11,PA0643,,hypothetical protein
1212,PW2169,+,phoAwp09q3C11,PA0644,,hypothetical protein
1213,PW2168,+,lacZbp01q2A09,PA0644,,hypothetical protein
1214,PW2170,+,phoAwp01q2H12,PA0645,,hypothetical protein
1215,PW2171,+,phoAwp10q3A01,PA0645,,hypothetical protein
1216,PW2173,+,lacZbp02q4C05,PA0646,,hypothetical protein
1217,PW2174,+,lacZwp07q1H03,PA0648,,hypothetical protein
1218,PW2175,+,lacZwp08q1C06,PA0649,trpG,anthranilate synthase component II
1219,PW2176,+,phoAbp03q3B02,PA0649,trpG,anthranilate synthase component II
1220,PW2178,+,lacZwp09q1G06,PA0650,trpD,anthranilate phosphoribosyltransferase
1221,PW2177,+,lacZbp01q2A01,PA0650,trpD,anthranilate phosphoribosyltransferase
1222,PW2180,+,lacZwp09q3E05,PA0651,trpC,indole-3-glycerol-phosphate synthase
1223,PW2179,+,lacZbp03q1F09,PA0651,trpC,indole-3-glycerol-phosphate synthase
1224,PW2182,+,lacZwp06q1F05,PA0652,vfr,transcriptional regulator Vfr
1225,PW2181,+,lacZbp03q2G11,PA0652,vfr,transcriptional regulator Vfr
1226,PW2951,,Supplemental_Plate2F01,PA0652,vfr,transcriptional regulator Vfr
1227,PW2184,+,phoAwp08q3D06,PA0653,,conserved hypothetical protein
1228,PW2183,+,lacZbp03q2E09,PA0653,,conserved hypothetical protein
1229,PW2186,+,lacZbp03q3A12,PA0654,speD,S-adenosylmethionine decarboxylase proenzyme
1230,PW2185,+,lacZbp01q3E11,PA0654,speD,S-adenosylmethionine decarboxylase proenzyme
1231,PW2188,+,phoAwp09q1G01,PA0656,,probable HIT family protein
1232,PW2187,+,lacZwp04q3C12,PA0656,,probable HIT family protein
1233,PW2190,+,lacZwp08q3H07,PA0657,,probable ATPase
1234,PW2189,+,lacZbp01q2H11,PA0657,,probable ATPase
1235,PW2192,+,phoAwp03q1A09,PA0658,,probable short-chain dehydrogenase
1236,PW5784,,lacZwp09q1E03,PA0658,,probable short-chain dehydrogenase
1237,PW2191,+,lacZwp08q3D03,PA0658,,probable short-chain dehydrogenase
1238,PW2194,+,phoAbp01q2F02,PA0659,,hypothetical protein
1239,PW2193,+,lacZbp01q2A08,PA0659,,hypothetical protein
1240,PW2195,+,phoAwp04q3D03,PA0660,,hypothetical protein
1241,PW2196,+,phoAwp07q1G03,PA0660,,hypothetical protein
1242,PW2198,+,phoAwp05q3H12,PA0662,argC,N-acetyl-gamma-glutamyl-phosphate reductase
1243,PW2197,+,phoAwp02q4C11,PA0662,argC,N-acetyl-gamma-glutamyl-phosphate reductase
1244,PW2200,+,phoAwp04q1G06,PA0663,,hypothetical protein
1245,PW2199,+,lacZwp08q2H11,PA0663,,hypothetical protein
1246,PW2202,+,lacZbp02q2H12,PA0664,,hypothetical protein
1247,PW2201,+,lacZbp02q2C05,PA0664,,hypothetical protein
1248,PW2204,+,phoAwp05q1B07,PA0666,,conserved hypothetical protein
1249,PW2205,+,phoAbp02q1A06,PA0667,,conserved hypothetical protein
1250,PW2206,+,phoAbp02q2E06,PA0667,,conserved hypothetical protein
1251,PW2207,+,lacZbp03q1D08,PA0668,tyrZ,tyrosyl-tRNA synthetase 2
1252,PW2208,+,lacZbp03q1E10,PA0668,tyrZ,tyrosyl-tRNA synthetase 2
1253,PW2209,+,lacZwp03q2G05,PA0668,tyrZ,tyrosyl-tRNA synthetase 2
1254,PW2210,+,Supplemental_Plate4D05,PA0668,tyrZ,tyrosyl-tRNA synthetase 2
1255,PW2212,+,phoAwp05q3H04,PA0669,,probable DNA polymerase alpha chain
1256,PW10224,+,phoAwp07q4D06,PA0669,,probable DNA polymerase alpha chain
1257,PW2211,+,lacZwp09q2C03,PA0669,,probable DNA polymerase alpha chain
1258,PW2214,+,Supplemental_Plate4C05,PA0670,,hypothetical protein
1259,PW2213,+,lacZwp01q4H09,PA0670,,hypothetical protein
1260,PW2215,,lacZwp06q2H07,PA0673,,hypothetical protein
1261,PW2217,+,lacZwp09q3G08,PA0674,,hypothetical protein
1262,PW2220,+,lacZwp09q2B12,PA0675,,"probable sigma-70 factor, ECF subfamily"
1263,PW2219,+,lacZwp03q4A05,PA0675,,"probable sigma-70 factor, ECF subfamily"
1264,PW2222,+,phoAwp04q2A10,PA0676,,probable transmembrane sensor
1265,PW2221,,lacZwp06q4D10,PA0676,,probable transmembrane sensor
1266,PW2224,+,phoAwp03q2G09,PA0677,,HxcW putative pseudopilin
1267,PW2223,+,lacZwp08q2D02,PA0677,,HxcW putative pseudopilin
1268,PW2225,+,phoAwp04q1H12,PA0678,,HxcU putative pseudopilin
1269,PW2226,+,phoAwp09q3A04,PA0678,,HxcU putative pseudopilin
1270,PW2229,+,lacZwp09q3D06,PA0679,,hypothetical protein
1271,PW2227,,lacZwp03q1H10,PA0679,,hypothetical protein
1272,PW2228,+,lacZwp09q1G11,PA0679,,hypothetical protein
1273,PW2231,+,phoAwp04q1C01,PA0680,,HxcV putative pseudopilin
1274,PW2230,+,phoAwp01q4D04,PA0680,,HxcV putative pseudopilin
1275,PW2232,,lacZwp01q2E08,PA0681,,HxcT pseudopilin
1276,PW2233,+,phoAwp05q3A06,PA0681,,HxcT pseudopilin
1277,PW2234,+,phoAwp01q1G09,PA0682,,HxcX atypical pseudopilin
1278,PW2235,+,phoAwp03q3G03,PA0682,,HxcX atypical pseudopilin
1279,PW2236,+,lacZwp02q4H09,PA0683,,probable type II secretion system protein
1280,PW2237,+,phoAwp01q3C12,PA0683,,probable type II secretion system protein
1281,PW2238,,lacZwp06q4C03,PA0684,,probable type II secretion system protein
1282,PW2240,+,phoAwp04q2F01,PA0685,,probable type II secretion system protein
1283,PW10423,+,phoAwp06q4C08,PA0685,,probable type II secretion system protein
1284,PW2239,+,phoAwp02q4F01,PA0685,,probable type II secretion system protein
1285,PW2242,+,phoAwp06q1G07,PA0686,,probable type II secretion system protein
1286,PW2241,,lacZbp02q4F10,PA0686,,probable type II secretion system protein
1287,PW2244,,phoAwp08q3A07,PA0687,,probable type II secretion system protein
1288,PW2243,+,phoAwp08q1E10,PA0687,,probable type II secretion system protein
1289,PW2246,+,lacZwp04q4A06,PA0688,,probable binding protein component of ABC transporter
1290,PW2245,+,lacZwp01q1F06,PA0688,,probable binding protein component of ABC transporter
1291,PW2248,+,phoAwp03q2C07,PA0689,,hypothetical protein
1292,PW2249,+,lacZwp07q3F09,PA0690,,hypothetical protein
1293,PW2250,+,phoAwp06q4F09,PA0690,,hypothetical protein
1294,PW2252,+,phoAwp03q4F12,PA0691,,hypothetical protein
1295,PW2251,+,phoAwp03q2D07,PA0691,,hypothetical protein
1296,PW2253,,phoAwp04q1A10,PA0691,,hypothetical protein
1297,PW2255,+,phoAwp07q3H12,PA0692,,hypothetical protein
1298,PW2254,+,lacZwp08q4H02,PA0692,,hypothetical protein
1299,PW2257,+,phoAwp03q4B05,PA0693,exbB2,transport protein ExbB2
1300,PW2256,+,lacZwp02q1D12,PA0693,exbB2,transport protein ExbB2
1301,PW2258,+,lacZwp06q4C02,PA0694,exbD2,transport protein ExbD
1302,PW2259,+,phoAwp01q4A07,PA0694,exbD2,transport protein ExbD
