PA14 NR Set Plate (PO_PlateLabel96),PA14 NR Set Well (PO_PlateLocation96ADD),Parental Library Source Plate (WOR_PlateLabel),Parental Library Source Plate Well (WOR_PlateWellPosition),MutantID,PA14 Genomic Position,PA14 Genome BLASTN Bit Score,Unambiguous Insertion Location?,Locus Tag,"""Active"" GeneID","Tn insertion position within ""Active"" Gene (bp)","""Active"" Gene Length (bp)","PAO1 ortholog of ""Active"" gene","""Active"" Gene Name","""Active"" Gene Description","All predicted Gene Locus Names (Intragenic Position/Gene Length), ('*' indicates ""Active"" gene)",All Predicted GeneIDs,PAO1 Orthologs,PA14 NR Set Comments,library_position
PAMr_nr_mas_04_1,G3,PA14_MrT7_307wor,H7,29467,5412677,285,Y,PA14_60730,GID878,233,1392,PA4589,,putative outer membrane protein,"PA14_60730(233/1392), PA14_60740*(923/1425)","GID878, GID6711",PA4589,,PAMr_nr_mas_04_1G3
PAMr_nr_mas_04_1,G4,PA14_MrT7_307wor,H8,29468,3410895,192,Y,PA14_38220,GID2400,409,909,PA2033,,putative siderophore-interacting protein,"PA14_38220(409/909), PA14_38230*(456/945)","GID2400, GID5869",PA2033,,PAMr_nr_mas_04_1G4
PAMr_nr_mas_04_1,G5,PA14_MrT7_308wor,A8,29480,4281734,87.7,Y,PA14_48100,GID1317,337,1299,PA1247,aprE,alkaline protease secretion protein AprE,"PA14_48100(337/1299), PA14_48070*(344/2874)","GID1317, GID5654",PA1247,,PAMr_nr_mas_04_1G5
PAMr_nr_mas_04_1,G6,PA14_MrT7_308wor,B2,29486,5963973,111,Y,PA14_66770,GID4230,14,534,PA5053,hslV,heat shock protein HslV,PA14_66770(14/534),GID4230,PA5053,,PAMr_nr_mas_04_1G6
PAMr_nr_mas_04_1,G7,PA14_MrT7_308wor,B10,29494,2146369,1213,Y,PA14_24560,GID1141,77,1371,PA3058,pelG,PelG,PA14_24560(77/1371),GID1141,PA3058,,PAMr_nr_mas_04_1G7
PAMr_nr_mas_04_1,G8,PA14_MrT7_308wor,C8,29504,4007886,315,Y,PA14_44950,GID1079,768,1368,PA1507,,putative transporter,"PA14_44950(768/1368), PA14_44940*(481/1437)","GID1079, GID5721",PA1507,,PAMr_nr_mas_04_1G8
PAMr_nr_mas_04_1,G9,PA14_MrT7_308wor,C9,29505,4448598,765,Y,PA14_50040,GID3022,24,780,PA1109,,probable transcriptional regulator,PA14_50040(24/780),GID3022,PA1109,,PAMr_nr_mas_04_1G9
PAMr_nr_mas_04_1,G10,PA14_MrT7_308wor,C10,29506,5397788,1126,Y,PA14_60550,GID179,186,2454,PA4576,,putative ATP-dependent protease,PA14_60550(186/2454),GID179,PA4576,,PAMr_nr_mas_04_1G10
PAMr_nr_mas_04_1,G11,PA14_MrT7_308wor,C12,29508,828468,129,Y,PA14_09630,GID506,452,1782,PA4199,,putative acyl-CoA dehydrogenase,"PA14_09630(452/1782), PA14_09620*(1499/1968)","GID506, GID6601",PA4199,,PAMr_nr_mas_04_1G11
PAMr_nr_mas_04_1,G12,PA14_MrT7_308wor,D4,29512,5009543,862,Y,PA14_56090,GID3324,170,738,PA4317,,conserved hypothetical protein,PA14_56090(170/738),GID3324,PA4317,,PAMr_nr_mas_04_1G12
PAMr_nr_mas_04_1,H1,PA14_MrT7_308wor,D8,29516,1799929,821,Y,PA14_20880,GID5116,154,291,PA3338,,conserved hypothetical protein,PA14_20880(154/291),GID5116,PA3338,,PAMr_nr_mas_04_1H1
PAMr_nr_mas_04_1,H2,PA14_MrT7_308wor,D10,29518,4045545,563,Y,PA14_45430,GID3393,449,738,PA1470,,putative short-chain dehydrogenase,PA14_45430(449/738),GID3393,PA1470,,PAMr_nr_mas_04_1H2
PAMr_nr_mas_04_1,H3,PA14_MrT7_308wor,D11,29519,280347,1168,Y,PA14_03170,GID2907,211,840,PA0987,,conserved hypothetical protein,PA14_03170(211/840),GID2907,PA0987,,PAMr_nr_mas_04_1H3
PAMr_nr_mas_04_1,H4,PA14_MrT7_308wor,E7,29527,4588849,670,Y,PA14_51630,GID2705,704,846,PA0978,RS04,putative transposase,PA14_51630(704/846),GID2705,PA0978,,PAMr_nr_mas_04_1H4
PAMr_nr_mas_04_1,H5,PA14_MrT7_308wor,E8,29528,4789353,767,Y,PA14_54000,GID788,775,1485,PA0792,prpD,propionate catabolic protein PrpD,"PA14_54000(775/1485), PA14_53990*(654/1893)","GID788, GID5542",PA0792,,PAMr_nr_mas_04_1H5
PAMr_nr_mas_04_1,H6,PA14_MrT7_308wor,F1,29533,2249988,1001,Y,PA14_25780,GID3072,304,777,PA2959,,"putative deoxyribonuclease, TatD family",PA14_25780(304/777),GID3072,PA2959,,PAMr_nr_mas_04_1H6
PAMr_nr_mas_04_1,H7,PA14_MrT7_308wor,F4,29536,548467,137,Y,PA14_06210,GID4049,130,570,PA0475,,putative transcriptional regulator,PA14_06210(130/570),GID4049,PA0475,,PAMr_nr_mas_04_1H7
PAMr_nr_mas_04_1,H8,PA14_MrT7_308wor,F7,29539,6213416,285,Y,PA14_69630,GID4755,209,405,PA5274,rnk,nucleoside diphosphate kinase regulator,PA14_69630(209/405),GID4755,PA5274,,PAMr_nr_mas_04_1H8
PAMr_nr_mas_04_1,H9,PA14_MrT7_308wor,F10,29542,1199142,1130,Y,,,,,,,,PA14_13980*(4/1746),GID6493,,,PAMr_nr_mas_04_1H9
PAMr_nr_mas_04_1,H10,PA14_MrT7_308wor,G4,29548,2437585,983,Y,PA14_28150,GID2555,276,879,PA2778,,conserved hypothetical protein,"PA14_28150(276/879), PA14_28160*(1618/1620)","GID2555, GID6164",PA2778,,PAMr_nr_mas_04_1H10
PAMr_nr_mas_04_1,H11,PA14_MrT7_308wor,G6,29550,4565746,581,Y,PA14_51360,GID684,215,1593,PA1001,phnA,anthranilate synthase component I,"PA14_51360(215/1593), PA14_51370*(1364/1890)","GID684, GID5584",PA1001,,PAMr_nr_mas_04_1H11
PAMr_nr_mas_04_1,H12,PA14_MrT7_308wor,H7,29563,455756,831,Y,PA14_05220,GID1061,382,1374,PA0399,,cystathionine beta-synthase,PA14_05220(382/1374),GID1061,PA0399,,PAMr_nr_mas_04_1H12
PAMr_nr_mas_04_2,A1,PA14_MrT7_309wor,A6,29574,4020133,329,Y,PA14_45070,GID2737,35,852,PA1496,,putative potassium channel,PA14_45070(35/852),GID2737,PA1496,,PAMr_nr_mas_04_2A1
PAMr_nr_mas_04_2,A2,PA14_MrT7_309wor,A11,29579,3775158,1187,Y,PA14_42350,GID504,149,1803,PA1716,pscC,Type III secretion outer membrane protein PscC precursor,PA14_42350(149/1803),GID504,PA1716,,PAMr_nr_mas_04_2A2
PAMr_nr_mas_04_2,A3,PA14_MrT7_309wor,B5,29585,6094985,630,Y,PA14_68330,GID1265,430,1257,PA5171,arcA,arginine deiminase,"PA14_68330(430/1257), PA14_68320*(894/1344)","GID1265, GID6876",PA5171,,PAMr_nr_mas_04_2A3
PAMr_nr_mas_04_2,A4,PA14_MrT7_309wor,B7,29587,2705305,377,Y,PA14_31100,GID6081,345,639,,,putative plasmid partitioning protein,PA14_31100(345/639),GID6081,,,PAMr_nr_mas_04_2A4
PAMr_nr_mas_04_2,A5,PA14_MrT7_309wor,C1,29593,4576226,214,Y,PA14_51470,GID3964,407,618,PA0992,cupC1,fimbrial subunit CupC1,PA14_51470(407/618),GID3964,PA0992,,PAMr_nr_mas_04_2A5
PAMr_nr_mas_04_2,A6,PA14_MrT7_309wor,C5,29597,4273797,69.9,Y,PA14_48010,GID719,1481,1581,PA1253,,putative semialdehyde dehydrogenase,PA14_48010(1481/1581),GID719,PA1253,,PAMr_nr_mas_04_2A6
PAMr_nr_mas_04_2,A7,PA14_MrT7_309wor,C8,29600,2521346,272,Y,PA14_29150,GID4676,38,396,PA2706,,conserved hypothetical protein,"PA14_29150(38/396), PA14_29140*(1628/1755)","GID4676, GID6137",PA2706,,PAMr_nr_mas_04_2A7
PAMr_nr_mas_04_2,A8,PA14_MrT7_309wor,C10,29602,1642823,1170,Y,PA14_19020,GID1432,536,1227,PA3484,,hypothetical protein,PA14_19020(536/1227),GID1432,PA3484,,PAMr_nr_mas_04_2A8
PAMr_nr_mas_04_2,A9,PA14_MrT7_309wor,D5,29609,2006215,555,Y,PA14_23130,GID2452,132,924,PA3177,,putative sensory box/GGDEF domain protein,PA14_23130(132/924),GID2452,PA3177,,PAMr_nr_mas_04_2A9
PAMr_nr_mas_04_2,A10,PA14_MrT7_309wor,D8,29612,3758948,841,Y,PA14_42130,GID3317,8,732,PA1733,,putative proteasome-type protease,PA14_42130(8/732),GID3317,PA1733,,PAMr_nr_mas_04_2A10
PAMr_nr_mas_04_2,A11,PA14_MrT7_309wor,E2,29618,246728,751,Y,PA14_02770,GID3083,249,783,PA0227,,"putative CoA transferase, subunit B",PA14_02770(249/783),GID3083,PA0227,,PAMr_nr_mas_04_2A11
PAMr_nr_mas_04_2,A12,PA14_MrT7_309wor,E4,29620,3640789,706,Y,PA14_40800,GID4590,11,438,PA1835,,conserved hypothetical protein,PA14_40800(11/438),GID4590,PA1835,,PAMr_nr_mas_04_2A12
PAMr_nr_mas_04_2,B1,PA14_MrT7_309wor,E10,29626,6379176,696,Y,,,,,,,,PA14_71610*(141/996),GID6950,,,PAMr_nr_mas_04_2B1
PAMr_nr_mas_04_2,B2,PA14_MrT7_309wor,F5,29633,611930,926,Y,PA14_07060,GID3090,187,744,PA0544,,hypothetical protein,PA14_07060(187/744),GID3090,PA0544,,PAMr_nr_mas_04_2B2
PAMr_nr_mas_04_2,B3,PA14_MrT7_309wor,G3,29643,1491644,400,Y,PA14_17370,GID1370,264,1227,PA3631,,putative transport permease protein,"PA14_17370(264/1227), PA14_17360*(997/1281)","GID1370, GID6399",PA3631,,PAMr_nr_mas_04_2B3
PAMr_nr_mas_04_2,B4,PA14_MrT7_309wor,H2,29654,2903670,371,Y,PA14_33170,GID2483,581,915,PA2432,,putative transcriptional regulator,"PA14_33170(581/915), PA14_33140*(1556/2220)","GID2483, GID6008",PA2432,,PAMr_nr_mas_04_2B4
PAMr_nr_mas_04_2,B5,PA14_MrT7_309wor,H7,29659,4706971,137,Y,PA14_53100,GID5557,73,240,,,hypothetical protein,"PA14_53100(73/240), PA14_53080*(1192/2091)","GID5557, GID5558",,,PAMr_nr_mas_04_2B5
PAMr_nr_mas_04_2,B6,PA14_MrT7_310wor,A5,29669,1269324,527,Y,PA14_14940,GID1577,233,1149,PA3798,,putative aminotransferase,PA14_14940(233/1149),GID1577,PA3798,,PAMr_nr_mas_04_2B6
PAMr_nr_mas_04_2,B7,PA14_MrT7_310wor,A6,29670,6373843,704,Y,PA14_71530,GID2595,100,858,PA5420,purU2,formyltetrahydrofolate deformylase,"PA14_71530(100/858), PA14_71520*(867/1275)","GID2595, GID6947",PA5420,,PAMr_nr_mas_04_2B7
PAMr_nr_mas_04_2,B8,PA14_MrT7_310wor,A10,29674,1005040,498,Y,PA14_11600,GID525,268,1803,PA4039,,possible ABC transporter component,PA14_11600(268/1803),GID525,PA4039,,PAMr_nr_mas_04_2B8
PAMr_nr_mas_04_2,B9,PA14_MrT7_310wor,B3,29679,2535018,416,Y,PA14_29300,GID4204,519,525,PA2692,,putative transcriptional regulator,PA14_29300(519/525),GID4204,PA2692,,PAMr_nr_mas_04_2B9
PAMr_nr_mas_04_2,B10,PA14_MrT7_310wor,B7,29683,6135554,817,Y,PA14_68800,GID3598,371,678,PA5208,,putative phosphate transport regulator,"PA14_68800(371/678), PA14_68790*(356/741)","GID3598, GID6885",PA5208,,PAMr_nr_mas_04_2B10
PAMr_nr_mas_04_2,B11,PA14_MrT7_310wor,C6,29694,4068717,769,Y,PA14_45760,GID5283,226,270,PA1447,fliQ,flagellar biosynthetic protein FliQ,"PA14_45760(226/270), PA14_45730*(1750/1797), PA14_45750*(791/1098)","GID5283, GID5700, GID5699",PA1447,,PAMr_nr_mas_04_2B11
PAMr_nr_mas_04_2,B12,PA14_MrT7_310wor,D6,29706,2386925,1037,Y,PA14_27490,GID4563,59,453,PA2829,,hypothetical protein,PA14_27490(59/453),GID4563,PA2829,,PAMr_nr_mas_04_2B12
PAMr_nr_mas_04_2,C1,PA14_MrT7_310wor,D9,29709,5732421,1156,Y,PA14_64310,GID3490,238,699,PA4862,,putative ABC transport ATP-binding subunit,PA14_64310(238/699),GID3490,PA4862,,PAMr_nr_mas_04_2C1
PAMr_nr_mas_04_2,C2,PA14_MrT7_310wor,D10,29710,5036762,765,Y,PA14_56470,GID1216,21,1320,PA4343,,putative MFS transporter,"PA14_56470(21/1320), PA14_56460*(1318/1494)","GID1216, GID6640",PA4343,,PAMr_nr_mas_04_2C2
PAMr_nr_mas_04_2,C3,PA14_MrT7_310wor,D11,29711,6508984,648,Y,PA14_73090,GID1353,6,1245,PA5542,,putative beta-lactamase,PA14_73090(6/1245),GID1353,PA5542,,PAMr_nr_mas_04_2C3
PAMr_nr_mas_04_2,C4,PA14_MrT7_310wor,E2,29714,3414120,1025,Y,PA14_38300,GID4487,302,474,PA2028,,putative glutamate uptake regulatory protein,PA14_38300(302/474),GID4487,PA2028,,PAMr_nr_mas_04_2C4
PAMr_nr_mas_04_2,C5,PA14_MrT7_310wor,E6,29718,2797745,918,Y,PA14_32160,GID873,163,1395,PA2512,antA,anthranilate dioxygenase large subunit,PA14_32160(163/1395),GID873,PA2512,,PAMr_nr_mas_04_2C5
PAMr_nr_mas_04_2,C6,PA14_MrT7_310wor,E7,29719,3987111,1114,Y,PA14_44740,GID178,176,2400,PA1523,xdhB,xanthine dehydrogenase,"PA14_44740(176/2400), PA14_44730*(2195/2481)","GID178, GID5726",PA1523,,PAMr_nr_mas_04_2C6
PAMr_nr_mas_04_2,C7,PA14_MrT7_310wor,E9,29721,732586,595,Y,,,,,,,,PA14_08550*(324/1755),GID7194,,,PAMr_nr_mas_04_2C7
PAMr_nr_mas_04_2,C8,PA14_MrT7_310wor,F1,29725,4831061,642,Y,PA14_54490,GID2892,407,837,PA0758,,hypothetical protein,PA14_54490(407/837),GID2892,PA0758,,PAMr_nr_mas_04_2C8
PAMr_nr_mas_04_2,C9,PA14_MrT7_310wor,F5,29729,1990529,759,Y,PA14_22960,GID989,170,1422,PA3191,,putative two-component sensor,"PA14_22960(170/1422), PA14_22950*(240/1677)","GID989, GID6279",PA3191,,PAMr_nr_mas_04_2C9
PAMr_nr_mas_04_2,C10,PA14_MrT7_310wor,F8,29732,1968699,555,Y,PA14_22630,GID5012,98,318,PA3216,,putative membrane protein,PA14_22630(98/318),GID5012,PA3216,,PAMr_nr_mas_04_2C10
PAMr_nr_mas_04_2,C11,PA14_MrT7_310wor,G6,29742,3040275,884,Y,PA14_34190,GID1596,380,1146,PA2356,msuD,FMNH2-dependent methanesulfonate sulfonatase,"PA14_34190(380/1146), PA14_34160*(617/2217)","GID1596, GID5984",PA2356,,PAMr_nr_mas_04_2C11
PAMr_nr_mas_04_2,C12,PA14_MrT7_310wor,G10,29746,6407292,720,Y,PA14_71890,GID818,535,1494,PA5445,,putative coenzyme A transferase,PA14_71890(535/1494),GID818,PA5445,,PAMr_nr_mas_04_2C12
PAMr_nr_mas_04_2,D1,PA14_MrT7_310wor,G12,29748,2095997,886,Y,PA14_24170,GID322,511,2040,PA3092,PA3092,,"PA14_24170(511/2040), PA14_24160*(1701/2334)","GID322, GID6253",PA3092,,PAMr_nr_mas_04_2D1
PAMr_nr_mas_04_2,D2,PA14_MrT7_310wor,H3,29751,6381410,910,Y,PA14_71640,GID2541,598,909,PA5428,,"putative transcriptional regulator, LysR family",PA14_71640(598/909),GID2541,PA5428,,PAMr_nr_mas_04_2D2
PAMr_nr_mas_04_2,D3,PA14_MrT7_310wor,H8,29756,5174038,240,Y,PA14_58110,GID3915,292,606,PA4478,,putative Maf-like protein,PA14_58110(292/606),GID3915,PA4478,,PAMr_nr_mas_04_2D3
PAMr_nr_mas_04_2,D4,PA14_MrT7_310wor,H10,29758,1324249,1144,Y,PA14_15600,GID6437,922,1185,,,,PA14_15600(922/1185),GID6437,,,PAMr_nr_mas_04_2D4
PAMr_nr_mas_04_2,D5,PA14_MrT7_311wor,A1,29761,4585847,278,Y,PA14_51570,GID5416,25,219,,RS10,hypothetical protein,PA14_51570(25/219),GID5416,,,PAMr_nr_mas_04_2D5
PAMr_nr_mas_04_2,D6,PA14_MrT7_311wor,A3,29763,1669524,335,Y,PA14_19340,GID111,629,2757,PA3462,,putative sensor/response regulator hybrid,PA14_19340(629/2757),GID111,PA3462,,PAMr_nr_mas_04_2D6
PAMr_nr_mas_04_2,D7,PA14_MrT7_311wor,A7,29767,4335411,297,Y,PA14_48760,GID3716,242,618,PA1202,,putative hydrolase,PA14_48760(242/618),GID3716,PA1202,,PAMr_nr_mas_04_2D7
PAMr_nr_mas_04_2,D8,PA14_MrT7_311wor,A12,29772,4896012,718,Y,PA14_55110,GID5155,214,294,PA0713,,hypothetical protein,PA14_55110(214/294),GID5155,PA0713,,PAMr_nr_mas_04_2D8
PAMr_nr_mas_04_2,D9,PA14_MrT7_311wor,B1,29773,1102743,490,Y,PA14_12850,GID3859,119,579,PA3944,,probable acetyltransferase,PA14_12850(119/579),GID3859,PA3944,,PAMr_nr_mas_04_2D9
PAMr_nr_mas_04_2,D10,PA14_MrT7_311wor,B2,29774,6208150,545,Y,PA14_69580,GID5241,166,276,PA5269,,conserved hypothetical protein,PA14_69580(166/276),GID5241,PA5269,,PAMr_nr_mas_04_2D10
PAMr_nr_mas_04_2,D11,PA14_MrT7_311wor,B3,29775,5719630,222,Y,PA14_64190,GID5047,323,324,PA4853,fis,DNA-binding protein Fis,PA14_64190(323/324),GID5047,PA4853,,PAMr_nr_mas_04_2D11
PAMr_nr_mas_04_2,D12,PA14_MrT7_311wor,B5,29777,230734,908,Y,PA14_02580,GID2789,513,864,PA0211,mdcD, malonate decarboxylase beta subunit,PA14_02580(513/864),GID2789,PA0211,,PAMr_nr_mas_04_2D12
PAMr_nr_mas_04_2,E1,PA14_MrT7_311wor,B10,29782,6244960,892,Y,PA14_69990,GID1829,49,1074,PA5302,dadX,catabolic alanine racemase,"PA14_69990(49/1074), PA14_70000*(789/1338)","GID1829, GID6915",PA5302,,PAMr_nr_mas_04_2E1
PAMr_nr_mas_04_2,E2,PA14_MrT7_311wor,C3,29787,3938311,307,Y,PA14_44260,GID1100,892,1311,PA1565,,putative oxidoreductase,"PA14_44260(892/1311), PA14_44250*(333/1347)","GID1100, GID5733",PA1565,,PAMr_nr_mas_04_2E2
PAMr_nr_mas_04_2,E3,PA14_MrT7_311wor,C4,29788,6120026,850,Y,PA14_68620,GID2835,686,804,PA5194,,conserved hypothetical protein,PA14_68620(686/804),GID2835,PA5194,,PAMr_nr_mas_04_2E3
PAMr_nr_mas_04_2,E4,PA14_MrT7_311wor,C5,29789,2908217,743,Y,PA14_33230,GID5347,91,246,PA2429,,hypothetical protein,PA14_33230(91/246),GID5347,PA2429,,PAMr_nr_mas_04_2E4
PAMr_nr_mas_04_2,E5,PA14_MrT7_311wor,C7,29791,1607720,311,Y,PA14_18670,GID4350,133,477,PA3531,bfrB,bacterioferritin,PA14_18670(133/477),GID4350,PA3531,,PAMr_nr_mas_04_2E5
PAMr_nr_mas_04_2,E6,PA14_MrT7_311wor,C10,29794,5721429,995,Y,PA14_64220,GID1301,8,1290,PA4855,purD,phosphoribosylamine--glycine ligase,"PA14_64220(8/1290), PA14_64210*(1310/1371)","GID1301, GID6783",PA4855,,PAMr_nr_mas_04_2E6
PAMr_nr_mas_04_2,E7,PA14_MrT7_311wor,D10,29806,5805421,995,Y,PA14_65110,GID1885,49,1077,PA4930,alr,biosynthetic alanine racemase,"PA14_65110(49/1077), PA14_65100*(152/1266)","GID1885, GID6797",PA4930,,PAMr_nr_mas_04_2E7
PAMr_nr_mas_04_2,E8,PA14_MrT7_311wor,E8,29816,2381306,1310,Y,PA14_27430,GID666,533,1593,PA2835,,putative multidrug efflux MFS transporter,PA14_27430(533/1593),GID666,PA2835,,PAMr_nr_mas_04_2E8
PAMr_nr_mas_04_2,E9,PA14_MrT7_311wor,F5,29825,5055974,303,Y,PA14_56750,GID4786,78,402,PA4364,,conserved hypothetical protein,PA14_56750(78/402),GID4786,PA4364,,PAMr_nr_mas_04_2E9
PAMr_nr_mas_04_2,E10,PA14_MrT7_311wor,F6,29826,5061485,551,Y,PA14_56810,GID4053,67,573,PA4369,,putative lemA-like protein,PA14_56810(67/573),GID4053,PA4369,,PAMr_nr_mas_04_2E10
PAMr_nr_mas_04_2,E11,PA14_MrT7_311wor,F8,29828,4484189,1255,Y,PA14_50460,GID3457,598,714,PA1079,flgD,flagellar basal-body rod modification protein FlgD,PA14_50460(598/714),GID3457,PA1079,,PAMr_nr_mas_04_2E11
PAMr_nr_mas_04_2,E12,PA14_MrT7_311wor,G5,29837,2507939,1174,Y,PA14_29000,GID3466,299,687,PA2719,,putative protease,PA14_29000(299/687),GID3466,PA2719,,PAMr_nr_mas_04_2E12
PAMr_nr_mas_04_2,F1,PA14_MrT7_311wor,G9,29841,665148,1031,Y,PA14_07740,GID2135,157,987,PA0593,pdxA,pyridoxal phosphate biosynthetic protein PdxA,"PA14_07740(157/987), PA14_07750*(810/984)","GID2135, GID4461",PA0593,,PAMr_nr_mas_04_2F1
PAMr_nr_mas_04_2,F2,PA14_MrT7_311wor,H6,29850,1081144,1178,Y,PA14_12590,GID3096,51,786,PA3964,,hypothetical protein,"PA14_12590(51/786), PA14_12580*(1100/1482), PA14_12600*(691/705)","GID3096, GID6531, GID6530",PA3964,,PAMr_nr_mas_04_2F2
PAMr_nr_mas_04_2,F3,PA14_MrT7_311wor,H10,29854,1804876,950,Y,PA14_20960,GID4542,92,426,PA3332,,putativ isomerase,"PA14_20960(92/426), PA14_20930*(1655/1965)","GID4542, GID6321",PA3332,,PAMr_nr_mas_04_2F3
PAMr_nr_mas_04_2,F4,PA14_MrT7_311wor,H11,29855,5868515,728,Y,PA14_65860,GID6822,474,2313,,,putative sensor histidine kinase/response regulator,PA14_65860(474/2313),GID6822,,,PAMr_nr_mas_04_2F4
PAMr_nr_mas_04_2,F5,PA14_MrT7_312wor,A1,29857,4735986,313,Y,PA14_53400,GID1696,577,1113,PA0840,,probable oxidoreductase,PA14_53400(577/1113),GID1696,PA0840,,PAMr_nr_mas_04_2F5
PAMr_nr_mas_04_2,F6,PA14_MrT7_312wor,A8,29864,2453499,696,Y,PA14_28400,GID1224,403,1278,PA2760,,"putative outer membrane porin, OprD family",PA14_28400(403/1278),GID1224,PA2760,,PAMr_nr_mas_04_2F6
PAMr_nr_mas_04_2,F7,PA14_MrT7_312wor,A10,29866,2722177,860,Y,PA14_31290,GID4784,317,369,PA2570,pa1L,PA-I galactophilic lectin,PA14_31290(317/369),GID4784,PA2570,,PAMr_nr_mas_04_2F7
PAMr_nr_mas_04_2,F8,PA14_MrT7_312wor,B1,29869,4220363,377,Y,PA14_47370,GID4177,416,540,PA1303,lepB,signal peptidase,PA14_47370(416/540),GID4177,PA1303,,PAMr_nr_mas_04_2F8
PAMr_nr_mas_04_2,F9,PA14_MrT7_312wor,B2,29870,6529892,355,Y,PA14_73350,GID3075,7,789,PA5563,soj,chromosome partitioning protein,PA14_73350(7/789),GID3075,PA5563,,PAMr_nr_mas_04_2F9
PAMr_nr_mas_04_2,F10,PA14_MrT7_312wor,B4,29872,2776923,821,Y,PA14_31900,GID64,464,3111,PA2526,,putative efflux transporter,PA14_31900(464/3111),GID64,PA2526,,PAMr_nr_mas_04_2F10
PAMr_nr_mas_04_2,F11,PA14_MrT7_312wor,B7,29875,6062666,1304,Y,PA14_67920,GID3560,588,642,PA5142,hisH1,lutamine amidotransferase class-I,"PA14_67920(588/642), PA14_67910*(144/219)","GID3560, GID6864",PA5142,,PAMr_nr_mas_04_2F11
PAMr_nr_mas_04_2,F12,PA14_MrT7_312wor,C2,29882,4280561,630,Y,PA14_48090,GID922,208,1446,PA1248,aprF,alkaline protease secretion outer membrane protein AprF precursor,"PA14_48090(208/1446), PA14_48080*(1323/2169), PA14_48070*(1517/2874)","GID922, GID5653, GID5654",PA1248,,PAMr_nr_mas_04_2F12
PAMr_nr_mas_04_2,G1,PA14_MrT7_312wor,C8,29888,6144400,759,Y,PA14_68870,GID1828,563,1083,PA5215,gcvT1,glycine-cleavage system protein T1,PA14_68870(563/1083),GID1828,PA5215,,PAMr_nr_mas_04_2G1
PAMr_nr_mas_04_2,G2,PA14_MrT7_312wor,C9,29889,4216659,1239,Y,PA14_47330,GID2929,11,774,PA1307,,putative glutamine amidotransferase,PA14_47330(11/774),GID2929,PA1307,,PAMr_nr_mas_04_2G2
PAMr_nr_mas_04_2,G3,PA14_MrT7_312wor,D7,29899,3341240,597,Y,PA14_37550,GID4328,134,510,PA2085,,putative ring-hydroxylating dioxygenase small subunit,"PA14_37550(134/510), PA14_37540*(389/2388)","GID4328, GID5890",PA2085,,PAMr_nr_mas_04_2G3
PAMr_nr_mas_04_2,G4,PA14_MrT7_312wor,E1,29905,3669674,680,Y,PA14_41140,GID1877,761,1083,PA1809,,"putative ABC transporter, permease protein","PA14_41140(761/1083), PA14_41120*(344/3009)","GID1877, GID5796",PA1809,,PAMr_nr_mas_04_2G4
PAMr_nr_mas_04_2,G5,PA14_MrT7_312wor,E2,29906,607109,605,Y,PA14_07000,GID4236,345,510,PA0538,dsbB,disulfide bond formation protein,PA14_07000(345/510),GID4236,PA0538,,PAMr_nr_mas_04_2G5
PAMr_nr_mas_04_2,G6,PA14_MrT7_312wor,E5,29909,921163,720,Y,PA14_10700,GID262,2070,2187,PA4117,,putative bacteriophytochrome,"PA14_10700(2070/2187), PA14_10690*(259/2187)","GID262, GID6575",PA4117,,PAMr_nr_mas_04_2G6
PAMr_nr_mas_04_2,G7,PA14_MrT7_312wor,E6,29910,1368474,456,Y,PA14_16070,GID1284,18,1305,PA3736,hom,homoserine dehydrogenase,"PA14_16070(18/1305), PA14_16060*(1342/1434)","GID1284, GID6425",PA3736,,PAMr_nr_mas_04_2G7
PAMr_nr_mas_04_2,G8,PA14_MrT7_312wor,E8,29912,4675120,289,Y,PA14_52740,GID2104,62,990,PA0893,argR,transcriptional regulator ArgR,PA14_52740(62/990),GID2104,PA0893,,PAMr_nr_mas_04_2G8
PAMr_nr_mas_04_2,G9,PA14_MrT7_312wor,E10,29914,3856091,1124,Y,PA14_43280,GID1972,160,1035,PA1642,selD,selenophosphate synthetase,PA14_43280(160/1035),GID1972,PA1642,,PAMr_nr_mas_04_2G9
PAMr_nr_mas_04_2,G10,PA14_MrT7_312wor,E12,29916,6247613,1120,Y,PA14_70060,GID5438,18,192,PA5306,,putative lipoprotein,PA14_70060(18/192),GID5438,PA5306,,PAMr_nr_mas_04_2G10
PAMr_nr_mas_04_2,G11,PA14_MrT7_312wor,G4,29932,1630771,735,Y,PA14_18910,GID1873,116,1035,PA3492,,"putative NADH:ubiquinone oxidoreductase, subunit RnfD",PA14_18910(116/1035),GID1873,PA3492,,PAMr_nr_mas_04_2G11
PAMr_nr_mas_04_2,G12,PA14_MrT7_312wor,G5,29933,2121432,198,Y,PA14_24370,GID1716,355,1080,PA3076,,hypothetical protein,PA14_24370(355/1080),GID1716,PA3076,,PAMr_nr_mas_04_2G12
PAMr_nr_mas_04_2,H1,PA14_MrT7_312wor,G12,29940,2338087,416,Y,PA14_26870,GID3674,55,642,PA2878,,conserved hypothetical protein,PA14_26870(55/642),GID3674,PA2878,,PAMr_nr_mas_04_2H1
PAMr_nr_mas_04_2,H2,PA14_MrT7_312wor,H1,29941,388417,680,Y,PA14_04340,GID1322,6,1272,PA0333,,putative epimerase,PA14_04340(6/1272),GID1322,PA0333,,PAMr_nr_mas_04_2H2
