"Locus Tag","Gene Name","Product Description","GO Term"
"PA14_70690","glcD","glycolate oxidase subunit GlcD","flavin adenine dinucleotide binding"
"PA14_70830","pstA","phosphate ABC transporter permease","phosphate ion transmembrane transport"
"PA14_70830","pstA","phosphate ABC transporter permease","membrane"
"PA14_70830","pstA","phosphate ABC transporter permease","transmembrane transport"
"PA14_70830","pstA","phosphate ABC transporter permease","plasma membrane"
"PA14_70830","pstA","phosphate ABC transporter permease","inorganic phosphate transmembrane transporter activity"
"PA14_71280","PA14_71280","ferredoxin","choline catabolic process"
"PA14_71280","PA14_71280","ferredoxin","iron-sulfur cluster binding"
"PA14_71280","PA14_71280","ferredoxin","glycine betaine catabolic process"
"PA14_71640","PA14_71640","LysR family transcriptional regulator","DNA-binding transcription factor activity"
"PA14_71640","PA14_71640","LysR family transcriptional regulator","regulation of transcription, DNA-templated"
"PA14_71640","PA14_71640","LysR family transcriptional regulator","regulation of DNA-templated transcription"
"PA14_72390","PA14_72390","two-component sensor","signal transduction"
"PA14_72390","PA14_72390","two-component sensor","transferase activity, transferring phosphorus-containing groups"
"PA14_72390","PA14_72390","two-component sensor","phosphatase activity"
"PA14_72390","PA14_72390","two-component sensor","phosphorelay sensor kinase activity"
"PA14_72390","PA14_72390","two-component sensor","phosphorylation"
"PA14_72390","PA14_72390","two-component sensor","membrane"
"PA14_72540","PA14_72540","ribonucleotide reductase","cobalamin binding"
"PA14_72540","PA14_72540","ribonucleotide reductase","nucleotide binding"
"PA14_72540","PA14_72540","ribonucleotide reductase","ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor"
"PA14_72870","PA14_72870","aminotransferase","pyridoxal phosphate binding"
"PA14_72870","PA14_72870","aminotransferase","transaminase activity"
"PA14_73410","PA14_73410","inner membrane protein translocase component YidC","membrane insertase activity"
"PA14_73410","PA14_73410","inner membrane protein translocase component YidC","membrane"
