LESB_Locus,Gene,Essentiality,Control,Condition,Replicates,LESB_Description,Gene Name,Product Description,Accession,GO Term,Namespace
PALES_06821,rpsE,always essential,4,4,4,30S ribosomal protein S5,rpsE,30S ribosomal protein S5,GO:0006412,translation,biological_process
PALES_06821,rpsE,always essential,4,4,4,30S ribosomal protein S5,rpsE,30S ribosomal protein S5,GO:0015935,small ribosomal subunit,cellular_component
PALES_06821,rpsE,always essential,4,4,4,30S ribosomal protein S5,rpsE,30S ribosomal protein S5,GO:0005840,ribosome,cellular_component
PALES_06821,rpsE,always essential,4,4,4,30S ribosomal protein S5,rpsE,30S ribosomal protein S5,GO:0003723,RNA binding,molecular_function
PALES_06831,rpmD,always essential,4,4,4,50S ribosomal protein L30,rpmD,50S ribosomal protein L30,GO:0003735,structural constituent of ribosome,molecular_function
PALES_06831,rpmD,always essential,4,4,4,50S ribosomal protein L30,rpmD,50S ribosomal protein L30,GO:0006412,translation,biological_process
PALES_06831,rpmD,always essential,4,4,4,50S ribosomal protein L30,rpmD,50S ribosomal protein L30,GO:0015934,large ribosomal subunit,cellular_component
PALES_06861,rpsM,always essential,4,4,4,30S ribosomal protein S13,rpsM,30S ribosomal protein S13,GO:0003723,RNA binding,molecular_function
PALES_06861,rpsM,always essential,4,4,4,30S ribosomal protein S13,rpsM,30S ribosomal protein S13,GO:0003735,structural constituent of ribosome,molecular_function
PALES_06861,rpsM,always essential,4,4,4,30S ribosomal protein S13,rpsM,30S ribosomal protein S13,GO:0005840,ribosome,cellular_component
PALES_06861,rpsM,always essential,4,4,4,30S ribosomal protein S13,rpsM,30S ribosomal protein S13,GO:0006412,translation,biological_process
PALES_06861,rpsM,always essential,4,4,4,30S ribosomal protein S13,rpsM,30S ribosomal protein S13,GO:0003676,nucleic acid binding,molecular_function
PALES_06871,rpsK,always essential,4,4,4,30S ribosomal protein S11,rpsK,30S ribosomal protein S11,GO:0003735,structural constituent of ribosome,molecular_function
PALES_06871,rpsK,always essential,4,4,4,30S ribosomal protein S11,rpsK,30S ribosomal protein S11,GO:0005840,ribosome,cellular_component
PALES_06871,rpsK,always essential,4,4,4,30S ribosomal protein S11,rpsK,30S ribosomal protein S11,GO:0006412,translation,biological_process
PALES_07051,PALES_07051,always essential,4,4,4,putative ATP-binding component of ABC transporter,PALES_07051,putative ATP-binding component of ABC transporter,GO:0005524,ATP binding,molecular_function
PALES_07051,PALES_07051,always essential,4,4,4,putative ATP-binding component of ABC transporter,PALES_07051,putative ATP-binding component of ABC transporter,GO:0016021,integral component of membrane,cellular_component
PALES_07051,PALES_07051,always essential,4,4,4,putative ATP-binding component of ABC transporter,PALES_07051,putative ATP-binding component of ABC transporter,GO:0042626,ATPase-coupled transmembrane transporter activity,molecular_function
PALES_07051,PALES_07051,always essential,4,4,4,putative ATP-binding component of ABC transporter,PALES_07051,putative ATP-binding component of ABC transporter,GO:0055085,transmembrane transport,biological_process
PALES_07051,PALES_07051,always essential,4,4,4,putative ATP-binding component of ABC transporter,PALES_07051,putative ATP-binding component of ABC transporter,GO:0016887,ATPase activity,molecular_function
PALES_07111,phzG1,always essential,4,4,4,putative pyridoxamine 5'-phosphate oxidase,phzG1,putative pyridoxamine 5'-phosphate oxidase,GO:0016638,"oxidoreductase activity, acting on the CH-NH2 group of donors",molecular_function
PALES_07111,phzG1,always essential,4,4,4,putative pyridoxamine 5'-phosphate oxidase,phzG1,putative pyridoxamine 5'-phosphate oxidase,GO:0055114,oxidation-reduction process,biological_process
PALES_07111,phzG1,always essential,4,4,4,putative pyridoxamine 5'-phosphate oxidase,phzG1,putative pyridoxamine 5'-phosphate oxidase,GO:0004733,pyridoxamine-phosphate oxidase activity,molecular_function
PALES_07111,phzG1,always essential,4,4,4,putative pyridoxamine 5'-phosphate oxidase,phzG1,putative pyridoxamine 5'-phosphate oxidase,GO:0008615,pyridoxine biosynthetic process,biological_process
PALES_07111,phzG1,always essential,4,4,4,putative pyridoxamine 5'-phosphate oxidase,phzG1,putative pyridoxamine 5'-phosphate oxidase,GO:0010181,FMN binding,molecular_function
PALES_07111,phzG1,always essential,4,4,4,putative pyridoxamine 5'-phosphate oxidase,phzG1,putative pyridoxamine 5'-phosphate oxidase,GO:0048037,obsolete cofactor binding,molecular_function
PALES_07121,phzF1,always essential,4,4,4,putative phenazine biosynthesis protein,phzF1,putative phenazine biosynthesis protein,GO:0003824,catalytic activity,molecular_function
PALES_07121,phzF1,always essential,4,4,4,putative phenazine biosynthesis protein,phzF1,putative phenazine biosynthesis protein,GO:0009058,biosynthetic process,biological_process
PALES_07131,phzE1,always essential,4,4,4,phenazine biosynthesis protein PhzE,phzE1,phenazine biosynthesis protein PhzE,GO:0009058,biosynthetic process,biological_process
PALES_07141,phzD1,always essential,4,4,4,phenazine biosynthesis protein PhzD,phzD1,phenazine biosynthesis protein PhzD,GO:0008908,isochorismatase activity,molecular_function
PALES_07141,phzD1,always essential,4,4,4,phenazine biosynthesis protein PhzD,phzD1,phenazine biosynthesis protein PhzD,GO:0003824,catalytic activity,molecular_function
PALES_07151,phzC1,always essential,4,4,4,phenazine biosynthesis protein PhzC,phzC1,phenazine biosynthesis protein PhzC,GO:0003849,3-deoxy-7-phosphoheptulonate synthase activity,molecular_function
PALES_07151,phzC1,always essential,4,4,4,phenazine biosynthesis protein PhzC,phzC1,phenazine biosynthesis protein PhzC,GO:0009073,aromatic amino acid family biosynthetic process,biological_process
PALES_07151,phzC1,always essential,4,4,4,phenazine biosynthesis protein PhzC,phzC1,phenazine biosynthesis protein PhzC,GO:0003824,catalytic activity,molecular_function
PALES_07161,phzB1,always essential,4,4,4,putative phenazine biosynthesis protein,phzB1,putative phenazine biosynthesis protein,GO:0017000,antibiotic biosynthetic process,biological_process
PALES_07781,PALES_07781,always essential,4,4,4,putative acetoin catabolism protein,PALES_07781,putative acetoin catabolism protein,GO:0003951,NAD+ kinase activity,molecular_function
PALES_07781,PALES_07781,always essential,4,4,4,putative acetoin catabolism protein,PALES_07781,putative acetoin catabolism protein,GO:0006741,NADP biosynthetic process,biological_process
PALES_07951,PALES_07951,always essential,4,4,4,NA,PALES_07951,"transcriptional regulator, LuxR family",GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_07951,PALES_07951,always essential,4,4,4,NA,PALES_07951,"transcriptional regulator, LuxR family",GO:0003677,DNA binding,molecular_function
PALES_07961,PALES_07961,always essential,4,4,4,NA,PALES_07961,transcriptional regulator,GO:0003677,DNA binding,molecular_function
PALES_08071,PALES_08071,always essential,4,4,4,NA,PALES_08071,DNA-binding protein,GO:0003677,DNA binding,molecular_function
PALES_08521,aph,always essential,4,4,4,aminoglycoside 3'-phosphotransferase type IIb,aph,aminoglycoside 3'-phosphotransferase type IIb,GO:0005524,ATP binding,molecular_function
PALES_08521,aph,always essential,4,4,4,aminoglycoside 3'-phosphotransferase type IIb,aph,aminoglycoside 3'-phosphotransferase type IIb,GO:0016773,"phosphotransferase activity, alcohol group as acceptor",molecular_function
PALES_08521,aph,always essential,4,4,4,aminoglycoside 3'-phosphotransferase type IIb,aph,aminoglycoside 3'-phosphotransferase type IIb,GO:0046677,response to antibiotic,biological_process
PALES_09241,nusB,always essential,4,4,4,transcription antitermination protein NusB,nusB,transcription antitermination protein NusB,GO:0003723,RNA binding,molecular_function
PALES_09241,nusB,always essential,4,4,4,transcription antitermination protein NusB,nusB,transcription antitermination protein NusB,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_09241,nusB,always essential,4,4,4,transcription antitermination protein NusB,nusB,transcription antitermination protein NusB,GO:0006353,"DNA-templated transcription, termination",biological_process
PALES_09251,thiL,always essential,4,4,4,thiamine monophosphate kinase,thiL,thiamine monophosphate kinase,GO:0009030,thiamine-phosphate kinase activity,molecular_function
PALES_09251,thiL,always essential,4,4,4,thiamine monophosphate kinase,thiL,thiamine monophosphate kinase,GO:0009228,thiamine biosynthetic process,biological_process
PALES_09291,ribA,always essential,4,4,4,GTP cyclohydrolase II,ribA,GTP cyclohydrolase II,GO:0003935,GTP cyclohydrolase II activity,molecular_function
PALES_09291,ribA,always essential,4,4,4,GTP cyclohydrolase II,ribA,GTP cyclohydrolase II,GO:0009231,riboflavin biosynthetic process,biological_process
PALES_09321,dxs,always essential,4,4,4,1-deoxy-D-xylulose-5-phosphate synthase,dxs,1-deoxy-D-xylulose-5-phosphate synthase,GO:0003824,catalytic activity,molecular_function
PALES_09321,dxs,always essential,4,4,4,1-deoxy-D-xylulose-5-phosphate synthase,dxs,1-deoxy-D-xylulose-5-phosphate synthase,GO:0008661,1-deoxy-D-xylulose-5-phosphate synthase activity,molecular_function
PALES_09321,dxs,always essential,4,4,4,1-deoxy-D-xylulose-5-phosphate synthase,dxs,1-deoxy-D-xylulose-5-phosphate synthase,GO:0016114,terpenoid biosynthetic process,biological_process
PALES_09341,xseB,always essential,4,4,4,exodeoxyribonuclease VII small subunit,xseB,exodeoxyribonuclease VII small subunit,GO:0006308,DNA catabolic process,biological_process
PALES_09341,xseB,always essential,4,4,4,exodeoxyribonuclease VII small subunit,xseB,exodeoxyribonuclease VII small subunit,GO:0008855,exodeoxyribonuclease VII activity,molecular_function
PALES_09341,xseB,always essential,4,4,4,exodeoxyribonuclease VII small subunit,xseB,exodeoxyribonuclease VII small subunit,GO:0009318,exodeoxyribonuclease VII complex,cellular_component
PALES_09571,PALES_09571,always essential,4,4,4,aromatic acid decarboxylase,PALES_09571,aromatic acid decarboxylase,GO:0003824,catalytic activity,molecular_function
PALES_09731,pbpA,always essential,4,4,4,penicillin-binding protein 2,pbpA,penicillin-binding protein 2,GO:0008658,penicillin binding,molecular_function
PALES_09731,pbpA,always essential,4,4,4,penicillin-binding protein 2,pbpA,penicillin-binding protein 2,GO:0009002,serine-type D-Ala-D-Ala carboxypeptidase activity,molecular_function
PALES_09731,pbpA,always essential,4,4,4,penicillin-binding protein 2,pbpA,penicillin-binding protein 2,GO:0009252,peptidoglycan biosynthetic process,biological_process
PALES_09731,pbpA,always essential,4,4,4,penicillin-binding protein 2,pbpA,penicillin-binding protein 2,GO:0016020,membrane,cellular_component
PALES_09871,PALES_09871,always essential,4,4,4,hypothetical protein,PALES_09871,hypothetical protein,GO:0019867,outer membrane,cellular_component
PALES_09871,PALES_09871,always essential,4,4,4,hypothetical protein,PALES_09871,hypothetical protein,GO:0043165,Gram-negative-bacterium-type cell outer membrane assembly,biological_process
PALES_09911,lnt,always essential,4,4,4,apolipoprotein N-acyltransferase,lnt,apolipoprotein N-acyltransferase,GO:0006807,nitrogen compound metabolic process,biological_process
PALES_09911,lnt,always essential,4,4,4,apolipoprotein N-acyltransferase,lnt,apolipoprotein N-acyltransferase,GO:0016021,integral component of membrane,cellular_component
PALES_09911,lnt,always essential,4,4,4,apolipoprotein N-acyltransferase,lnt,apolipoprotein N-acyltransferase,GO:0016410,N-acyltransferase activity,molecular_function
PALES_09911,lnt,always essential,4,4,4,apolipoprotein N-acyltransferase,lnt,apolipoprotein N-acyltransferase,GO:0042158,lipoprotein biosynthetic process,biological_process
PALES_09931,PALES_09931,always essential,4,4,4,putative metalloprotease,PALES_09931,putative metalloprotease,GO:0004222,metalloendopeptidase activity,molecular_function
PALES_09931,PALES_09931,always essential,4,4,4,putative metalloprotease,PALES_09931,putative metalloprotease,GO:0006364,rRNA processing,biological_process
PALES_10371,PALES_10371,always essential,4,4,4,hypothetical protein,PALES_10371,hypothetical protein,GO:0016627,"oxidoreductase activity, acting on the CH-CH group of donors",molecular_function
PALES_10371,PALES_10371,always essential,4,4,4,hypothetical protein,PALES_10371,hypothetical protein,GO:0050660,flavin adenine dinucleotide binding,molecular_function
PALES_10371,PALES_10371,always essential,4,4,4,hypothetical protein,PALES_10371,hypothetical protein,GO:0055114,oxidation-reduction process,biological_process
PALES_10591,moaC,always essential,4,4,4,molybdenum cofactor biosynthesis protein C,moaC,molybdenum cofactor biosynthesis protein C,GO:0006777,Mo-molybdopterin cofactor biosynthetic process,biological_process
PALES_11361,PALES_11361,always essential,4,4,4,putative ATP-binding component of ABC transporter,PALES_11361,putative ATP-binding component of ABC transporter,GO:0005524,ATP binding,molecular_function
PALES_11361,PALES_11361,always essential,4,4,4,putative ATP-binding component of ABC transporter,PALES_11361,putative ATP-binding component of ABC transporter,GO:0016887,ATPase activity,molecular_function
PALES_11401,valS,always essential,4,4,4,valyl-tRNA synthetase,valS,valyl-tRNA synthetase,GO:0002161,aminoacyl-tRNA editing activity,molecular_function
PALES_11401,valS,always essential,4,4,4,valyl-tRNA synthetase,valS,valyl-tRNA synthetase,GO:0006418,tRNA aminoacylation for protein translation,biological_process
PALES_11401,valS,always essential,4,4,4,valyl-tRNA synthetase,valS,valyl-tRNA synthetase,GO:0000166,nucleotide binding,molecular_function
PALES_11401,valS,always essential,4,4,4,valyl-tRNA synthetase,valS,valyl-tRNA synthetase,GO:0004812,aminoacyl-tRNA ligase activity,molecular_function
PALES_11401,valS,always essential,4,4,4,valyl-tRNA synthetase,valS,valyl-tRNA synthetase,GO:0005524,ATP binding,molecular_function
PALES_11401,valS,always essential,4,4,4,valyl-tRNA synthetase,valS,valyl-tRNA synthetase,GO:0004832,valine-tRNA ligase activity,molecular_function
PALES_11401,valS,always essential,4,4,4,valyl-tRNA synthetase,valS,valyl-tRNA synthetase,GO:0006438,valyl-tRNA aminoacylation,biological_process
PALES_11401,valS,always essential,4,4,4,valyl-tRNA synthetase,valS,valyl-tRNA synthetase,GO:0005737,cytoplasm,cellular_component
PALES_11461,PALES_11461,always essential,4,4,4,putative permease,PALES_11461,putative permease,GO:0016021,integral component of membrane,cellular_component
PALES_11461,PALES_11461,always essential,4,4,4,putative permease,PALES_11461,putative permease,GO:0043190,ATP-binding cassette (ABC) transporter complex,cellular_component
PALES_11461,PALES_11461,always essential,4,4,4,putative permease,PALES_11461,putative permease,GO:0055085,transmembrane transport,biological_process
PALES_11541,secF,always essential,4,4,4,preprotein translocase subunit SecF,secF,preprotein translocase subunit SecF,GO:0006886,intracellular protein transport,biological_process
PALES_11541,secF,always essential,4,4,4,preprotein translocase subunit SecF,secF,preprotein translocase subunit SecF,GO:0015450,P-P-bond-hydrolysis-driven protein transmembrane transporter activity,molecular_function
PALES_11721,hisS,always essential,4,4,4,histidyl-tRNA synthetase,hisS,histidyl-tRNA synthetase,GO:0005737,cytoplasm,cellular_component
PALES_11721,hisS,always essential,4,4,4,histidyl-tRNA synthetase,hisS,histidyl-tRNA synthetase,GO:0004821,histidine-tRNA ligase activity,molecular_function
PALES_11721,hisS,always essential,4,4,4,histidyl-tRNA synthetase,hisS,histidyl-tRNA synthetase,GO:0005524,ATP binding,molecular_function
PALES_11721,hisS,always essential,4,4,4,histidyl-tRNA synthetase,hisS,histidyl-tRNA synthetase,GO:0006427,histidyl-tRNA aminoacylation,biological_process
PALES_11751,PALES_11751,always essential,4,4,4,NA,engA,GTP-binding protein EngA,GO:0005525,GTP binding,molecular_function
PALES_12041,guaB,always essential,4,4,4,inosine 5'-monophosphate dehydrogenase,guaB,inosine 5'-monophosphate dehydrogenase,GO:0003938,IMP dehydrogenase activity,molecular_function
PALES_12041,guaB,always essential,4,4,4,inosine 5'-monophosphate dehydrogenase,guaB,inosine 5'-monophosphate dehydrogenase,GO:0006164,purine nucleotide biosynthetic process,biological_process
PALES_12041,guaB,always essential,4,4,4,inosine 5'-monophosphate dehydrogenase,guaB,inosine 5'-monophosphate dehydrogenase,GO:0055114,oxidation-reduction process,biological_process
PALES_12041,guaB,always essential,4,4,4,inosine 5'-monophosphate dehydrogenase,guaB,inosine 5'-monophosphate dehydrogenase,GO:0016491,oxidoreductase activity,molecular_function
PALES_12041,guaB,always essential,4,4,4,inosine 5'-monophosphate dehydrogenase,guaB,inosine 5'-monophosphate dehydrogenase,GO:0003824,catalytic activity,molecular_function
PALES_12051,guaA,always essential,4,4,4,GMP synthase,guaA,GMP synthase,GO:0003922,GMP synthase (glutamine-hydrolyzing) activity,molecular_function
PALES_12051,guaA,always essential,4,4,4,GMP synthase,guaA,GMP synthase,GO:0005524,ATP binding,molecular_function
PALES_12051,guaA,always essential,4,4,4,GMP synthase,guaA,GMP synthase,GO:0006164,purine nucleotide biosynthetic process,biological_process
PALES_12051,guaA,always essential,4,4,4,GMP synthase,guaA,GMP synthase,GO:0006177,GMP biosynthetic process,biological_process
PALES_12051,guaA,always essential,4,4,4,GMP synthase,guaA,GMP synthase,GO:0016462,pyrophosphatase activity,molecular_function
PALES_12341,ffh,always essential,4,4,4,signal recognition particle protein Ffh,ffh,signal recognition particle protein Ffh,GO:0003924,GTPase activity,molecular_function
PALES_12341,ffh,always essential,4,4,4,signal recognition particle protein Ffh,ffh,signal recognition particle protein Ffh,GO:0005525,GTP binding,molecular_function
PALES_12341,ffh,always essential,4,4,4,signal recognition particle protein Ffh,ffh,signal recognition particle protein Ffh,GO:0006614,SRP-dependent cotranslational protein targeting to membrane,biological_process
PALES_12341,ffh,always essential,4,4,4,signal recognition particle protein Ffh,ffh,signal recognition particle protein Ffh,GO:0048500,signal recognition particle,cellular_component
PALES_12341,ffh,always essential,4,4,4,signal recognition particle protein Ffh,ffh,signal recognition particle protein Ffh,GO:0008312,7S RNA binding,molecular_function
PALES_12351,rpsP,always essential,4,4,4,30S ribosomal protein S16,rpsP,30S ribosomal protein S16,GO:0003735,structural constituent of ribosome,molecular_function
PALES_12351,rpsP,always essential,4,4,4,30S ribosomal protein S16,rpsP,30S ribosomal protein S16,GO:0005840,ribosome,cellular_component
PALES_12351,rpsP,always essential,4,4,4,30S ribosomal protein S16,rpsP,30S ribosomal protein S16,GO:0006412,translation,biological_process
PALES_12431,dsbC,always essential,4,4,4,thiol:disulfide interchange protein DsbC,dsbC,thiol:disulfide interchange protein DsbC,GO:0042597,periplasmic space,cellular_component
PALES_12431,dsbC,always essential,4,4,4,thiol:disulfide interchange protein DsbC,dsbC,thiol:disulfide interchange protein DsbC,GO:0045454,cell redox homeostasis,biological_process
PALES_12711,PALES_12711,always essential,4,4,4,putative transcriptional regulator,PALES_12711,putative transcriptional regulator,GO:0003700,DNA-binding transcription factor activity,molecular_function
PALES_12711,PALES_12711,always essential,4,4,4,putative transcriptional regulator,PALES_12711,putative transcriptional regulator,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_12821,PALES_12821,always essential,4,4,4,NA,PALES_12821,putative peptide chain release factor 2,GO:0003747,translation release factor activity,molecular_function
PALES_12821,PALES_12821,always essential,4,4,4,NA,PALES_12821,putative peptide chain release factor 2,GO:0006415,translational termination,biological_process
PALES_12821,PALES_12821,always essential,4,4,4,NA,PALES_12821,putative peptide chain release factor 2,GO:0005737,cytoplasm,cellular_component
PALES_12821,PALES_12821,always essential,4,4,4,NA,PALES_12821,putative peptide chain release factor 2,GO:0016149,"translation release factor activity, codon specific",molecular_function
PALES_12841,lysS,always essential,4,4,4,lysyl-tRNA synthetase,lysS,lysyl-tRNA synthetase,GO:0000166,nucleotide binding,molecular_function
PALES_12841,lysS,always essential,4,4,4,lysyl-tRNA synthetase,lysS,lysyl-tRNA synthetase,GO:0004812,aminoacyl-tRNA ligase activity,molecular_function
PALES_12841,lysS,always essential,4,4,4,lysyl-tRNA synthetase,lysS,lysyl-tRNA synthetase,GO:0005524,ATP binding,molecular_function
PALES_12841,lysS,always essential,4,4,4,lysyl-tRNA synthetase,lysS,lysyl-tRNA synthetase,GO:0006418,tRNA aminoacylation for protein translation,biological_process
PALES_12841,lysS,always essential,4,4,4,lysyl-tRNA synthetase,lysS,lysyl-tRNA synthetase,GO:0004824,lysine-tRNA ligase activity,molecular_function
PALES_12841,lysS,always essential,4,4,4,lysyl-tRNA synthetase,lysS,lysyl-tRNA synthetase,GO:0005737,cytoplasm,cellular_component
PALES_12841,lysS,always essential,4,4,4,lysyl-tRNA synthetase,lysS,lysyl-tRNA synthetase,GO:0006430,lysyl-tRNA aminoacylation,biological_process
PALES_12841,lysS,always essential,4,4,4,lysyl-tRNA synthetase,lysS,lysyl-tRNA synthetase,GO:0003676,nucleic acid binding,molecular_function
PALES_13061,PALES_13061,always essential,4,4,4,putative transcriptional regulator,PALES_13061,putative transcriptional regulator,GO:0003677,DNA binding,molecular_function
PALES_13181,dapD,always essential,4,4,4,tetrahydrodipicolinate succinylase,dapD,tetrahydrodipicolinate succinylase,GO:0008666,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity",molecular_function
PALES_13311,PALES_13311,always essential,4,4,4,NA,PALES_13311,DNA methylase N-4/N-6,GO:0003677,DNA binding,molecular_function
PALES_13311,PALES_13311,always essential,4,4,4,NA,PALES_13311,DNA methylase N-4/N-6,GO:0006306,DNA methylation,biological_process
PALES_13311,PALES_13311,always essential,4,4,4,NA,PALES_13311,DNA methylase N-4/N-6,GO:0008170,N-methyltransferase activity,molecular_function
PALES_13311,PALES_13311,always essential,4,4,4,NA,PALES_13311,DNA methylase N-4/N-6,GO:0015667,site-specific DNA-methyltransferase (cytosine-N4-specific) activity,molecular_function
PALES_13311,PALES_13311,always essential,4,4,4,NA,PALES_13311,DNA methylase N-4/N-6,GO:0090124,N-4 methylation of cytosine,biological_process
PALES_13331,PALES_13331,always essential,4,4,4,NA,PALES_13331,"transcriptional regulator, LuxR family",GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_13331,PALES_13331,always essential,4,4,4,NA,PALES_13331,"transcriptional regulator, LuxR family",GO:0003677,DNA binding,molecular_function
PALES_13801,tsf,always essential,4,4,4,elongation factor Ts,tsf,elongation factor Ts,GO:0003746,translation elongation factor activity,molecular_function
PALES_13801,tsf,always essential,4,4,4,elongation factor Ts,tsf,elongation factor Ts,GO:0006414,translational elongation,biological_process
PALES_13801,tsf,always essential,4,4,4,elongation factor Ts,tsf,elongation factor Ts,GO:0005515,protein binding,molecular_function
PALES_13811,pyrH,always essential,4,4,4,uridylate kinase,pyrH,uridylate kinase,GO:0005737,cytoplasm,cellular_component
PALES_13811,pyrH,always essential,4,4,4,uridylate kinase,pyrH,uridylate kinase,GO:0006221,pyrimidine nucleotide biosynthetic process,biological_process
PALES_13811,pyrH,always essential,4,4,4,uridylate kinase,pyrH,uridylate kinase,GO:0033862,UMP kinase activity,molecular_function
PALES_13811,pyrH,always essential,4,4,4,uridylate kinase,pyrH,uridylate kinase,GO:0009041,uridylate kinase activity,molecular_function
PALES_13831,uppS,always essential,4,4,4,undecaprenyl pyrophosphate synthetase,uppS,undecaprenyl pyrophosphate synthetase,GO:0016765,"transferase activity, transferring alkyl or aryl (other than methyl) groups",molecular_function
PALES_13841,cdsA,always essential,4,4,4,phosphatidate cytidylyltransferase,cdsA,phosphatidate cytidylyltransferase,GO:0016020,membrane,cellular_component
PALES_13841,cdsA,always essential,4,4,4,phosphatidate cytidylyltransferase,cdsA,phosphatidate cytidylyltransferase,GO:0016772,"transferase activity, transferring phosphorus-containing groups",molecular_function
PALES_13851,dxr,always essential,4,4,4,1-deoxy-d-xylulose 5-phosphate reductoisomerase,dxr,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0008299,isoprenoid biosynthetic process,biological_process
PALES_13851,dxr,always essential,4,4,4,1-deoxy-d-xylulose 5-phosphate reductoisomerase,dxr,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0030604,1-deoxy-D-xylulose-5-phosphate reductoisomerase activity,molecular_function
PALES_13851,dxr,always essential,4,4,4,1-deoxy-d-xylulose 5-phosphate reductoisomerase,dxr,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0046872,metal ion binding,molecular_function
PALES_13851,dxr,always essential,4,4,4,1-deoxy-d-xylulose 5-phosphate reductoisomerase,dxr,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0055114,oxidation-reduction process,biological_process
PALES_13851,dxr,always essential,4,4,4,1-deoxy-d-xylulose 5-phosphate reductoisomerase,dxr,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0005515,protein binding,molecular_function
PALES_13851,dxr,always essential,4,4,4,1-deoxy-d-xylulose 5-phosphate reductoisomerase,dxr,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0070402,NADPH binding,molecular_function
PALES_13881,PALES_13881,always essential,4,4,4,putative outer membrane protein precursor,PALES_13881,putative outer membrane protein precursor,GO:0051082,unfolded protein binding,molecular_function
PALES_13891,lpxD,always essential,4,4,4,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase,lpxD,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase,GO:0016740,transferase activity,molecular_function
PALES_13891,lpxD,always essential,4,4,4,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase,lpxD,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase,GO:0009245,lipid A biosynthetic process,biological_process
PALES_13891,lpxD,always essential,4,4,4,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase,lpxD,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase,GO:0016410,N-acyltransferase activity,molecular_function
PALES_13891,lpxD,always essential,4,4,4,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase,lpxD,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase,GO:0016747,"transferase activity, transferring acyl groups other than amino-acyl groups",molecular_function
PALES_13911,lpxA,always essential,4,4,4,UDP-N-acetylglucosamine acyltransferase,lpxA,UDP-N-acetylglucosamine acyltransferase,GO:0008610,lipid biosynthetic process,biological_process
PALES_13911,lpxA,always essential,4,4,4,UDP-N-acetylglucosamine acyltransferase,lpxA,UDP-N-acetylglucosamine acyltransferase,GO:0008780,acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity,molecular_function
PALES_13911,lpxA,always essential,4,4,4,UDP-N-acetylglucosamine acyltransferase,lpxA,UDP-N-acetylglucosamine acyltransferase,GO:0016740,transferase activity,molecular_function
PALES_13911,lpxA,always essential,4,4,4,UDP-N-acetylglucosamine acyltransferase,lpxA,UDP-N-acetylglucosamine acyltransferase,GO:0009103,lipopolysaccharide biosynthetic process,biological_process
PALES_13921,lpxB,always essential,4,4,4,lipid-A-disaccharide synthase,lpxB,lipid-A-disaccharide synthase,GO:0008915,lipid-A-disaccharide synthase activity,molecular_function
PALES_13921,lpxB,always essential,4,4,4,lipid-A-disaccharide synthase,lpxB,lipid-A-disaccharide synthase,GO:0009245,lipid A biosynthetic process,biological_process
PALES_13931,rnhB,always essential,4,4,4,ribonuclease HII,rnhB,ribonuclease HII,GO:0004523,RNA-DNA hybrid ribonuclease activity,molecular_function
PALES_13931,rnhB,always essential,4,4,4,ribonuclease HII,rnhB,ribonuclease HII,GO:0003676,nucleic acid binding,molecular_function
PALES_13951,dnaE,always essential,4,4,4,DNA polymerase III subunit alpha,dnaE,DNA polymerase III subunit alpha,GO:0003824,catalytic activity,molecular_function
PALES_13951,dnaE,always essential,4,4,4,DNA polymerase III subunit alpha,dnaE,DNA polymerase III subunit alpha,GO:0003676,nucleic acid binding,molecular_function
PALES_13951,dnaE,always essential,4,4,4,DNA polymerase III subunit alpha,dnaE,DNA polymerase III subunit alpha,GO:0006260,DNA replication,biological_process
PALES_13951,dnaE,always essential,4,4,4,DNA polymerase III subunit alpha,dnaE,DNA polymerase III subunit alpha,GO:0008408,3'-5' exonuclease activity,molecular_function
PALES_13961,accA,always essential,4,4,4,acetyl-CoA carboxylase carboxyltransferase subunit alpha,accA,acetyl-CoA carboxylase carboxyltransferase subunit alpha,GO:0016874,ligase activity,molecular_function
PALES_13961,accA,always essential,4,4,4,acetyl-CoA carboxylase carboxyltransferase subunit alpha,accA,acetyl-CoA carboxylase carboxyltransferase subunit alpha,GO:0003989,acetyl-CoA carboxylase activity,molecular_function
