LESB_Locus,Gene,Essentiality,Control,Condition,Replicates,LESB_Description,Product Description,Accession,GO Term,Namespace
PALES_15251,PALES_15251,conditionally essential,0,4,4,electron transport complex protein RnfB,electron transport complex protein RnfB,GO:0022900,electron transport chain,biological_process
PALES_15351,rhlR,conditionally essential,0,4,4,transcriptional regulator RhlR,transcriptional regulator RhlR,GO:0003677,DNA binding,molecular_function
PALES_15351,rhlR,conditionally essential,0,4,4,transcriptional regulator RhlR,transcriptional regulator RhlR,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_15351,rhlR,conditionally essential,0,4,4,transcriptional regulator RhlR,transcriptional regulator RhlR,GO:0046889,positive regulation of lipid biosynthetic process,biological_process
PALES_15351,rhlR,conditionally essential,0,4,4,transcriptional regulator RhlR,transcriptional regulator RhlR,GO:0045862,positive regulation of proteolysis,biological_process
PALES_15351,rhlR,conditionally essential,0,4,4,transcriptional regulator RhlR,transcriptional regulator RhlR,GO:1900378,positive regulation of secondary metabolite biosynthetic process,biological_process
PALES_15421,PALES_15421,conditionally essential,0,4,4,hypothetical protein,hypothetical protein,GO:0016787,hydrolase activity,molecular_function
PALES_16161,ssuD,conditionally essential,0,4,4,alkanesulfonate monooxygenase,alkanesulfonate monooxygenase,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",molecular_function
PALES_16161,ssuD,conditionally essential,0,4,4,alkanesulfonate monooxygenase,alkanesulfonate monooxygenase,GO:0055114,oxidation-reduction process,biological_process
PALES_16161,ssuD,conditionally essential,0,4,4,alkanesulfonate monooxygenase,alkanesulfonate monooxygenase,GO:0008726,alkanesulfonate monooxygenase activity,molecular_function
PALES_16231,folE1,conditionally essential,0,4,4,GTP cyclohydrolase I,GTP cyclohydrolase I,GO:0003934,GTP cyclohydrolase I activity,molecular_function
PALES_16231,folE1,conditionally essential,0,4,4,GTP cyclohydrolase I,GTP cyclohydrolase I,GO:0046654,tetrahydrofolate biosynthetic process,biological_process
PALES_16261,PALES_16261,conditionally essential,0,4,4,flavodoxin,flavodoxin,GO:0010181,FMN binding,molecular_function
PALES_16261,PALES_16261,conditionally essential,0,4,4,flavodoxin,flavodoxin,GO:0055114,oxidation-reduction process,biological_process
PALES_16421,ldh,conditionally essential,0,4,4,leucine dehydrogenase,leucine dehydrogenase,GO:0006520,cellular amino acid metabolic process,biological_process
PALES_16421,ldh,conditionally essential,0,4,4,leucine dehydrogenase,leucine dehydrogenase,GO:0016491,oxidoreductase activity,molecular_function
PALES_16421,ldh,conditionally essential,0,4,4,leucine dehydrogenase,leucine dehydrogenase,GO:0055114,oxidation-reduction process,biological_process
PALES_16421,ldh,conditionally essential,0,4,4,leucine dehydrogenase,leucine dehydrogenase,GO:0016639,"oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor",molecular_function
PALES_16771,PALES_16771,conditionally essential,0,4,4,binding protein component of ABC phosphonate transporter,binding protein component of ABC phosphonate transporter,GO:0015716,organic phosphonate transport,biological_process
PALES_16771,PALES_16771,conditionally essential,0,4,4,binding protein component of ABC phosphonate transporter,binding protein component of ABC phosphonate transporter,GO:0043190,ATP-binding cassette (ABC) transporter complex,cellular_component
PALES_16771,PALES_16771,conditionally essential,0,4,4,binding protein component of ABC phosphonate transporter,binding protein component of ABC phosphonate transporter,GO:0055085,transmembrane transport,biological_process
PALES_16781,phnE,conditionally essential,0,4,4,phosphonate transport protein PhnE,phosphonate transport protein PhnE,GO:0016020,membrane,cellular_component
PALES_16781,phnE,conditionally essential,0,4,4,phosphonate transport protein PhnE,phosphonate transport protein PhnE,GO:0055085,transmembrane transport,biological_process
PALES_16781,phnE,conditionally essential,0,4,4,phosphonate transport protein PhnE,phosphonate transport protein PhnE,GO:0005887,integral component of plasma membrane,cellular_component
PALES_16781,phnE,conditionally essential,0,4,4,phosphonate transport protein PhnE,phosphonate transport protein PhnE,GO:0015604,organic phosphonate transmembrane transporter activity,molecular_function
PALES_16781,phnE,conditionally essential,0,4,4,phosphonate transport protein PhnE,phosphonate transport protein PhnE,GO:0015716,organic phosphonate transport,biological_process
PALES_16791,PALES_16791,conditionally essential,0,4,4,putative transcriptional regulator,putative transcriptional regulator,GO:0003700,DNA-binding transcription factor activity,molecular_function
PALES_16791,PALES_16791,conditionally essential,0,4,4,putative transcriptional regulator,putative transcriptional regulator,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_16791,PALES_16791,conditionally essential,0,4,4,putative transcriptional regulator,putative transcriptional regulator,GO:0003677,DNA binding,molecular_function
PALES_16991,PALES_16991,conditionally essential,0,4,4,putative chaperone,putative chaperone,GO:0005524,ATP binding,molecular_function
PALES_17031,lecB,conditionally essential,0,4,4,fucose-binding lectin PA-IIL,fucose-binding lectin PA-IIL,GO:0030246,carbohydrate binding,molecular_function
PALES_17031,lecB,conditionally essential,0,4,4,fucose-binding lectin PA-IIL,fucose-binding lectin PA-IIL,GO:0042710,biofilm formation,biological_process
PALES_17131,flgM,conditionally essential,0,4,4,FlgM,FlgM,GO:0045892,"negative regulation of transcription, DNA-templated",biological_process
PALES_17131,flgM,conditionally essential,0,4,4,FlgM,FlgM,GO:0016989,sigma factor antagonist activity,molecular_function
PALES_17601,alkB,conditionally essential,0,4,4,putative alkylated DNA repair protein,putative alkylated DNA repair protein,GO:0016491,oxidoreductase activity,molecular_function
PALES_17601,alkB,conditionally essential,0,4,4,putative alkylated DNA repair protein,putative alkylated DNA repair protein,GO:0055114,oxidation-reduction process,biological_process
PALES_17971,PALES_17971,conditionally essential,0,4,4,putative acetyltransferase,putative acetyltransferase,GO:0008080,N-acetyltransferase activity,molecular_function
PALES_18181,PALES_18181,conditionally essential,0,4,4,putative transcriptional regulator,putative transcriptional regulator,GO:0003700,DNA-binding transcription factor activity,molecular_function
PALES_18181,PALES_18181,conditionally essential,0,4,4,putative transcriptional regulator,putative transcriptional regulator,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_18181,PALES_18181,conditionally essential,0,4,4,putative transcriptional regulator,putative transcriptional regulator,GO:0003677,DNA binding,molecular_function
PALES_18351,PALES_18351,conditionally essential,0,4,4,DNA polymerase III subunit epsilon,DNA polymerase III subunit epsilon,GO:0003676,nucleic acid binding,molecular_function
PALES_18521,PALES_18521,conditionally essential,0,4,4,putative transcriptional regulator,putative transcriptional regulator,GO:0003700,DNA-binding transcription factor activity,molecular_function
PALES_18521,PALES_18521,conditionally essential,0,4,4,putative transcriptional regulator,putative transcriptional regulator,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_18521,PALES_18521,conditionally essential,0,4,4,putative transcriptional regulator,putative transcriptional regulator,GO:0043565,sequence-specific DNA binding,molecular_function
PALES_18521,PALES_18521,conditionally essential,0,4,4,putative transcriptional regulator,putative transcriptional regulator,GO:0003677,DNA binding,molecular_function
PALES_18561,PALES_18561,conditionally essential,0,4,4,putative permease of ABC transporter,putative permease of ABC transporter,GO:0043190,ATP-binding cassette (ABC) transporter complex,cellular_component
PALES_18631,PALES_18631,conditionally essential,0,4,4,putative two-component response regulator,putative two-component response regulator,GO:0000160,phosphorelay signal transduction system,biological_process
PALES_18631,PALES_18631,conditionally essential,0,4,4,putative two-component response regulator,putative two-component response regulator,GO:0003677,DNA binding,molecular_function
PALES_18631,PALES_18631,conditionally essential,0,4,4,putative two-component response regulator,putative two-component response regulator,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_18751,glk,conditionally essential,0,4,4,glucokinase,glucokinase,GO:0004340,glucokinase activity,molecular_function
PALES_18751,glk,conditionally essential,0,4,4,glucokinase,glucokinase,GO:0005524,ATP binding,molecular_function
PALES_18751,glk,conditionally essential,0,4,4,glucokinase,glucokinase,GO:0005536,glucose binding,molecular_function
PALES_18751,glk,conditionally essential,0,4,4,glucokinase,glucokinase,GO:0006096,glycolytic process,biological_process
PALES_18751,glk,conditionally essential,0,4,4,glucokinase,glucokinase,GO:0051156,glucose 6-phosphate metabolic process,biological_process
PALES_18801,PALES_18801,conditionally essential,0,4,4,putative permease of ABC sugar transporter,putative permease of ABC sugar transporter,GO:0016020,membrane,cellular_component
PALES_18801,PALES_18801,conditionally essential,0,4,4,putative permease of ABC sugar transporter,putative permease of ABC sugar transporter,GO:0055085,transmembrane transport,biological_process
PALES_18811,PALES_18811,conditionally essential,0,4,4,putative ATP-binding component of ABC transporter,putative ATP-binding component of ABC transporter,GO:0005524,ATP binding,molecular_function
PALES_18811,PALES_18811,conditionally essential,0,4,4,putative ATP-binding component of ABC transporter,putative ATP-binding component of ABC transporter,GO:0016887,ATPase activity,molecular_function
PALES_18951,PALES_18951,conditionally essential,0,4,4,short chain dehydrogenase,short chain dehydrogenase,GO:0016491,oxidoreductase activity,molecular_function
PALES_19321,PALES_19321,conditionally essential,0,4,4,putative bleomycin resistance protein,putative bleomycin resistance protein,GO:0008080,N-acetyltransferase activity,molecular_function
PALES_19511,cvpA,conditionally essential,0,4,4,putative colicin V production protein,putative colicin V production protein,GO:0009403,toxin biosynthetic process,biological_process
PALES_19511,cvpA,conditionally essential,0,4,4,putative colicin V production protein,putative colicin V production protein,GO:0016020,membrane,cellular_component
PALES_19591,xcpT,conditionally essential,0,4,4,general secretion pathway protein G,general secretion pathway protein G,GO:0015627,type II protein secretion system complex,cellular_component
PALES_19591,xcpT,conditionally essential,0,4,4,general secretion pathway protein G,general secretion pathway protein G,GO:0015628,protein secretion by the type II secretion system,biological_process
PALES_19631,xcpX,conditionally essential,0,4,4,general secretion pathway protein K,general secretion pathway protein K,GO:0009306,protein secretion,biological_process
PALES_19631,xcpX,conditionally essential,0,4,4,general secretion pathway protein K,general secretion pathway protein K,GO:0016021,integral component of membrane,cellular_component
PALES_19631,xcpX,conditionally essential,0,4,4,general secretion pathway protein K,general secretion pathway protein K,GO:0015628,protein secretion by the type II secretion system,biological_process
PALES_19771,pepN,conditionally essential,0,4,4,aminopeptidase N,aminopeptidase N,GO:0006508,proteolysis,biological_process
PALES_19771,pepN,conditionally essential,0,4,4,aminopeptidase N,aminopeptidase N,GO:0008270,zinc ion binding,molecular_function
PALES_19771,pepN,conditionally essential,0,4,4,aminopeptidase N,aminopeptidase N,GO:0008237,metallopeptidase activity,molecular_function
PALES_20651,nqrC,conditionally essential,0,4,4,Na(+)-translocating NADH-quinone reductase subunit C,Na(+)-translocating NADH-quinone reductase subunit C,GO:0010181,FMN binding,molecular_function
PALES_20651,nqrC,conditionally essential,0,4,4,Na(+)-translocating NADH-quinone reductase subunit C,Na(+)-translocating NADH-quinone reductase subunit C,GO:0016020,membrane,cellular_component
PALES_20651,nqrC,conditionally essential,0,4,4,Na(+)-translocating NADH-quinone reductase subunit C,Na(+)-translocating NADH-quinone reductase subunit C,GO:0006814,sodium ion transport,biological_process
PALES_20651,nqrC,conditionally essential,0,4,4,Na(+)-translocating NADH-quinone reductase subunit C,Na(+)-translocating NADH-quinone reductase subunit C,GO:0016021,integral component of membrane,cellular_component
PALES_20651,nqrC,conditionally essential,0,4,4,Na(+)-translocating NADH-quinone reductase subunit C,Na(+)-translocating NADH-quinone reductase subunit C,GO:0016655,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",molecular_function
PALES_20951,fabD,conditionally essential,0,4,4,malonyl-CoA-[acyl-carrier-protein] transacylase,malonyl-CoA-[acyl-carrier-protein] transacylase,GO:0016740,transferase activity,molecular_function
PALES_20951,fabD,conditionally essential,0,4,4,malonyl-CoA-[acyl-carrier-protein] transacylase,malonyl-CoA-[acyl-carrier-protein] transacylase,GO:0004314,[acyl-carrier-protein] S-malonyltransferase activity,molecular_function
PALES_20951,fabD,conditionally essential,0,4,4,malonyl-CoA-[acyl-carrier-protein] transacylase,malonyl-CoA-[acyl-carrier-protein] transacylase,GO:0006633,fatty acid biosynthetic process,biological_process
PALES_21321,PALES_21321,conditionally essential,0,4,4,cifR,CifR,GO:0003677,DNA binding,molecular_function
PALES_21321,PALES_21321,conditionally essential,0,4,4,cifR,CifR,GO:0045892,"negative regulation of transcription, DNA-templated",biological_process
PALES_21321,PALES_21321,conditionally essential,0,4,4,cifR,CifR,GO:0000976,transcription regulatory region sequence-specific DNA binding,molecular_function
PALES_21551,cobK,conditionally essential,0,4,4,cobalt-precorrin-6x reductase,cobalt-precorrin-6x reductase,GO:0009236,cobalamin biosynthetic process,biological_process
PALES_21551,cobK,conditionally essential,0,4,4,cobalt-precorrin-6x reductase,cobalt-precorrin-6x reductase,GO:0016994,precorrin-6A reductase activity,molecular_function
PALES_21551,cobK,conditionally essential,0,4,4,cobalt-precorrin-6x reductase,cobalt-precorrin-6x reductase,GO:0055114,oxidation-reduction process,biological_process
PALES_21571,cobL,conditionally essential,0,4,4,precorrin-6y-dependent methyltransferase CobL,precorrin-6y-dependent methyltransferase CobL,GO:0008276,protein methyltransferase activity,molecular_function
PALES_21571,cobL,conditionally essential,0,4,4,precorrin-6y-dependent methyltransferase CobL,precorrin-6y-dependent methyltransferase CobL,GO:0009236,cobalamin biosynthetic process,biological_process
PALES_21571,cobL,conditionally essential,0,4,4,precorrin-6y-dependent methyltransferase CobL,precorrin-6y-dependent methyltransferase CobL,GO:0008168,methyltransferase activity,molecular_function
PALES_21751,atuD,conditionally essential,0,4,4,putative citronellyl-CoA dehydrogenase involved in catabolism of citronellol,putative citronellyl-CoA dehydrogenase involved in catabolism of citronellol,GO:0016627,"oxidoreductase activity, acting on the CH-CH group of donors",molecular_function
PALES_21751,atuD,conditionally essential,0,4,4,putative citronellyl-CoA dehydrogenase involved in catabolism of citronellol,putative citronellyl-CoA dehydrogenase involved in catabolism of citronellol,GO:0055114,oxidation-reduction process,biological_process
PALES_21751,atuD,conditionally essential,0,4,4,putative citronellyl-CoA dehydrogenase involved in catabolism of citronellol,putative citronellyl-CoA dehydrogenase involved in catabolism of citronellol,GO:0050660,flavin adenine dinucleotide binding,molecular_function
PALES_21751,atuD,conditionally essential,0,4,4,putative citronellyl-CoA dehydrogenase involved in catabolism of citronellol,putative citronellyl-CoA dehydrogenase involved in catabolism of citronellol,GO:0003995,acyl-CoA dehydrogenase activity,molecular_function
PALES_21751,atuD,conditionally essential,0,4,4,putative citronellyl-CoA dehydrogenase involved in catabolism of citronellol,putative citronellyl-CoA dehydrogenase involved in catabolism of citronellol,GO:0034824,citronellyl-CoA dehydrogenase activity,molecular_function
PALES_21751,atuD,conditionally essential,0,4,4,putative citronellyl-CoA dehydrogenase involved in catabolism of citronellol,putative citronellyl-CoA dehydrogenase involved in catabolism of citronellol,GO:0046247,terpene catabolic process,biological_process
PALES_21951,PALES_21951,conditionally essential,0,4,4,hypothetical protein,hypothetical protein,GO:0042128,nitrate assimilation,biological_process
PALES_22021,lipA,conditionally essential,0,4,4,lactonizing lipase precursor,lactonizing lipase precursor,GO:0016298,lipase activity,molecular_function
PALES_22441,PALES_22441,conditionally essential,0,4,4,putative glutathione S-transferase,putative glutathione S-transferase,GO:0005515,protein binding,molecular_function
PALES_23451,ihfA,conditionally essential,0,4,4,integration host factor subunit alpha,integration host factor subunit alpha,GO:0003677,DNA binding,molecular_function
PALES_23451,ihfA,conditionally essential,0,4,4,integration host factor subunit alpha,integration host factor subunit alpha,GO:0006310,DNA recombination,biological_process
PALES_23451,ihfA,conditionally essential,0,4,4,integration host factor subunit alpha,integration host factor subunit alpha,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_23701,PALES_23701,conditionally essential,0,4,4,NlpC/P60 family protein,NlpC/P60 family protein,GO:0005515,protein binding,molecular_function
PALES_24231,PALES_24231,conditionally essential,0,4,4,putative transcriptional regulator,putative transcriptional regulator,GO:0003700,DNA-binding transcription factor activity,molecular_function
PALES_24231,PALES_24231,conditionally essential,0,4,4,putative transcriptional regulator,putative transcriptional regulator,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_24371,PALES_24371,conditionally essential,0,4,4,putative transcriptional regulator,putative transcriptional regulator,GO:0003677,DNA binding,molecular_function
PALES_24371,PALES_24371,conditionally essential,0,4,4,putative transcriptional regulator,putative transcriptional regulator,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_24371,PALES_24371,conditionally essential,0,4,4,putative transcriptional regulator,putative transcriptional regulator,GO:0000976,transcription regulatory region sequence-specific DNA binding,molecular_function
PALES_24371,PALES_24371,conditionally essential,0,4,4,putative transcriptional regulator,putative transcriptional regulator,GO:0010963,regulation of L-arginine import,biological_process
PALES_24371,PALES_24371,conditionally essential,0,4,4,putative transcriptional regulator,putative transcriptional regulator,GO:1900377,negative regulation of secondary metabolite biosynthetic process,biological_process
PALES_24471,PALES_24471,conditionally essential,0,4,4,putative two-component response regulator,putative two-component response regulator,GO:0003677,DNA binding,molecular_function
PALES_24471,PALES_24471,conditionally essential,0,4,4,putative two-component response regulator,putative two-component response regulator,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_24471,PALES_24471,conditionally essential,0,4,4,putative two-component response regulator,putative two-component response regulator,GO:0000160,phosphorelay signal transduction system,biological_process
PALES_24561,nuoN,conditionally essential,0,4,4,NADH dehydrogenase subunit N,NADH dehydrogenase subunit N,GO:0008137,NADH dehydrogenase (ubiquinone) activity,molecular_function
PALES_24561,nuoN,conditionally essential,0,4,4,NADH dehydrogenase subunit N,NADH dehydrogenase subunit N,GO:0042773,ATP synthesis coupled electron transport,biological_process
PALES_24561,nuoN,conditionally essential,0,4,4,NADH dehydrogenase subunit N,NADH dehydrogenase subunit N,GO:0055114,oxidation-reduction process,biological_process
PALES_24561,nuoN,conditionally essential,0,4,4,NADH dehydrogenase subunit N,NADH dehydrogenase subunit N,GO:0071236,cellular response to antibiotic,biological_process
PALES_24591,nuoK,conditionally essential,0,4,4,NADH dehydrogenase subunit K,NADH dehydrogenase subunit K,GO:0016651,"oxidoreductase activity, acting on NAD(P)H",molecular_function
PALES_24591,nuoK,conditionally essential,0,4,4,NADH dehydrogenase subunit K,NADH dehydrogenase subunit K,GO:0042773,ATP synthesis coupled electron transport,biological_process
PALES_24591,nuoK,conditionally essential,0,4,4,NADH dehydrogenase subunit K,NADH dehydrogenase subunit K,GO:0055114,oxidation-reduction process,biological_process
PALES_24601,nuoJ,conditionally essential,0,4,4,NADH dehydrogenase subunit J,NADH dehydrogenase subunit J,GO:0008137,NADH dehydrogenase (ubiquinone) activity,molecular_function
PALES_24601,nuoJ,conditionally essential,0,4,4,NADH dehydrogenase subunit J,NADH dehydrogenase subunit J,GO:0055114,oxidation-reduction process,biological_process
PALES_24661,nuoD,conditionally essential,0,4,4,bifunctional NADH:ubiquinone oxidoreductase subunit C/D,bifunctional NADH:ubiquinone oxidoreductase subunit C/D,GO:0016651,"oxidoreductase activity, acting on NAD(P)H",molecular_function
PALES_24661,nuoD,conditionally essential,0,4,4,bifunctional NADH:ubiquinone oxidoreductase subunit C/D,bifunctional NADH:ubiquinone oxidoreductase subunit C/D,GO:0055114,oxidation-reduction process,biological_process
PALES_24661,nuoD,conditionally essential,0,4,4,bifunctional NADH:ubiquinone oxidoreductase subunit C/D,bifunctional NADH:ubiquinone oxidoreductase subunit C/D,GO:0030964,NADH dehydrogenase complex,cellular_component
PALES_24661,nuoD,conditionally essential,0,4,4,bifunctional NADH:ubiquinone oxidoreductase subunit C/D,bifunctional NADH:ubiquinone oxidoreductase subunit C/D,GO:0050136,NADH dehydrogenase (quinone) activity,molecular_function
PALES_24661,nuoD,conditionally essential,0,4,4,bifunctional NADH:ubiquinone oxidoreductase subunit C/D,bifunctional NADH:ubiquinone oxidoreductase subunit C/D,GO:0008137,NADH dehydrogenase (ubiquinone) activity,molecular_function
PALES_24661,nuoD,conditionally essential,0,4,4,bifunctional NADH:ubiquinone oxidoreductase subunit C/D,bifunctional NADH:ubiquinone oxidoreductase subunit C/D,GO:0048038,quinone binding,molecular_function
PALES_24661,nuoD,conditionally essential,0,4,4,bifunctional NADH:ubiquinone oxidoreductase subunit C/D,bifunctional NADH:ubiquinone oxidoreductase subunit C/D,GO:0051287,NAD binding,molecular_function
PALES_24671,nuoB,conditionally essential,0,4,4,NADH dehydrogenase subunit B,NADH dehydrogenase subunit B,GO:0008137,NADH dehydrogenase (ubiquinone) activity,molecular_function
PALES_24671,nuoB,conditionally essential,0,4,4,NADH dehydrogenase subunit B,NADH dehydrogenase subunit B,GO:0048038,quinone binding,molecular_function
PALES_24671,nuoB,conditionally essential,0,4,4,NADH dehydrogenase subunit B,NADH dehydrogenase subunit B,GO:0051539,"4 iron, 4 sulfur cluster binding",molecular_function
PALES_24671,nuoB,conditionally essential,0,4,4,NADH dehydrogenase subunit B,NADH dehydrogenase subunit B,GO:0055114,oxidation-reduction process,biological_process
PALES_24671,nuoB,conditionally essential,0,4,4,NADH dehydrogenase subunit B,NADH dehydrogenase subunit B,GO:0051536,iron-sulfur cluster binding,molecular_function
PALES_24741,PALES_24741,conditionally essential,0,4,4,putative acetyl transferase,putative acetyl transferase,GO:0008080,N-acetyltransferase activity,molecular_function
PALES_24821,icd,conditionally essential,0,4,4,isocitrate dehydrogenase,isocitrate dehydrogenase,GO:0004450,isocitrate dehydrogenase (NADP+) activity,molecular_function
PALES_24821,icd,conditionally essential,0,4,4,isocitrate dehydrogenase,isocitrate dehydrogenase,GO:0006099,tricarboxylic acid cycle,biological_process
PALES_24821,icd,conditionally essential,0,4,4,isocitrate dehydrogenase,isocitrate dehydrogenase,GO:0055114,oxidation-reduction process,biological_process
PALES_24821,icd,conditionally essential,0,4,4,isocitrate dehydrogenase,isocitrate dehydrogenase,GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",molecular_function
PALES_24821,icd,conditionally essential,0,4,4,isocitrate dehydrogenase,isocitrate dehydrogenase,GO:0000287,magnesium ion binding,molecular_function
PALES_24821,icd,conditionally essential,0,4,4,isocitrate dehydrogenase,isocitrate dehydrogenase,GO:0051287,NAD binding,molecular_function
PALES_24981,PALES_24981,conditionally essential,0,4,4,putative DsrH family protein,putative DsrH family protein,GO:0002143,tRNA wobble position uridine thiolation,biological_process
PALES_24981,PALES_24981,conditionally essential,0,4,4,putative DsrH family protein,putative DsrH family protein,GO:0005737,cytoplasm,cellular_component
PALES_25691,PALES_25691,conditionally essential,0,4,4,putative transcriptional regulator,putative transcriptional regulator,GO:0003700,DNA-binding transcription factor activity,molecular_function
PALES_25691,PALES_25691,conditionally essential,0,4,4,putative transcriptional regulator,putative transcriptional regulator,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_25741,PALES_25741,conditionally essential,0,4,4,putative periplasmic aliphatic sulfonate-binding protein,putative periplasmic aliphatic sulfonate-binding protein,GO:0016020,membrane,cellular_component
PALES_25741,PALES_25741,conditionally essential,0,4,4,putative periplasmic aliphatic sulfonate-binding protein,putative periplasmic aliphatic sulfonate-binding protein,GO:0042626,ATPase-coupled transmembrane transporter activity,molecular_function
PALES_25891,pltZ,conditionally essential,0,4,4,pltZ,PltZ,GO:0003677,DNA binding,molecular_function
PALES_25991,PALES_25991,conditionally essential,0,4,4,putative permease,putative permease,GO:0005887,integral component of plasma membrane,cellular_component
PALES_25991,PALES_25991,conditionally essential,0,4,4,putative permease,putative permease,GO:0055085,transmembrane transport,biological_process
PALES_27791,xylZ,conditionally essential,0,4,4,"toluate 1,2-dioxygenase electron transfer component","toluate 1,2-dioxygenase electron transfer component",GO:0016491,oxidoreductase activity,molecular_function
PALES_27791,xylZ,conditionally essential,0,4,4,"toluate 1,2-dioxygenase electron transfer component","toluate 1,2-dioxygenase electron transfer component",GO:0055114,oxidation-reduction process,biological_process
PALES_27791,xylZ,conditionally essential,0,4,4,"toluate 1,2-dioxygenase electron transfer component","toluate 1,2-dioxygenase electron transfer component",GO:0009055,electron transfer activity,molecular_function
PALES_27791,xylZ,conditionally essential,0,4,4,"toluate 1,2-dioxygenase electron transfer component","toluate 1,2-dioxygenase electron transfer component",GO:0051536,iron-sulfur cluster binding,molecular_function
PALES_27791,xylZ,conditionally essential,0,4,4,"toluate 1,2-dioxygenase electron transfer component","toluate 1,2-dioxygenase electron transfer component",GO:0051537,"2 iron, 2 sulfur cluster binding",molecular_function
PALES_27821,antB,conditionally essential,0,4,4,anthranilate dioxygenase small subunit,anthranilate dioxygenase small subunit,GO:0006725,cellular aromatic compound metabolic process,biological_process
PALES_27821,antB,conditionally essential,0,4,4,anthranilate dioxygenase small subunit,anthranilate dioxygenase small subunit,GO:0055114,oxidation-reduction process,biological_process
PALES_27821,antB,conditionally essential,0,4,4,anthranilate dioxygenase small subunit,anthranilate dioxygenase small subunit,GO:0019439,aromatic compound catabolic process,biological_process
PALES_27951,PALES_27951,conditionally essential,0,4,4,putative major facilitator superfamily (MFS) transporter,putative major facilitator superfamily (MFS) transporter,GO:0005887,integral component of plasma membrane,cellular_component
PALES_27951,PALES_27951,conditionally essential,0,4,4,putative major facilitator superfamily (MFS) transporter,putative major facilitator superfamily (MFS) transporter,GO:0055085,transmembrane transport,biological_process
PALES_28461,PALES_28461,conditionally essential,0,4,4,hypothetical protein,hypothetical protein,GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",molecular_function
PALES_28771,PALES_28771,conditionally essential,0,4,4,putative hydrolase,putative hydrolase,GO:0003824,catalytic activity,molecular_function
PALES_28891,PALES_28891,conditionally essential,0,4,4,putative adhesion protein,putative adhesion protein,GO:0030001,metal ion transport,biological_process
PALES_28891,PALES_28891,conditionally essential,0,4,4,putative adhesion protein,putative adhesion protein,GO:0046872,metal ion binding,molecular_function
PALES_28891,PALES_28891,conditionally essential,0,4,4,putative adhesion protein,putative adhesion protein,GO:0007155,cell adhesion,biological_process
PALES_29661,mtlR,conditionally essential,0,4,4,transcriptional regulator MtlR,transcriptional regulator MtlR,GO:0003700,DNA-binding transcription factor activity,molecular_function
PALES_29661,mtlR,conditionally essential,0,4,4,transcriptional regulator MtlR,transcriptional regulator MtlR,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_29661,mtlR,conditionally essential,0,4,4,transcriptional regulator MtlR,transcriptional regulator MtlR,GO:0003677,DNA binding,molecular_function
PALES_29661,mtlR,conditionally essential,0,4,4,transcriptional regulator MtlR,transcriptional regulator MtlR,GO:0043565,sequence-specific DNA binding,molecular_function
PALES_29781,PALES_29781,conditionally essential,0,4,4,"putative xenobiotic compound monooxygenase, DszA family","putative xenobiotic compound monooxygenase, DszA family",GO:0004497,monooxygenase activity,molecular_function
PALES_29781,PALES_29781,conditionally essential,0,4,4,"putative xenobiotic compound monooxygenase, DszA family","putative xenobiotic compound monooxygenase, DszA family",GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",molecular_function
PALES_29781,PALES_29781,conditionally essential,0,4,4,"putative xenobiotic compound monooxygenase, DszA family","putative xenobiotic compound monooxygenase, DszA family",GO:0055114,oxidation-reduction process,biological_process
PALES_29921,PALES_29921,conditionally essential,0,4,4,putative transcriptional regulator,putative transcriptional regulator,GO:0003677,DNA binding,molecular_function
PALES_29971,PALES_29971,conditionally essential,0,4,4,putative permease of ABC transporter,putative permease of ABC transporter,GO:0016020,membrane,cellular_component
PALES_29971,PALES_29971,conditionally essential,0,4,4,putative permease of ABC transporter,putative permease of ABC transporter,GO:0055085,transmembrane transport,biological_process
PALES_30001,PALES_30001,conditionally essential,0,4,4,ambC,AmbC,GO:0016491,oxidoreductase activity,molecular_function
PALES_30001,PALES_30001,conditionally essential,0,4,4,ambC,AmbC,GO:0055114,oxidation-reduction process,biological_process
PALES_30011,PALES_30011,conditionally essential,0,4,4,ambD,AmbD,GO:0016491,oxidoreductase activity,molecular_function
PALES_30011,PALES_30011,conditionally essential,0,4,4,ambD,AmbD,GO:0055114,oxidation-reduction process,biological_process
