Gene	Essentiality	Control	Condition	Replicates	loci	description	old_loci
SAUSA300_0725	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0726	always non-essential	0	0	4	SAUSA300_RS03910	glycerate kinase	SAUSA300_0726
SAUSA300_0728	always non-essential	0	0	4	SAUSA300_RS03920	threonine/serine exporter family protein	SAUSA300_0728
SAUSA300_0729	always non-essential	0	0	4	SAUSA300_RS03925	threonine/serine exporter ThrE family protein	SAUSA300_0729
SAUSA300_0730	always non-essential	0	0	4	SAUSA300_RS03930	GGDEF domain-containing protein	SAUSA300_0730
SAUSA300_0731	always essential	4	4	4	SAUSA300_RS03935	undecaprenyl/decaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase	SAUSA300_0731
SAUSA300_0732	always non-essential	0	0	4	SAUSA300_RS03940	YigZ family protein	SAUSA300_0732
SAUSA300_0733	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0734	always non-essential	0	0	4	SAUSA300_RS03950	DEAD/DEAH box helicase	SAUSA300_0734
SAUSA300_0735	always non-essential	0	0	4	SAUSA300_RS03955	ComF family protein	SAUSA300_0735
SAUSA300_0739	always non-essential	0	0	4	SAUSA300_RS03985	CHAP domain-containing protein	SAUSA300_0739
SAUSA300_0740	always non-essential	0	0	4	SAUSA300_RS03990	HD domain-containing protein	SAUSA300_0740
SAUSA300_0745	always non-essential	0	0	4	SAUSA300_RS04020	acetyltransferase	SAUSA300_0745
SAUSA300_0746	always non-essential	0	0	4	SAUSA300_RS04025	tetratricopeptide repeat protein	SAUSA300_0746
SAUSA300_0748	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0749	probably always essential	4	3	4	SAUSA300_RS04045	YvcK family protein	SAUSA300_0749
SAUSA300_0750	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0751	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0753	always non-essential	0	0	4	SAUSA300_RS04065	TIGR01777 family oxidoreductase	SAUSA300_0753
SAUSA300_0754	always non-essential	0	0	4	SAUSA300_RS04070	DUF4887 domain-containing protein	SAUSA300_0754
SAUSA300_0755	always non-essential	0	0	4	SAUSA300_RS04075	sugar-binding transcriptional regulator	SAUSA300_0755
SAUSA300_0761	always non-essential	0	0	4	SAUSA300_RS04105	hypothetical protein	SAUSA300_0761
SAUSA300_0767	always non-essential	0	0	4	SAUSA300_RS04135	hypothetical protein	SAUSA300_0767
SAUSA300_0768	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0769	probably always non-essential	1	0	4	SAUSA300_RS04145	DUF5067 domain-containing protein	SAUSA300_0769
SAUSA300_0770	always non-essential	0	0	4	SAUSA300_RS04155	hypothetical protein	SAUSA300_0770
SAUSA300_0771	always non-essential	0	0	4	SAUSA300_RS04160	N-acetyltransferase	SAUSA300_0771
SAUSA300_0773	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0775	always non-essential	0	0	4	SAUSA300_RS04180	hypothetical protein	SAUSA300_0775
SAUSA300_0777	always non-essential	0	0	4	SAUSA300_RS04190	cold-shock protein	SAUSA300_0777
SAUSA300_0778	probably always non-essential	1	0	4	SAUSA300_RS04195	hypothetical protein	SAUSA300_0778
SAUSA300_0779	always non-essential	0	0	4	SAUSA300_RS04200	hypothetical protein	SAUSA300_0779
SAUSA300_0780	always non-essential	0	0	4	SAUSA300_RS04205	hypothetical protein	SAUSA300_0780
SAUSA300_0781	always non-essential	0	0	4	SAUSA300_RS04225	hypothetical protein	SAUSA300_0781
SAUSA300_0782	always non-essential	0	0	4	SAUSA300_RS04220	sterile alpha motif-like domain-containing protein	SAUSA300_0782
SAUSA300_0783	always non-essential	0	0	4	SAUSA300_RS04230	phosphoglycerate mutase family protein	SAUSA300_0783
SAUSA300_0784	always non-essential	0	0	4	SAUSA300_RS04235	LysE/ArgO family amino acid transporter	SAUSA300_0784
SAUSA300_0785	always non-essential	0	0	4	SAUSA300_RS04240	GNAT family N-acetyltransferase	SAUSA300_0785
SAUSA300_0786	always non-essential	0	0	4	SAUSA300_RS04245	organic hydroperoxide resistance protein	SAUSA300_0786
SAUSA300_0788	always non-essential	0	0	4	SAUSA300_RS04255	nitroreductase	SAUSA300_0788
SAUSA300_0789	always non-essential	0	0	4	SAUSA300_RS04260	thioredoxin family protein	SAUSA300_0789
SAUSA300_0790	always non-essential	0	0	4	SAUSA300_RS04265	arsenate reductase family protein	SAUSA300_0790
SAUSA300_0792	inconsistent replicates	2	1	4	NA	NA	NA
SAUSA300_0793	always non-essential	0	0	4	SAUSA300_RS04280	DUF1963 domain-containing protein	SAUSA300_0793
SAUSA300_0794	always non-essential	0	0	4	SAUSA300_RS04290	toprim domain-containing protein	SAUSA300_0794
SAUSA300_0795	always non-essential	0	0	4	SAUSA300_RS04295	thioredoxin family protein	SAUSA300_0795
SAUSA300_0796	always non-essential	0	0	4	SAUSA300_RS04300	methionine ABC transporter ATP-binding protein	SAUSA300_0796
SAUSA300_0797	always non-essential	0	0	4	SAUSA300_RS04305	ABC transporter permease	SAUSA300_0797
SAUSA300_0798	always non-essential	0	0	4	SAUSA300_RS04310	MetQ/NlpA family ABC transporter substrate-binding protein	SAUSA300_0798
SAUSA300_0802	always non-essential	0	0	4	SAUSA300_RS04330	ImmA/IrrE family metallo-endopeptidase	SAUSA300_0802
SAUSA300_0803	inconsistent replicates	2	0	4	SAUSA300_RS04335	helix-turn-helix transcriptional regulator	SAUSA300_0803
SAUSA300_0804	always non-essential	0	0	4	SAUSA300_RS04340	helix-turn-helix domain-containing protein	SAUSA300_0804
SAUSA300_0805	always non-essential	0	0	4	SAUSA300_RS04345	helix-turn-helix domain-containing protein	SAUSA300_0805
SAUSA300_0806	always non-essential	0	0	4	SAUSA300_RS04350	hypothetical protein	SAUSA300_0806
SAUSA300_0807	always non-essential	0	0	4	SAUSA300_RS04355	hypothetical protein	SAUSA300_0807
SAUSA300_0808	always non-essential	0	0	4	SAUSA300_RS04360	DUF1474 family protein	SAUSA300_0808
SAUSA300_0809	always non-essential	0	0	4	SAUSA300_RS04365	DUF5906 domain-containing protein	SAUSA300_0809
SAUSA300_0810	always non-essential	0	0	4	SAUSA300_RS04370	hypothetical protein	SAUSA300_0810
SAUSA300_0811	always non-essential	0	0	4	SAUSA300_RS04375	hypothetical protein	SAUSA300_0811
SAUSA300_0812	always non-essential	0	0	4	SAUSA300_RS04380	phage capsid protein	SAUSA300_0812
SAUSA300_0813	always non-essential	0	0	4	SAUSA300_RS04385	hypothetical protein	SAUSA300_0813
SAUSA300_0814	always non-essential	0	0	4	SAUSA300_RS04390	Abi family protein	SAUSA300_0814
SAUSA300_0816	always non-essential	0	0	4	SAUSA300_RS04400	CsbD family protein	SAUSA300_0816
SAUSA300_0817	probably always essential	4	3	4	SAUSA300_RS04405	DUF368 domain-containing protein	SAUSA300_0817
SAUSA300_0821	always essential	4	4	4	SAUSA300_RS04425	SUF system NifU family Fe-S cluster assembly protein	SAUSA300_0821
SAUSA300_0823	always non-essential	0	0	4	SAUSA300_RS04440	hypothetical protein	SAUSA300_0823
SAUSA300_0824	inconsistent replicates	2	1	4	SAUSA300_RS04445	HlyC/CorC family transporter	SAUSA300_0824
SAUSA300_0825	always non-essential	0	0	4	SAUSA300_RS04450	nitronate monooxygenase family protein	SAUSA300_0825
SAUSA300_0826	always non-essential	0	0	4	SAUSA300_RS04460	DUF72 domain-containing protein	SAUSA300_0826
SAUSA300_0827	always non-essential	0	0	4	SAUSA300_RS04465	sulfite exporter TauE/SafE family protein	SAUSA300_0827
SAUSA300_0828	always non-essential	0	0	4	SAUSA300_RS04470	bifunctional metallophosphatase/5'-nucleotidase	SAUSA300_0828
SAUSA300_0830	always non-essential	0	0	4	SAUSA300_RS04480	YutD family protein	SAUSA300_0830
SAUSA300_0831	always non-essential	0	0	4	SAUSA300_RS04485	DUF3055 domain-containing protein	SAUSA300_0831
SAUSA300_0832	always non-essential	0	0	4	SAUSA300_RS04490	DUF86 domain-containing protein	SAUSA300_0832
SAUSA300_0833	always non-essential	0	0	4	SAUSA300_RS04495	TIGR01457 family HAD-type hydrolase	SAUSA300_0833
SAUSA300_0834	always non-essential	0	0	4	SAUSA300_RS04500	D-glycerate dehydrogenase	SAUSA300_0834
SAUSA300_0839	always non-essential	0	0	4	SAUSA300_RS04535	NifU family protein	SAUSA300_0839
SAUSA300_0840	always non-essential	0	0	4	SAUSA300_RS04540	YuzD family protein	SAUSA300_0840
SAUSA300_0841	always non-essential	0	0	4	SAUSA300_RS04545	NAD(P)/FAD-dependent oxidoreductase	SAUSA300_0841
SAUSA300_0842	always non-essential	0	0	4	SAUSA300_RS04550	YuzB family protein	SAUSA300_0842
SAUSA300_0843	always non-essential	0	0	4	SAUSA300_RS04555	iron-sulfur cluster assembly accessory protein	SAUSA300_0843
SAUSA300_0844	inconsistent replicates	2	3	4	SAUSA300_RS04560	NAD(P)/FAD-dependent oxidoreductase	SAUSA300_0844
SAUSA300_0846	always non-essential	0	0	4	SAUSA300_RS04570	Na+/H+ antiporter family protein	SAUSA300_0846
SAUSA300_0847	always non-essential	0	0	4	SAUSA300_RS04575	PaaI family thioesterase	SAUSA300_0847
SAUSA300_0848	always non-essential	0	0	4	SAUSA300_RS04580	FAD/NAD(P)-binding protein	SAUSA300_0848
SAUSA300_0856	always non-essential	0	0	4	SAUSA300_RS04620	kinase-associated lipoprotein B	SAUSA300_0856
SAUSA300_0857	probably always non-essential	0	1	4	SAUSA300_RS04625	peptidylprolyl isomerase	SAUSA300_0857
SAUSA300_0858	always non-essential	0	0	4	SAUSA300_RS04630	S1 RNA-binding domain-containing protein	SAUSA300_0858
SAUSA300_0859	always non-essential	0	0	4	SAUSA300_RS04635	NADH-dependent flavin oxidoreductase	SAUSA300_0859
SAUSA300_0866	always non-essential	0	0	4	SAUSA300_RS04675	TVP38/TMEM64 family protein	SAUSA300_0866
SAUSA300_0871	probably always non-essential	0	1	4	SAUSA300_RS04700	fumarylacetoacetate hydrolase family protein	SAUSA300_0871
SAUSA300_0872	always non-essential	0	0	4	SAUSA300_RS04705	YisL family protein	SAUSA300_0872
SAUSA300_0874	always non-essential	0	0	4	SAUSA300_RS04715	Cof-type HAD-IIB family hydrolase	SAUSA300_0874
SAUSA300_0875	always non-essential	0	0	4	SAUSA300_RS04720	metal-sulfur cluster assembly factor	SAUSA300_0875
SAUSA300_0876	always non-essential	0	0	4	SAUSA300_RS04725	acetyltransferase	SAUSA300_0876
SAUSA300_0878	always non-essential	0	0	4	SAUSA300_RS04735	LysR family transcriptional regulator	SAUSA300_0878
SAUSA300_0879	always non-essential	0	0	4	SAUSA300_RS04740	LeuA family protein	SAUSA300_0879
SAUSA300_0880	always non-essential	0	0	4	SAUSA300_RS04745	L-threonylcarbamoyladenylate synthase	SAUSA300_0880
SAUSA300_0881	always non-essential	0	0	4	SAUSA300_RS04750	membrane protein	SAUSA300_0881
SAUSA300_0882	always non-essential	0	0	4	SAUSA300_RS04755	YbhB/YbcL family Raf kinase inhibitor-like protein	SAUSA300_0882
SAUSA300_0883	always non-essential	0	0	4	SAUSA300_RS04760	MAP domain-containing protein	SAUSA300_0883
SAUSA300_0884	always non-essential	0	0	4	SAUSA300_RS04765	YjzD family protein	SAUSA300_0884
SAUSA300_0899	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0900	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0901	always non-essential	0	0	4	SAUSA300_RS04850	competence protein CoiA	SAUSA300_0901
SAUSA300_0903	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0904	always non-essential	0	0	4	SAUSA300_RS04865	truncated hemoglobin YjbI	SAUSA300_0904
SAUSA300_0905	always non-essential	0	0	4	SAUSA300_RS04870	CYTH domain-containing protein	SAUSA300_0905
SAUSA300_0906	always non-essential	0	0	4	SAUSA300_RS04875	hypothetical protein	SAUSA300_0906
SAUSA300_0907	always non-essential	0	0	4	SAUSA300_RS04880	GTP pyrophosphokinase family protein	SAUSA300_0907
SAUSA300_0908	always essential	4	4	4	SAUSA300_RS04885	NAD kinase	SAUSA300_0908
SAUSA300_0909	always non-essential	0	0	4	SAUSA300_RS04890	RluA family pseudouridine synthase	SAUSA300_0909
SAUSA300_0911	always non-essential	0	0	4	SAUSA300_RS04900	monovalent cation:proton antiporter family protein	SAUSA300_0911
SAUSA300_0912	always essential	4	4	4	NA	NA	NA
SAUSA300_0913	always non-essential	0	0	4	SAUSA300_RS04910	cell elongation protein CozEa	SAUSA300_0913
SAUSA300_0914	always non-essential	0	0	4	SAUSA300_RS04915	alanine:cation symporter family protein	SAUSA300_0914
SAUSA300_0915	always non-essential	0	0	4	SAUSA300_RS04920	esterase family protein	SAUSA300_0915
SAUSA300_0916	always non-essential	0	0	4	SAUSA300_RS04925	YjcG family protein	SAUSA300_0916
SAUSA300_0917	always non-essential	0	0	4	SAUSA300_RS04930	MFS transporter	SAUSA300_0917
SAUSA300_0918	always essential	4	4	4	SAUSA300_RS04935	diglucosyl diacylglycerol synthase	SAUSA300_0918
SAUSA300_0920	always non-essential	0	0	4	SAUSA300_RS04945	YueH family protein	SAUSA300_0920
SAUSA300_0922	probably always essential	4	3	4	SAUSA300_RS04955	TerC family protein	SAUSA300_0922
SAUSA300_0924	always non-essential	0	0	4	SAUSA300_RS04965	TrkH family potassium uptake protein	SAUSA300_0924
SAUSA300_0925	always non-essential	0	0	4	SAUSA300_RS04970	bifunctional metallophosphatase/5'-nucleotidase	SAUSA300_0925
SAUSA300_0926	inconsistent replicates	1	2	4	NA	NA	NA
SAUSA300_0927	probably always essential	4	3	4	NA	NA	NA
SAUSA300_0929	always non-essential	0	0	4	SAUSA300_RS04990	IDEAL domain-containing protein	SAUSA300_0929
SAUSA300_0930	always non-essential	0	0	4	SAUSA300_RS04995	lipoate--protein ligase	SAUSA300_0930
SAUSA300_0931	always essential	4	4	4	SAUSA300_RS05000	YkvS family protein	SAUSA300_0931
SAUSA300_0932	always non-essential	0	0	4	SAUSA300_RS05005	CPBP family intramembrane metalloprotease	SAUSA300_0932
SAUSA300_0933	always non-essential	0	0	4	SAUSA300_RS05010	putative holin-like toxin	SAUSA300_0933
SAUSA300_0934	always non-essential	0	0	4	SAUSA300_RS05020	bacteriocin-associated integral membrane family protein	SAUSA300_0934
SAUSA300_0935	always non-essential	0	0	4	SAUSA300_RS05025	YxeA family protein	SAUSA300_0935
SAUSA300_0936	always non-essential	0	0	4	SAUSA300_RS05030	ABC transporter ATP-binding protein	SAUSA300_0936
SAUSA300_0937	always non-essential	0	0	4	SAUSA300_RS15260	hypothetical protein	SAUSA300_0937
SAUSA300_0938	always non-essential	0	0	4	SAUSA300_RS05040	hypothetical protein	SAUSA300_0938
SAUSA300_0939	always non-essential	0	0	4	SAUSA300_RS05045	glycosyltransferase	SAUSA300_0939
SAUSA300_0940	always non-essential	0	0	4	SAUSA300_RS05050	DoxX family protein	SAUSA300_0940
SAUSA300_0941	always non-essential	0	0	4	SAUSA300_RS05055	ABC transporter substrate-binding protein	SAUSA300_0941
SAUSA300_0942	always non-essential	0	0	4	SAUSA300_RS05065	TM2 domain-containing protein	SAUSA300_0942
SAUSA300_0943	always non-essential	0	0	4	SAUSA300_RS05070	GNAT family N-acetyltransferase	SAUSA300_0943
SAUSA300_0945	always non-essential	0	0	4	SAUSA300_RS05080	isochorismate synthase MenF	SAUSA300_0945
SAUSA300_0947	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0952	always non-essential	0	0	4	SAUSA300_RS05115	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	SAUSA300_0952
SAUSA300_0953	always non-essential	0	0	4	SAUSA300_RS05120	acyltransferase family protein	SAUSA300_0953
SAUSA300_0954	always non-essential	0	0	4	SAUSA300_RS05125	MarR family transcriptional regulator	SAUSA300_0954
SAUSA300_0956	always non-essential	0	0	4	SAUSA300_RS05140	GNAT family N-acetyltransferase	SAUSA300_0956
SAUSA300_0957	always non-essential	0	0	4	SAUSA300_RS05145	osmotic stress response protein	SAUSA300_0957
SAUSA300_0958	always non-essential	0	0	4	SAUSA300_RS05150	polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase	SAUSA300_0958
SAUSA300_0964	always non-essential	0	0	4	SAUSA300_RS05185	DUF5011 domain-containing protein	SAUSA300_0964
SAUSA300_0977	always non-essential	0	0	4	SAUSA300_RS05250	energy-coupling factor transporter transmembrane protein EcfT	SAUSA300_0977
SAUSA300_0978	always non-essential	0	0	4	SAUSA300_RS05255	energy-coupling factor ABC transporter ATP-binding protein	SAUSA300_0978
SAUSA300_0979	always non-essential	0	0	4	SAUSA300_RS05260	ECF transporter S component	SAUSA300_0979
SAUSA300_0980	always essential	4	4	4	SAUSA300_RS05275	hypothetical protein	SAUSA300_0980
SAUSA300_0981	always non-essential	0	0	4	SAUSA300_RS05280	class I SAM-dependent rRNA methyltransferase	SAUSA300_0981
SAUSA300_0982	always non-essential	0	0	4	SAUSA300_RS05285	hypothetical protein	SAUSA300_0982
SAUSA300_0985	probably essential in control	3	1	4	NA	NA	NA
SAUSA300_0986	always non-essential	0	0	4	SAUSA300_RS05305	cytochrome ubiquinol oxidase subunit I	SAUSA300_0986
SAUSA300_0987	always non-essential	0	0	4	SAUSA300_RS05310	cytochrome d ubiquinol oxidase subunit II	SAUSA300_0987
SAUSA300_0989	always essential	4	4	4	SAUSA300_RS05325	ribonuclease J	SAUSA300_0989
SAUSA300_0990	always essential	4	4	4	SAUSA300_RS05330	DNA-dependent RNA polymerase auxiliary subunit epsilon family protein	SAUSA300_0990
SAUSA300_0992	always non-essential	0	0	4	SAUSA300_RS05345	YkyA family protein	SAUSA300_0992
SAUSA300_0995	always non-essential	0	0	4	SAUSA300_RS05360	2-oxo acid dehydrogenase subunit E2	SAUSA300_0995
SAUSA300_0997	always non-essential	0	0	4	SAUSA300_RS05370	UPF0223 family protein	SAUSA300_0997
SAUSA300_0998	always non-essential	0	0	4	SAUSA300_RS05375	XRE family transcriptional regulator	SAUSA300_0998
SAUSA300_1003	always essential	4	4	4	SAUSA300_RS05400	DUF4064 domain-containing protein	SAUSA300_1003
SAUSA300_1004	probably always non-essential	1	0	4	SAUSA300_RS05405	DUF4064 domain-containing protein	SAUSA300_1004
SAUSA300_1005	always non-essential	0	0	4	SAUSA300_RS05410	Nramp family divalent metal transporter	SAUSA300_1005
SAUSA300_1006	always non-essential	0	0	4	SAUSA300_RS05415	YktB family protein	SAUSA300_1006
SAUSA300_1007	always non-essential	0	0	4	SAUSA300_RS05420	inositol monophosphatase	SAUSA300_1007
SAUSA300_1008	always non-essential	0	0	4	SAUSA300_RS05425	DUF5325 family protein	SAUSA300_1008
SAUSA300_1010	always non-essential	0	0	4	SAUSA300_RS05435	YlaI family protein	SAUSA300_1010
SAUSA300_1011	always non-essential	0	0	4	SAUSA300_RS05440	hypothetical protein	SAUSA300_1011
SAUSA300_1012	always non-essential	0	0	4	SAUSA300_RS05445	YlaN family protein	SAUSA300_1012
SAUSA300_1013	always essential	4	4	4	NA	NA	NA
SAUSA300_1017	inconsistent replicates	2	0	4	SAUSA300_RS05470	DUF420 domain-containing protein	SAUSA300_1017
SAUSA300_1018	always non-essential	0	0	4	SAUSA300_RS05480	CAP domain-containing protein	SAUSA300_1018
SAUSA300_1019	always non-essential	0	0	4	SAUSA300_RS05485	YlbF family regulator	SAUSA300_1019
SAUSA300_1020	always non-essential	0	0	4	SAUSA300_RS05490	glycerophosphodiester phosphodiesterase	SAUSA300_1020
SAUSA300_1021	always non-essential	0	0	4	SAUSA300_RS05495	YlbG family protein	SAUSA300_1021
SAUSA300_1022	always non-essential	0	0	4	SAUSA300_RS05500	hypothetical protein	SAUSA300_1022
SAUSA300_1023	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1025	always non-essential	0	0	4	SAUSA300_RS05515	nucleotidyltransferase	SAUSA300_1025
SAUSA300_1026	always non-essential	0	0	4	SAUSA300_RS05520	DUF177 domain-containing protein	SAUSA300_1026
SAUSA300_1028	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1029	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1030	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1031	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1032	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1033	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1035	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1036	always non-essential	0	0	4	SAUSA300_RS05580	RNA methyltransferase	SAUSA300_1036
SAUSA300_1040	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1041	always non-essential	0	0	4	SAUSA300_RS05605	CvpA family protein	SAUSA300_1041
SAUSA300_1042	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1050	always non-essential	0	0	4	SAUSA300_RS05655	XTP/dITP diphosphatase	SAUSA300_1050
SAUSA300_1051	always non-essential	0	0	4	SAUSA300_RS05660	metallophosphoesterase	SAUSA300_1051
SAUSA300_1052	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1053	probably always non-essential	0	1	4	SAUSA300_RS05680	formyl peptide receptor-like 1 inhibitory protein	SAUSA300_1053
SAUSA300_1054	always non-essential	0	0	4	SAUSA300_RS05685	hypothetical protein	SAUSA300_1054
SAUSA300_1056	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1057	probably always non-essential	0	1	4	SAUSA300_RS05715	hypothetical protein	SAUSA300_1057
SAUSA300_1058	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1059	always non-essential	0	0	4	SAUSA300_RS05740	superantigen-like protein SSL12	SAUSA300_1059
SAUSA300_1060	always non-essential	0	0	4	SAUSA300_RS05745	superantigen-like protein SSL13	SAUSA300_1060
SAUSA300_1061	always non-essential	0	0	4	SAUSA300_RS05750	superantigen-like protein SSL14	SAUSA300_1061
SAUSA300_1064	always non-essential	0	0	4	SAUSA300_RS05765	YfcC family protein	SAUSA300_1064
SAUSA300_1065	always non-essential	0	0	4	SAUSA300_RS05775	TDT family transporter	SAUSA300_1065
SAUSA300_1066	probably always essential	4	3	4	SAUSA300_RS05785	tRNA-Arg	SAUSA300_1066
SAUSA300_1067	always non-essential	0	0	4	SAUSA300_RS05790	beta-class phenol-soluble modulin	SAUSA300_1067
SAUSA300_1068	always non-essential	0	0	4	SAUSA300_RS05795	beta-class phenol-soluble modulin	SAUSA300_1068
SAUSA300_1069	always non-essential	0	0	4	SAUSA300_RS05800	YjjG family noncanonical pyrimidine nucleotidase	SAUSA300_1069
SAUSA300_1070	always non-essential	0	0	4	SAUSA300_RS05805	N-acetyltransferase	SAUSA300_1070
SAUSA300_1071	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1081	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1082	always non-essential	0	0	4	SAUSA300_RS05865	YggS family pyridoxal phosphate-dependent enzyme	SAUSA300_1082
SAUSA300_1083	inconsistent replicates	2	1	4	SAUSA300_RS05870	cell division protein SepF	SAUSA300_1083
SAUSA300_1084	always non-essential	0	0	4	SAUSA300_RS05875	YggT family protein	SAUSA300_1084
SAUSA300_1085	always non-essential	0	0	4	SAUSA300_RS05880	RNA-binding protein	SAUSA300_1085
SAUSA300_1086	always non-essential	0	0	4	SAUSA300_RS05885	DivIVA domain-containing protein	SAUSA300_1086
SAUSA300_1088	always non-essential	0	0	4	SAUSA300_RS05895	VOC family protein	SAUSA300_1088
SAUSA300_1090	always non-essential	0	0	4	SAUSA300_RS05910	RluA family pseudouridine synthase	SAUSA300_1090
SAUSA300_1099	always non-essential	0	0	4	SAUSA300_RS05955	hypothetical protein	SAUSA300_1099
SAUSA300_1100	always non-essential	0	0	4	SAUSA300_RS05960	VOC family protein	SAUSA300_1100
SAUSA300_1101	always non-essential	0	0	4	SAUSA300_RS05965	NFACT family protein	SAUSA300_1101
SAUSA300_1106	always non-essential	0	0	4	SAUSA300_RS05990	hypothetical protein	SAUSA300_1106
SAUSA300_1107	always non-essential	0	0	4	SAUSA300_RS05995	TM2 domain-containing protein	SAUSA300_1107
SAUSA300_1111	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1112	always non-essential	0	0	4	SAUSA300_RS06020	protein-serine/threonine phosphatase Stp1	SAUSA300_1112
SAUSA300_1116	always essential	4	4	4	SAUSA300_RS06040	thiamine diphosphokinase	SAUSA300_1116
SAUSA300_1118	always non-essential	0	0	4	SAUSA300_RS06050	Asp23/Gls24 family envelope stress response protein	SAUSA300_1118
SAUSA300_1119	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1121	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1129	always non-essential	0	0	4	SAUSA300_RS06110	putative DNA-binding protein	SAUSA300_1129
SAUSA300_1135	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1136	probably always essential	4	3	4	NA	NA	NA
SAUSA300_1141	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1155	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1158	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1160	always essential	4	4	4	SAUSA300_RS06280	YlxR family protein	SAUSA300_1160
SAUSA300_1161	probably essential in control	3	1	4	SAUSA300_RS06285	YlxQ family RNA-binding protein	SAUSA300_1161
SAUSA300_1168	always essential	4	4	4	SAUSA300_RS06320	ribonuclease J	SAUSA300_1168
SAUSA300_1170	always non-essential	0	0	4	SAUSA300_RS06330	GntR family transcriptional regulator	SAUSA300_1170
SAUSA300_1171	always non-essential	0	0	4	SAUSA300_RS06335	insulinase family protein	SAUSA300_1171
SAUSA300_1172	always non-essential	0	0	4	SAUSA300_RS06340	insulinase family protein	SAUSA300_1172
SAUSA300_1173	always non-essential	0	0	4	SAUSA300_RS06345	SDR family NAD(P)-dependent oxidoreductase	SAUSA300_1173
SAUSA300_1174	always non-essential	0	0	4	SAUSA300_RS06350	YmfK family protein	SAUSA300_1174
SAUSA300_1175	always non-essential	0	0	4	SAUSA300_RS06355	helix-turn-helix domain-containing protein	SAUSA300_1175
SAUSA300_1179	always essential	4	4	4	NA	NA	NA
SAUSA300_1180	always non-essential	0	0	4	SAUSA300_RS06380	hypothetical protein	SAUSA300_1180
SAUSA300_1181	always non-essential	0	0	4	SAUSA300_RS06385	TIGR00282 family metallophosphoesterase	SAUSA300_1181
SAUSA300_1182	probably always non-essential	0	1	4	SAUSA300_RS06390	2-oxoacid:acceptor oxidoreductase subunit alpha	SAUSA300_1182
SAUSA300_1183	probably always non-essential	1	0	4	SAUSA300_RS06395	2-oxoacid:ferredoxin oxidoreductase subunit beta	SAUSA300_1183
SAUSA300_1184	always non-essential	0	0	4	SAUSA300_RS06400	MTH1187 family thiamine-binding protein	SAUSA300_1184
SAUSA300_1186	always non-essential	0	0	4	SAUSA300_RS06410	RicAFT regulatory complex protein RicA family protein	SAUSA300_1186
SAUSA300_1187	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1194	always non-essential	0	0	4	SAUSA300_RS06450	alpha/beta hydrolase	SAUSA300_1194
SAUSA300_1197	always non-essential	0	0	4	SAUSA300_RS06465	glutathione peroxidase	SAUSA300_1197
SAUSA300_1198	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1199	always non-essential	0	0	4	SAUSA300_RS06475	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	SAUSA300_1199
SAUSA300_1202	always essential	4	4	4	SAUSA300_RS06495	hypothetical protein	SAUSA300_1202
SAUSA300_1203	always non-essential	0	0	4	SAUSA300_RS06500	hypothetical protein	SAUSA300_1203
SAUSA300_1204	probably always non-essential	0	1	4	SAUSA300_RS06510	hypothetical protein	SAUSA300_1204
SAUSA300_1205	inconsistent replicates	2	3	4	SAUSA300_RS06515	hypothetical protein	SAUSA300_1205
