"Gene"	"Essentiality"	"Control"	"Condition"	"Replicates"	"LESB_Locus"	"PAO1_Locus"	"PA14_Locus"	"LESB_Description"	"LESB_PGD_ID"	"PAO1_Locus_1"	"PAO1_Gene"	"PAO1_Description"	"PAO1_Accession"	"PAO1_PGD_ID"	"PA14_Locus_1"	"PA14_Gene"	"PA14_Description"	"PA14_Accession"	"PA14_PGD_ID"
"PALES_03481"	"probably always non-essential"	0	1	4	"PALES_03481"	"PA0351"	"PA14_04590"	"putative phosphoesterase"	"PGD244738"	"PA0351"	"PA0351"	"conserved hypothetical protein"	"NP_249042.1 ; WP_003102894.1"	"PGD103439"	"PA14_04590"	"PA14_04590"	"hypothetical protein"	"YP_788522.1 ; WP_003102894.1"	"PGD1651569"
"PALES_03491"	"inconsistent replicates"	1	4	4	"PALES_03491"	"PA0352"	"PA14_04610"	"putative transporter"	"PGD244740"	"PA0352"	"PA0352"	"probable transporter"	"NP_249043.1 ; WP_003102887.1"	"PGD103441"	"PA14_04610"	"PA14_04610"	"transporter"	"YP_788523.1 ; WP_003102887.1"	"PGD1651571"
"PALES_03511"	"probably always non-essential"	1	1	4	"PALES_03511"	"PA0354"	"PA14_04640"	"putative SAM-dependent methyltransferase"	"PGD244744"	"PA0354"	"PA0354"	"conserved hypothetical protein"	"NP_249045.1 ; WP_003084438.1"	"PGD103445"	"PA14_04640"	"PA14_04640"	"hypothetical protein"	"YP_788525.1 ; WP_003084438.1"	"PGD1651575"
"PALES_03531"	"probably always non-essential"	0	1	4	"PALES_03531"	"PA0356"	"PA14_04660"	"putative signal transduction histidine kinase"	"PGD244748"	"PA0356"	"PA0356"	"hypothetical protein"	"NP_249047.1 ; WP_003118789.1"	"PGD103449"	"PA14_04660"	"PA14_04660"	"hypothetical protein"	"YP_788527.1 ; WP_004365020.1"	"PGD1651579"
"PALES_03551"	"probably always non-essential"	0	1	4	"PALES_03551"	"PA0358"	"PA14_04680"	"putative phosphate acyltransferase"	"PGD244752"	"PA0358"	"PA0358"	"hypothetical protein"	"NP_249049.1 ; WP_003084450.1"	"PGD103453"	"PA14_04680"	"PA14_04680"	"hypothetical protein"	"YP_788529.1 ; WP_004365021.1"	"PGD1651583"
"PALES_03561"	"probably always non-essential"	0	1	4	"PALES_03561"	"PA0359"	"PA14_04690"	"hypothetical protein"	"PGD244754"	"PA0359"	"PA0359"	"hypothetical protein"	"NP_249050.1 ; WP_003084452.1"	"PGD103455"	"PA14_04690"	"PA14_04690"	"hypothetical protein"	"YP_788530.1 ; WP_003084452.1"	"PGD1651585"
"PALES_03571"	"inconsistent replicates"	1	3	4	"PALES_03571"	"PA0360"	"PA14_04700"	"hypothetical protein"	"PGD244756"	"PA0360"	"PA0360"	"hypothetical protein"	"NP_249051.1 ; WP_003112969.1"	"PGD103457"	"PA14_04700"	"PA14_04700"	"hypothetical protein"	"YP_788531.1 ; WP_003110409.1"	"PGD1651587"
"PALES_03581"	"inconsistent replicates"	0	2	4	"PALES_03581"	"PA0361"	"PA14_04730"	"putative gamma-glutamyltranspeptidase precursor"	"PGD244758"	"PA0361"	"PA0361"	"probable gamma-glutamyltranspeptidase precursor"	"NP_249052.1 ; WP_003112970.1"	"PGD103459"	"PA14_04730"	"PA14_04730"	"gamma-glutamyltranspeptidase"	"YP_788533.1 ; WP_004365022.1"	"PGD1651591"
"PALES_03611"	"inconsistent replicates"	0	3	4	"PALES_03611"	"PA0364"	"PA14_04780"	"putative oxidoreductase"	"PGD244764"	"PA0364"	"laoA"	"LaoA"	"NP_249055.1 ; WP_003102870.1"	"PGD103465"	"PA14_04780"	"laoA"	"LaoA"	"YP_788536.1 ; WP_003102870.1"	"PGD1651597"
"PALES_03621"	"inconsistent replicates"	2	4	4	"PALES_03621"	"PA0365"	"PA14_04790"	"hypothetical protein"	"PGD244766"	"PA0365"	"laoB"	"LaoB"	"NP_249056.1 ; WP_003084486.1"	"PGD103467"	"PA14_04790"	"laoB"	"LaoB"	"YP_788537.1 ; WP_003084486.1"	"PGD1651599"
"PALES_03631"	"inconsistent replicates"	0	3	4	"PALES_03631"	"PA0366"	"PA14_04810"	"putative aldehyde dehydrogenase"	"PGD244768"	"PA0366"	"laoC"	"LaoC"	"NP_249057.1 ; WP_003102868.1"	"PGD103469"	"PA14_04810"	"laoC"	"LaoC"	"YP_788538.1 ; WP_004365023.1"	"PGD1651601"
"PALES_03641"	"inconsistent replicates"	1	2	4	"PALES_03641"	"PA0367"	"PA14_04820"	"putative transcriptional regulator"	"PGD244770"	"PA0367"	"laoR"	"LaoR"	"NP_249058.1 ; WP_003084488.1"	"PGD103471"	"PA14_04820"	"laoR"	"LaoR"	"YP_788539.1 ; WP_003084488.1"	"PGD1651603"
"PALES_03651"	"inconsistent replicates"	0	2	4	"PALES_03651"	"PA0368"	"PA14_04840"	"putative hydrolase"	"PGD244772"	"PA0368"	"PA0368"	"conserved hypothetical protein"	"NP_249059.1 ; WP_003084490.1"	"PGD103473"	"PA14_04840"	"PA14_04840"	"hypothetical protein"	"YP_788541.1 ; WP_003084490.1"	"PGD1651607"
"PALES_03661"	"probably always essential"	3	3	4	"PALES_03661"	"PA0369"	"PA14_04850"	"hypothetical protein"	"PGD244774"	"PA0369"	"PA0369"	"Uncharacterized protein"	"NP_249060 ;"	"PGD103475"	"PA14_04850"	"PA14_04850"	"hypothetical protein"	"YP_788542.1 ; WP_003121747.1"	"PGD1651609"
"PALES_03671"	"inconsistent replicates"	0	2	4	"PALES_03671"	"PA0370"	"PA14_04860"	"putative methyltransferase"	"PGD244776"	"PA0370"	"PA0370"	"conserved hypothetical protein"	"NP_249061.1 ; WP_003102864.1"	"PGD103477"	"PA14_04860"	"PA14_04860"	"methyltransferase"	"YP_788543.1 ; WP_003102864.1"	"PGD1651611"
"PALES_03681"	"inconsistent replicates"	0	2	4	"PALES_03681"	"PA0371"	"PA14_04870"	"putative peptidase"	"PGD244778"	"PA0371"	"PA0371"	"putative Zn-dependent peptidase"	"NP_249062.1 ; WP_003112971.1"	"PGD103479"	"PA14_04870"	"PA14_04870"	"hypothetical protein"	"YP_788544.1 ; WP_004365024.1"	"PGD1651613"
"PALES_03691"	"inconsistent replicates"	0	2	4	"PALES_03691"	"PA0372"	"PA14_04890"	"putative zinc protease"	"PGD244780"	"PA0372"	"PA0372"	"probable zinc protease"	"NP_249063.1 ; WP_010895504.1"	"PGD103481"	"PA14_04890"	"PA14_04890"	"zinc protease"	"YP_788545.1 ; WP_003084498.1"	"PGD1651615"
"PALES_03741"	"inconsistent replicates"	1	3	4	"PALES_03741"	"PA0377"	"PA14_04940"	"hypothetical protein"	"PGD244790"	"PA0377"	"PA0377"	"hypothetical protein"	"NP_249068.1 ; WP_003084511.1"	"PGD103491"	"PA14_04940"	"PA14_04940"	"hypothetical protein"	"YP_788550.1 ; WP_003084511.1"	"PGD1651625"
"PALES_03751"	"inconsistent replicates"	0	2	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PALES_03761"	"inconsistent replicates"	0	3	4	"PALES_03761"	"PA0379"	"PA14_04960"	"hypothetical protein"	"PGD244794"	"PA0379"	"PA0379"	"conserved hypothetical protein"	"NP_249070.1 ; WP_003084513.1"	"PGD103495"	"PA14_04960"	"PA14_04960"	"hypothetical protein"	"YP_788552.1 ; WP_003084513.1"	"PGD1651629"
"PALES_03771"	"always essential"	4	4	4	"PALES_03771"	"PA0380"	"PA14_04970"	"sulfur carrier protein ThiS"	"PGD244796"	"PA0380"	"PA0380"	"conserved hypothetical protein"	"NP_249071.1 ; WP_003084514.1"	"PGD103497"	"PA14_04970"	"PA14_04970"	"sulfur carrier protein ThiS"	"YP_788553.1 ; WP_003084514.1"	"PGD1651631"
"PALES_03801"	"probably always non-essential"	0	1	4	"PALES_03801"	"PA0383"	"PA14_05010"	"hypothetical protein"	"PGD244802"	"PA0383"	"PA0383"	"conserved hypothetical protein"	"NP_249074.1 ; WP_003114884.1"	"PGD103503"	"PA14_05010"	"PA14_05010"	"hypothetical protein"	"YP_788556.1 ; WP_004365033.1"	"PGD1651637"
"PALES_03811"	"inconsistent replicates"	0	2	4	"PALES_03811"	"PA0384"	"PA14_05020"	"hypothetical protein"	"PGD244804"	"PA0384"	"PA0384"	"hypothetical protein"	"NP_249075.1 ; WP_003084524.1"	"PGD103505"	"PA14_05020"	"PA14_05020"	"hypothetical protein"	"YP_788557.1 ; WP_003084524.1"	"PGD1651639"
"PALES_03821"	"inconsistent replicates"	0	2	4	"PALES_03821"	"PA0385"	"PA14_05030"	"hypothetical protein"	"PGD244806"	"PA0385"	"PA0385"	"hypothetical protein"	"NP_249076.1 ; WP_003084525.1"	"PGD103507"	"PA14_05030"	"PA14_05030"	"hypothetical protein"	"YP_788558.1 ; WP_003084525.1"	"PGD1651641"
"PALES_03831"	"always non-essential"	0	0	4	"PALES_03831"	"PA0386"	"PA14_05040"	"coproporphyrinogen III oxidase"	"PGD244808"	"PA0386"	"PA0386"	"probable oxidase"	"NP_249077.1 ; WP_003114885.1"	"PGD103509"	"PA14_05040"	"PA14_05040"	"coproporphyrinogen III oxidase"	"YP_788559.1 ; WP_004365036.1"	"PGD1651643"
"PALES_03841"	"inconsistent replicates"	2	4	4	"PALES_03841"	"PA0387"	"PA14_05050"	"putative deoxyribonucleotide triphosphate pyrophosphatase"	"PGD244810"	"PA0387"	"PA0387"	"conserved hypothetical protein"	"NP_249078.1 ; WP_003084527.1"	"PGD103511"	"PA14_05050"	"PA14_05050"	"deoxyribonucleotide triphosphate pyrophosphatase"	"YP_788560.1 ; WP_003084527.1"	"PGD1651645"
"PALES_03851"	"probably always non-essential"	0	1	4	"PALES_03851"	"PA0388"	"PA14_05060"	"hypothetical protein"	"PGD244812"	"PA0388"	"PA0388"	"hypothetical protein"	"NP_249079.1 ; WP_003100965.1"	"PGD103513"	"PA14_05060"	"PA14_05060"	"hypothetical protein"	"YP_788561.1 ; WP_003084528.1"	"PGD1651647"
"PALES_03861"	"inconsistent replicates"	1	2	4	"PALES_03861"	"PA0389"	"PA14_05070"	"putative methionine biosynthesis protein"	"PGD244814"	"PA0389"	"PA0389"	"hypothetical protein"	"NP_249080.1 ; WP_003084530.1"	"PGD103515"	"PA14_05070"	"PA14_05070"	"methionine biosynthesis protein"	"YP_788562.1 ; WP_003084530.1"	"PGD1651649"
"PALES_03881"	"probably always non-essential"	1	1	4	"PALES_03881"	"PA0391"	"PA14_05110"	"hypothetical protein"	"PGD244818"	"PA0391"	"PA0391"	"hypothetical protein"	"NP_249082.1 ; WP_003114887.1"	"PGD103519"	"PA14_05110"	"PA14_05110"	"hypothetical protein"	"YP_788564.1 ; WP_003084539.1"	"PGD1651653"
"PALES_03891"	"inconsistent replicates"	1	2	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PALES_03901"	"probably always non-essential"	0	1	4	"PALES_03901"	"PA0392"	"PA14_05130"	"putative YGGT family protein"	"PGD244822"	"PA0392"	"PA0392"	"conserved hypothetical protein"	"NP_249083.1 ; WP_003084544.1"	"PGD103521"	"PA14_05130"	"PA14_05130"	"hypothetical protein"	"YP_788566.1 ; WP_003084544.1"	"PGD1651657"
"PALES_03921"	"inconsistent replicates"	1	3	4	"PALES_03921"	"PA0394"	"PA14_05160"	"putative PLP dependent enzyme"	"PGD244826"	"PA0394"	"PA0394"	"conserved hypothetical protein"	"NP_249085.1 ; WP_003084549.1"	"PGD103525"	"PA14_05160"	"PA14_05160"	"hypothetical protein"	"YP_788568.1 ; WP_004365038.1"	"PGD1651661"
"PALES_03951"	"inconsistent replicates"	0	2	4	"PALES_03951"	"PA0397"	"PA14_05200"	"putative cation efflux system protein"	"PGD244832"	"PA0397"	"PA0397"	"probable cation efflux system protein"	"NP_249088.1 ; WP_003100957.1"	"PGD103531"	"PA14_05200"	"PA14_05200"	"cation efflux system protein"	"YP_788571.1 ; WP_004365039.1"	"PGD1651667"
"PALES_03961"	"probably always non-essential"	0	1	4	"PALES_03961"	"PA0398"	"PA14_05210"	"hypothetical protein"	"PGD244834"	"PA0398"	"PA0398"	"hypothetical protein"	"NP_249089.1 ; WP_003084560.1"	"PGD103533"	"PA14_05210"	"PA14_05210"	"hypothetical protein"	"YP_788572.1 ; WP_003084560.1"	"PGD1651669"
"PALES_03971"	"inconsistent replicates"	1	2	4	"PALES_03971"	"PA0399"	"PA14_05220"	"cystathionine beta-synthase"	"PGD244836"	"PA0399"	"PA0399"	"cystathionine beta-synthase"	"NP_249090.1 ; WP_003100955.1"	"PGD103535"	"PA14_05220"	"PA14_05220"	"cystathionine beta-synthase"	"YP_788573.1 ; WP_004365040.1"	"PGD1651671"
"PALES_03981"	"probably always non-essential"	0	1	4	"PALES_03981"	"PA0400"	"PA14_05230"	"putative cystathionine gamma-lyase"	"PGD244838"	"PA0400"	"PA0400"	"probable cystathionine gamma-lyase"	"NP_249091.1 ; WP_003100953.1"	"PGD103537"	"PA14_05230"	"PA14_05230"	"cystathionine gamma-lyase"	"YP_788574.1 ; WP_003110017.1"	"PGD1651673"
"PALES_03991"	"inconsistent replicates"	1	3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PALES_04031"	"probably always non-essential"	0	1	4	"PALES_04031"	"PA0405"	"PA14_05290"	"hypothetical protein"	"PGD244848"	"PA0405"	"algH"	"AlgH"	"NP_249096.1 ; WP_003100947.1"	"PGD103547"	"PA14_05290"	"PA14_05290"	"hypothetical protein"	"YP_788579.1 ; WP_003084577.1"	"PGD1651683"
"PALES_04041"	"inconsistent replicates"	1	4	4	"PALES_04041"	"PA0406"	"PA14_05300"	"putative tonB domain protein"	"PGD244850"	"PA0406"	"tonB3"	"TonB3"	"NP_249097.1 ; WP_010895505.1"	"PGD103549"	"PA14_05300"	"PA14_05300"	"TonB domain-containing protein"	"YP_788580.1 ; WP_003118807.1"	"PGD1651685"
"PALES_04161"	"always non-essential"	0	0	4	"PALES_04161"	"PA0418"	"PA14_05440"	"hypothetical protein"	"PGD244874"	"PA0418"	"PA0418"	"hypothetical protein"	"NP_249109.1 ; WP_010895506.1"	"PGD103573"	"PA14_05440"	"PA14_05440"	"hypothetical protein"	"YP_788592.1 ; WP_003128978.1"	"PGD1651709"
"PALES_04171"	"probably always essential"	3	4	4	"PALES_04171"	"PA0419"	"PA14_05450"	"16S ribosomal RNA methyltransferase RsmE"	"PGD244876"	"PA0419"	"PA0419"	"conserved hypothetical protein"	"NP_249110.1 ; WP_003106127.1"	"PGD103575"	"PA14_05450"	"PA14_05450"	"16S ribosomal RNA methyltransferase RsmE"	"YP_788593.1 ;"	"PGD1651711"
"PALES_04191"	"inconsistent replicates"	0	2	4	"PALES_04191"	"PA0421"	"PA14_05480"	"putative monoamine oxidase"	"PGD244880"	"PA0421"	"PA0421"	"hypothetical protein"	"NP_249112.1 ; WP_003118815.1"	"PGD103579"	"PA14_05480"	"PA14_05480"	"hypothetical protein"	"YP_788595.1 ; WP_004365053.1"	"PGD1651715"
"PALES_04201"	"probably always non-essential"	0	1	4	"PALES_04201"	"PA0422"	"PA14_05500"	"putative cytochrome b561"	"PGD244882"	"PA0422"	"PA0422"	"conserved hypothetical protein"	"NP_249113.1 ; WP_003106133.1"	"PGD103581"	"PA14_05500"	"PA14_05500"	"hypothetical protein"	"YP_788596.1 ; WP_003106133.1"	"PGD1651717"
"PALES_04261"	"inconsistent replicates"	0	2	4	"PALES_04261"	"PA0428"	"PA14_05560"	"putative ATP-dependent RNA helicase"	"PGD244894"	"PA0428"	"PA0428"	"probable ATP-dependent RNA helicase"	"NP_249119.1 ; WP_003099895.1"	"PGD103593"	"PA14_05560"	"PA14_05560"	"ATP-dependent RNA helicase"	"YP_788602.1 ; WP_003084635.1"	"PGD1651729"
"PALES_04271"	"probably always non-essential"	0	1	4	"PALES_04271"	"PA0429"	"PA14_05580"	"hypothetical protein"	"PGD244896"	"PA0429"	"PA0429"	"hypothetical protein"	"NP_249120.1 ; WP_003114898.1"	"PGD103595"	"PA14_05580"	"PA14_05580"	"hypothetical protein"	"YP_788603.1 ; WP_003084637.1"	"PGD1651731"
"PALES_04291"	"always non-essential"	0	0	4	"PALES_04291"	"PA0431"	"PA14_05600"	"hypothetical protein"	"PGD244900"	"PA0431"	"PA0431"	"hypothetical protein"	"NP_249122.1 ; WP_010895507.1"	"PGD103599"	"PA14_05600"	"PA14_05600"	"hypothetical protein"	"YP_788605.1 ; WP_004365055.1"	"PGD1651735"
"PALES_04311"	"probably always essential"	4	3	4	"PALES_04311"	"PA0433"	"PA14_05630"	"hypothetical protein"	"PGD244904"	"PA0433"	"PA0433"	"hypothetical protein"	"NP_249124.1 ; WP_010895508.1"	"PGD103603"	"PA14_05630"	"PA14_05630"	"hypothetical protein"	"YP_788607.1 ; WP_004365057.1"	"PGD1651739"
"PALES_04321"	"inconsistent replicates"	0	2	4	"PALES_04321"	"PA0434"	"PA14_05640"	"putative outer membrane ferric siderophore receptor"	"PGD244906"	"PA0434"	"PA0434"	"hypothetical protein"	"NP_249125.1 ; WP_003114901.1"	"PGD103605"	"PA14_05640"	"PA14_05640"	"hypothetical protein"	"YP_788608.1 ; WP_004365058.1"	"PGD1651741"
"PALES_04331"	"probably always non-essential"	0	1	4	"PALES_04331"	"PA0435"	"PA14_05650"	"hypothetical protein"	"PGD244908"	"PA0435"	"PA0435"	"hypothetical protein"	"NP_249126.1 ; WP_003114902.1"	"PGD103607"	"PA14_05650"	"PA14_05650"	"hypothetical protein"	"YP_788609.1 ; WP_004365060.1"	"PGD1651743"
"PALES_04341"	"always non-essential"	0	0	4	"PALES_04341"	"PA0436"	"PA14_05660"	"putative transcriptional regulator"	"PGD244910"	"PA0436"	"PA0436"	"probable transcriptional regulator"	"NP_249127.1 ; WP_003084655.1"	"PGD103609"	"PA14_05660"	"PA14_05660"	"transcriptional regulator"	"YP_788610.1 ; WP_003084655.1"	"PGD1651745"
"PALES_04371"	"probably always non-essential"	1	1	4	"PALES_04371"	"PA0439"	"PA14_05740"	"dihydropyrimidine dehydrogenase"	"PGD244916"	"PA0439"	"PA0439"	"probable oxidoreductase"	"NP_249130.1 ; WP_010895509.1"	"PGD103615"	"PA14_05740"	"PA14_05740"	"dihydropyrimidine dehydrogenase"	"YP_788613.1 ; WP_003118829.1"	"PGD1651751"
"PALES_04381"	"inconsistent replicates"	0	2	4	"PALES_04381"	"PA0440"	"PA14_05750"	"putative oxidoreductase"	"PGD244918"	"PA0440"	"PA0440"	"probable oxidoreductase"	"NP_249131.1 ; WP_003114904.1"	"PGD103617"	"PA14_05750"	"PA14_05750"	"oxidoreductase"	"YP_788614.1 ; WP_004365064.1"	"PGD1651753"
"PALES_04401"	"inconsistent replicates"	0	2	4	"PALES_04401"	"PA0443"	"PA14_05790"	"putative transporter"	"PGD244922"	"PA0443"	"PA0443"	"probable transporter"	"NP_249134.1 ; WP_003084674.1"	"PGD103623"	"PA14_05790"	"PA14_05790"	"transporter"	"YP_788617.1 ; WP_003084674.1"	"PGD1651759"
"PALES_04411"	"probably always essential"	3	4	4	"PALES_04411"	"PA0444"	"PA14_05810"	"allantoate amidohydrolase"	"PGD244924"	"PA0444"	"PA0444"	"N-carbamoyl-beta-alanine amidohydrolase"	"NP_249135.1 ; WP_003084676.1"	"PGD103625"	"PA14_05810"	"amaB"	"allantoate amidohydrolase"	"YP_788618.1 ; WP_003084676.1"	"PGD1651761"
"PALES_04421"	"inconsistent replicates"	1	3	4	"PALES_04421"	"PA0446"	"PA14_05820"	"putative acyl-CoA transferase"	"PGD244926"	"PA0446"	"PA0446"	"conserved hypothetical protein"	"NP_249137.1 ; WP_003084679.1"	"PGD103629"	"PA14_05820"	"PA14_05820"	"hypothetical protein"	"YP_788619.1 ; WP_003084679.1"	"PGD1651763"
"PALES_04441"	"inconsistent replicates"	0	3	4	"PALES_04441"	"PA0448"	"PA14_05850"	"putative transcriptional regulator"	"PGD244930"	"PA0448"	"gcdR"	"transcriptional regulator, GcdR"	"NP_249139.1 ; WP_003084684.1"	"PGD103633"	"PA14_05850"	"PA14_05850"	"LysR family transcriptional regulator"	"YP_788621.1 ; WP_003109731.1"	"PGD1651767"
"PALES_04451"	"inconsistent replicates"	1	3	4	"PALES_04451"	"PA0449"	"PA14_05860"	"putative long-chain acyl-CoA thioester hydrolase family protein"	"PGD244932"	"PA0449"	"PA0449"	"hypothetical protein"	"NP_249140.1 ; WP_003121770.1"	"PGD103635"	"PA14_05860"	"PA14_05860"	"hypothetical protein"	"YP_788622.1 ; WP_003084686.1"	"PGD1651769"
"PALES_04461"	"probably always non-essential"	0	1	4	"PALES_04461"	"PA0450"	"PA14_05870"	"putative phosphate transporter"	"PGD244934"	"PA0450"	"PA0450"	"probable phosphate transporter"	"NP_249141.1 ; WP_003115437.1"	"PGD103637"	"PA14_05870"	"PA14_05870"	"phosphate transporter"	"YP_788623.1 ; WP_003117914.1"	"PGD1651771"
"PALES_04471"	"probably always non-essential"	1	1	4	"PALES_04471"	"PA0451"	"PA14_05880"	"putative membrane-bound protease"	"PGD244936"	"PA0451"	"PA0451"	"conserved hypothetical protein"	"NP_249142.1 ; WP_003113277.1"	"PGD103639"	"PA14_05880"	"PA14_05880"	"membrane-bound protease"	"YP_788624.1 ; WP_004365143.1"	"PGD1651773"
"PALES_04481"	"inconsistent replicates"	0	3	4	"PALES_04481"	"PA0452"	"PA14_05890"	"putative stomatin-like protein"	"PGD244938"	"PA0452"	"PA0452"	"probable stomatin-like protein"	"NP_249143.1 ; WP_003084693.1"	"PGD103641"	"PA14_05890"	"PA14_05890"	"stomatin-like protein"	"YP_788625.1 ; WP_003084693.1"	"PGD1651775"
"PALES_04491"	"inconsistent replicates"	0	3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PALES_04501"	"inconsistent replicates"	0	3	4	"PALES_04501"	"PA0454"	"PA14_05920"	"hypothetical protein"	"PGD244942"	"PA0454"	"PA0454"	"conserved hypothetical protein"	"NP_249145.1 ; WP_003113274.1"	"PGD103645"	"PA14_05920"	"PA14_05920"	"hypothetical protein"	"YP_788627.1 ; WP_003084700.1"	"PGD1651779"
"PALES_04521"	"inconsistent replicates"	1	4	4	"PALES_04521"	"PA0456"	"PA14_05960"	"putative cold-shock protein"	"PGD244946"	"PA0456"	"PA0456"	"probable cold-shock protein"	"NP_249147.1 ; WP_003084710.1"	"PGD103649"	"PA14_05960"	"PA14_05960"	"cold-shock protein"	"YP_788629.1 ; WP_003084710.1"	"PGD1651783"
"PALES_04531"	"inconsistent replicates"	2	4	4	"PALES_04531"	"PA0457"	"PA14_05970"	"hypothetical protein"	"PGD244948"	"PA0457"	"PA0457"	"hypothetical protein"	"NP_249148.1 ; WP_003113272.1"	"PGD103651"	"PA14_05970"	"PA14_05970"	"hypothetical protein"	"YP_788630.1 ; WP_003113272.1"	"PGD1651785"
"PALES_04541"	"inconsistent replicates"	0	2	4	"PALES_04541"	"PA0458"	"PA14_05990"	"putative major facilitator superfamily (MFS) transporter"	"PGD244950"	"PA0458"	"PA0458"	"probable major facilitator superfamily (MFS) transporter"	"NP_249149.1 ; WP_003084717.1"	"PGD103653"	"PA14_05990"	"PA14_05990"	"EmrB/QacA family drug resistance transporter"	"YP_788631.1 ; WP_003084717.1"	"PGD1651787"
"PALES_04551"	"always non-essential"	0	0	4	"PALES_04551"	"PA0459"	"PA14_06000"	"putative ClpA/B protease ATP binding subunit"	"PGD244952"	"PA0459"	"PA0459"	"probable ClpA/B protease ATP binding subunit"	"NP_249150.1 ; WP_010895510.1"	"PGD103655"	"PA14_06000"	"PA14_06000"	"ClpA/B protease ATP binding subunit"	"YP_788632.1 ; WP_004365154.1"	"PGD1651789"
"PALES_04561"	"inconsistent replicates"	1	3	4	"PALES_04561"	"PA0460"	"PA14_06010"	"hypothetical protein"	"PGD244954"	"PA0460"	"PA0460"	"hypothetical protein"	"NP_249151.1 ; WP_003084725.1"	"PGD103657"	"PA14_06010"	"PA14_06010"	"hypothetical protein"	"YP_788633.1 ; WP_003084725.1"	"PGD1651791"
"PALES_04571"	"inconsistent replicates"	0	2	4	"PALES_04571"	"PA0461"	"PA14_06030"	"putative acyltransferase"	"PGD244956"	"PA0461"	"PA0461"	"conserved hypothetical protein"	"NP_249152.1 ; WP_003113270.1"	"PGD103659"	"PA14_06030"	"PA14_06030"	"acyltransferase"	"YP_788634.1 ; WP_003099939.1"	"PGD1651793"
"PALES_04581"	"inconsistent replicates"	0	2	4	"PALES_04581"	"PA0462"	"PA14_06040"	"hypothetical protein"	"PGD244958"	"PA0462"	"PA0462"	"hypothetical protein"	"NP_249153 ; WP_004346544.1"	"PGD103661"	"PA14_06040"	"PA14_06040"	"hypothetical protein"	"YP_788635.1 ; WP_003118841.1"	"PGD1651795"
"PALES_04621"	"inconsistent replicates"	2	4	4	"PALES_04621"	"PA0466"	"PA14_06090"	"hypothetical protein"	"PGD244966"	"PA0466"	"PA0466"	"hypothetical protein"	"NP_249157.1 ; WP_003084737.1"	"PGD103669"	"PA14_06090"	"PA14_06090"	"hypothetical protein"	"YP_788639.1 ; WP_003084737.1"	"PGD1651803"
"PALES_04631"	"inconsistent replicates"	2	1	4	"PALES_04631"	"PA0467"	"PA14_06120"	"putative glutathione S-transferase"	"PGD244968"	"PA0467"	"PA0467"	"conserved hypothetical protein"	"NP_249158.1 ; WP_003113265.1"	"PGD103671"	"PA14_06120"	"PA14_06120"	"hypothetical protein"	"YP_788640.1 ; WP_003142695.1"	"PGD1651805"
"PALES_04641"	"probably always non-essential"	0	1	4	"PALES_04641"	"PA0468"	"PA14_06130"	"putative streptogramin lyase"	"PGD244970"	"PA0468"	"PA0468"	"hypothetical protein"	"NP_249159.1 ; WP_003099948.1"	"PGD103673"	"PA14_06130"	"PA14_06130"	"hypothetical protein"	"YP_788641.1 ; WP_003111755.1"	"PGD1651807"
"PALES_04651"	"probably always non-essential"	1	1	4	"PALES_04651"	"PA0469"	"PA14_06150"	"hypothetical protein"	"PGD244972"	"PA0469"	"PA0469"	"hypothetical protein"	"NP_249160.1 ; WP_003099950.1"	"PGD103675"	"PA14_06150"	"PA14_06150"	"hypothetical protein"	"YP_788642.1 ; WP_003084748.1"	"PGD1651809"
"PALES_04671"	"always non-essential"	0	0	4	"PALES_04671"	"PA0471"	"PA14_06170"	"putative transmembrane sensor"	"PGD244976"	"PA0471"	"fiuR"	"FiuR"	"NP_249162.1 ; WP_003113263.1"	"PGD103679"	"PA14_06170"	"PA14_06170"	"transmembrane sensor"	"YP_788644.1 ; WP_004365162.1"	"PGD1651813"
"PALES_04681"	"inconsistent replicates"	0	2	4	"PALES_04681"	"PA0472"	"PA14_06180"	"RNA polymerase sigma factor"	"PGD244978"	"PA0472"	"fiuI"	"FiuI"	"NP_249163.1 ; WP_003084762.1"	"PGD103681"	"PA14_06180"	"PA14_06180"	"RNA polymerase sigma factor"	"YP_788645.1 ; WP_003084762.1"	"PGD1651815"
"PALES_04691"	"inconsistent replicates"	0	3	4	"PALES_04691"	"PA0473"	"PA14_06190"	"putative glutathione S-transferase"	"PGD244980"	"PA0473"	"PA0473"	"probable glutathione S-transferase"	"NP_249164.1 ; WP_003113262.1"	"PGD103683"	"PA14_06190"	"PA14_06190"	"glutathione S-transferase"	"YP_788646.1 ; WP_004365164.1"	"PGD1651817"
"PALES_04701"	"always essential"	4	4	4	"PALES_04701"	"PA0474"	"PA14_06200"	"putative thioesterase"	"PGD244982"	"PA0474"	"PA0474"	"hypothetical protein"	"NP_249165.1 ; WP_003118845.1"	"PGD103685"	"PA14_06200"	"PA14_06200"	"hypothetical protein"	"YP_788647.1 ; WP_003084769.1"	"PGD1651819"
